
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 3
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 3, -, 1.0, -, 9.5, 23.2, 0.0, "Humbolt Bay", 1937, "Ferndale City Hall", 5.8, strike slip, 71.28, 71.57, 219.31, 0.375, 1.0, RSN3_HUMBOLT_FRN225.AT2, RSN3_HUMBOLT_FRN315.AT2 , RSN3_HUMBOLT_FRN-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-3 RotD50 pSa (g)
0.01,0.04099701,0.04099701,0.04099701,0.04099701
0.02,0.04118426,0.04118426,0.04118426,0.04118426
0.022,0.04123356,0.04123356,0.04123356,0.04123356
0.025,0.04130898,0.04130898,0.04130898,0.04130898
0.029,0.04149025,0.04149025,0.04149025,0.04149025
0.03,0.04151065,0.04151065,0.04151065,0.04151065
0.032,0.04158984,0.04158984,0.04158984,0.04158984
0.035,0.04175893,0.04175893,0.04175893,0.04175893
0.036,0.0418016,0.0418016,0.0418016,0.0418016
0.04,0.04170415,0.04170415,0.04170415,0.04170415
0.042,0.04185166,0.04185166,0.04185166,0.04185166
0.044,0.04218612,0.04218612,0.04218612,0.04218612
0.045,0.04226122,0.04226122,0.04226122,0.04226122
0.046,0.04236377,0.04236377,0.04236377,0.04236377
0.048,0.04275135,0.04275135,0.04275135,0.04275135
0.05,0.04305385,0.04305385,0.04305385,0.04305385
0.055,0.04258261,0.04258261,0.04258261,0.04258261
0.06,0.04282457,0.04282457,0.04282457,0.04282457
0.065,0.04367414,0.04367414,0.04367414,0.04367414
0.067,0.04382291,0.04382291,0.04382291,0.04382291
0.07,0.04405113,0.04405113,0.04405113,0.04405113
0.075,0.04496613,0.04496613,0.04496613,0.04496613
0.08,0.04636106,0.04636106,0.04636106,0.04636106
0.085,0.04979412,0.04979412,0.04979412,0.04979412
0.09,0.05227835,0.05227835,0.05227835,0.05227835
0.095,0.05346376,0.05346376,0.05346376,0.05346376
0.1,0.05567484,0.05567484,0.05567484,0.05567484
0.11,0.0532227,0.0532227,0.0532227,0.0532227
0.12,0.06544595,0.06544595,0.06544595,0.06544595
0.13,0.08519151,0.08519151,0.08519151,0.08519151
0.133,0.08697579,0.08697579,0.08697579,0.08697579
0.14,0.08863105,0.08863105,0.08863105,0.08863105
0.15,0.09000983,0.09000983,0.09000983,0.09000983
0.16,0.09207235,0.09207235,0.09207235,0.09207235
0.17,0.09609389,0.09609389,0.09609389,0.09609389
0.18,0.1012864,0.1012864,0.1012864,0.1012864
0.19,0.1025281,0.1025281,0.1025281,0.1025281
0.2,0.1023494,0.1023494,0.1023494,0.1023494
0.22,0.1127552,0.1127552,0.1127552,0.1127552
