
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 4
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 4, -, 1.0, -, 7.6, 15.8, 0.0, "Imperial Valley-01", 1938, "El Centro Array #9", 5.0, strike slip, 32.44, 34.98, 213.44, 0.875, 1.0, RSN4_IMPVALL.BG_B-ELC000.AT2, RSN4_IMPVALL.BG_B-ELC090.AT2 , RSN4_IMPVALL.BG_B-ELC-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-4 RotD50 pSa (g)
0.01,0.01846341,0.01846341,0.01846341,0.01846341
0.02,0.01878737,0.01878737,0.01878737,0.01878737
0.022,0.01875592,0.01875592,0.01875592,0.01875592
0.025,0.0190106,0.0190106,0.0190106,0.0190106
0.029,0.01957294,0.01957294,0.01957294,0.01957294
0.03,0.01963413,0.01963413,0.01963413,0.01963413
0.032,0.01944599,0.01944599,0.01944599,0.01944599
0.035,0.01936271,0.01936271,0.01936271,0.01936271
0.036,0.0198266,0.0198266,0.0198266,0.0198266
0.04,0.02223771,0.02223771,0.02223771,0.02223771
0.042,0.02212691,0.02212691,0.02212691,0.02212691
0.044,0.02241829,0.02241829,0.02241829,0.02241829
0.045,0.02224262,0.02224262,0.02224262,0.02224262
0.046,0.02245793,0.02245793,0.02245793,0.02245793
0.048,0.02406319,0.02406319,0.02406319,0.02406319
0.05,0.02430385,0.02430385,0.02430385,0.02430385
0.055,0.02501965,0.02501965,0.02501965,0.02501965
0.06,0.02680392,0.02680392,0.02680392,0.02680392
0.065,0.02900829,0.02900829,0.02900829,0.02900829
0.067,0.02941291,0.02941291,0.02941291,0.02941291
0.07,0.03066279,0.03066279,0.03066279,0.03066279
0.075,0.03139221,0.03139221,0.03139221,0.03139221
0.08,0.03836695,0.03836695,0.03836695,0.03836695
0.085,0.04438727,0.04438727,0.04438727,0.04438727
0.09,0.0461772,0.0461772,0.0461772,0.0461772
0.095,0.04433554,0.04433554,0.04433554,0.04433554
0.1,0.03988809,0.03988809,0.03988809,0.03988809
0.11,0.04181046,0.04181046,0.04181046,0.04181046
0.12,0.04243118,0.04243118,0.04243118,0.04243118
0.13,0.04305528,0.04305528,0.04305528,0.04305528
0.133,0.04637434,0.04637434,0.04637434,0.04637434
0.14,0.04966913,0.04966913,0.04966913,0.04966913
0.15,0.0513325,0.0513325,0.0513325,0.0513325
0.16,0.04664586,0.04664586,0.04664586,0.04664586
0.17,0.04109562,0.04109562,0.04109562,0.04109562
0.18,0.040487,0.040487,0.040487,0.040487
0.19,0.04345138,0.04345138,0.04345138,0.04345138
0.2,0.04194748,0.04194748,0.04194748,0.04194748
0.22,0.0415193,0.0415193,0.0415193,0.0415193
