
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 5
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 5, -, 1.0, -, 4.1, 11.6, 0.1, "Northwest Calif-01", 1938, "Ferndale City Hall", 5.5, strike slip, 52.73, 53.58, 219.31, 0.625, 1.0, RSN5_NWCALIF.AB_A-FRN045.AT2, RSN5_NWCALIF.AB_A-FRN135.AT2 , RSN5_NWCALIF.AB_A-FRNDWN.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-5 RotD50 pSa (g)
0.01,0.1224863,0.1224863,0.1224863,0.1224863
0.02,0.1241445,0.1241445,0.1241445,0.1241445
0.022,0.1230663,0.1230663,0.1230663,0.1230663
0.025,0.1230037,0.1230037,0.1230037,0.1230037
0.029,0.1249967,0.1249967,0.1249967,0.1249967
0.03,0.1254167,0.1254167,0.1254167,0.1254167
0.032,0.1255742,0.1255742,0.1255742,0.1255742
0.035,0.1258621,0.1258621,0.1258621,0.1258621
0.036,0.1266679,0.1266679,0.1266679,0.1266679
0.04,0.1323754,0.1323754,0.1323754,0.1323754
0.042,0.1327897,0.1327897,0.1327897,0.1327897
0.044,0.1322317,0.1322317,0.1322317,0.1322317
0.045,0.1327731,0.1327731,0.1327731,0.1327731
0.046,0.1331828,0.1331828,0.1331828,0.1331828
0.048,0.1313572,0.1313572,0.1313572,0.1313572
0.05,0.127033,0.127033,0.127033,0.127033
0.055,0.1368027,0.1368027,0.1368027,0.1368027
0.06,0.1432293,0.1432293,0.1432293,0.1432293
0.065,0.1391918,0.1391918,0.1391918,0.1391918
0.067,0.1342134,0.1342134,0.1342134,0.1342134
0.07,0.13772,0.13772,0.13772,0.13772
0.075,0.1515156,0.1515156,0.1515156,0.1515156
0.08,0.1566076,0.1566076,0.1566076,0.1566076
0.085,0.1521458,0.1521458,0.1521458,0.1521458
0.09,0.1428226,0.1428226,0.1428226,0.1428226
0.095,0.1452944,0.1452944,0.1452944,0.1452944
0.1,0.1569335,0.1569335,0.1569335,0.1569335
0.11,0.1751175,0.1751175,0.1751175,0.1751175
0.12,0.1850727,0.1850727,0.1850727,0.1850727
0.13,0.2051912,0.2051912,0.2051912,0.2051912
0.133,0.2162976,0.2162976,0.2162976,0.2162976
0.14,0.2414753,0.2414753,0.2414753,0.2414753
0.15,0.2468016,0.2468016,0.2468016,0.2468016
0.16,0.2919624,0.2919624,0.2919624,0.2919624
0.17,0.3007652,0.3007652,0.3007652,0.3007652
0.18,0.3230048,0.3230048,0.3230048,0.3230048
0.19,0.3396809,0.3396809,0.3396809,0.3396809
0.2,0.3242179,0.3242179,0.3242179,0.3242179
0.22,0.2612819,0.2612819,0.2612819,0.2612819
