
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 6
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 6, -, 1.0, -, 17.7, 24.2, 1.6, "Imperial Valley-02", 1940, "El Centro Array #9", 6.95, strike slip, 6.09, 6.09, 213.44, 0.25, 1.0, RSN6_IMPVALL.I_I-ELC180.AT2, RSN6_IMPVALL.I_I-ELC270.AT2 , RSN6_IMPVALL.I_I-ELC-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-6 RotD50 pSa (g)
0.01,0.2346186,0.2346186,0.2346186,0.2346186
0.02,0.2335652,0.2335652,0.2335652,0.2335652
0.022,0.2337339,0.2337339,0.2337339,0.2337339
0.025,0.2339921,0.2339921,0.2339921,0.2339921
0.029,0.2343667,0.2343667,0.2343667,0.2343667
0.03,0.2344521,0.2344521,0.2344521,0.2344521
0.032,0.2346058,0.2346058,0.2346058,0.2346058
0.035,0.2348146,0.2348146,0.2348146,0.2348146
0.036,0.234921,0.234921,0.234921,0.234921
0.04,0.2359764,0.2359764,0.2359764,0.2359764
0.042,0.2360581,0.2360581,0.2360581,0.2360581
0.044,0.2364113,0.2364113,0.2364113,0.2364113
0.045,0.2368366,0.2368366,0.2368366,0.2368366
0.046,0.2373924,0.2373924,0.2373924,0.2373924
0.048,0.2383533,0.2383533,0.2383533,0.2383533
0.05,0.2393465,0.2393465,0.2393465,0.2393465
0.055,0.2406594,0.2406594,0.2406594,0.2406594
0.06,0.2425774,0.2425774,0.2425774,0.2425774
0.065,0.2448753,0.2448753,0.2448753,0.2448753
0.067,0.2484292,0.2484292,0.2484292,0.2484292
0.07,0.2518191,0.2518191,0.2518191,0.2518191
0.075,0.2733813,0.2733813,0.2733813,0.2733813
0.08,0.3145952,0.3145952,0.3145952,0.3145952
0.085,0.3265104,0.3265104,0.3265104,0.3265104
0.09,0.3425939,0.3425939,0.3425939,0.3425939
0.095,0.3942213,0.3942213,0.3942213,0.3942213
0.1,0.4269595,0.4269595,0.4269595,0.4269595
0.11,0.4324556,0.4324556,0.4324556,0.4324556
0.12,0.4964674,0.4964674,0.4964674,0.4964674
0.13,0.5821331,0.5821331,0.5821331,0.5821331
0.133,0.5909277,0.5909277,0.5909277,0.5909277
0.14,0.5381055,0.5381055,0.5381055,0.5381055
0.15,0.5522645,0.5522645,0.5522645,0.5522645
0.16,0.5219625,0.5219625,0.5219625,0.5219625
0.17,0.5875918,0.5875918,0.5875918,0.5875918
0.18,0.5889284,0.5889284,0.5889284,0.5889284
0.19,0.5777319,0.5777319,0.5777319,0.5777319
0.2,0.5777298,0.5777298,0.5777298,0.5777298
0.22,0.655618,0.655618,0.655618,0.655618
0.24,0.609126,0.609126,0.609126,0.609126
0.25,0.6117138,0.6117138,0.6117138,0.6117138
0.26,0.599689,0.599689,0.599689,0.599689
0.28,0.558982,0.558982,0.558982,0.558982
0.29,0.5417349,0.5417349,0.5417349,0.5417349
0.3,0.5263026,0.5263026,0.5263026,0.5263026
0.32,0.6006148,0.6006148,0.6006148,0.6006148
0.34,0.5827544,0.5827544,0.5827544,0.5827544
0.35,0.5611631,0.5611631,0.5611631,0.5611631
0.36,0.552079,0.552079,0.552079,0.552079
0.38,0.5809824,0.5809824,0.5809824,0.5809824
0.4,0.556247,0.556247,0.556247,0.556247
0.42,0.5302412,0.5302412,0.5302412,0.5302412
0.44,0.6075985,0.6075985,0.6075985,0.6075985
0.45,0.6594648,0.6594648,0.6594648,0.6594648
0.46,0.676709,0.676709,0.676709,0.676709
0.48,0.6411135,0.6411135,0.6411135,0.6411135
0.5,0.6299522,0.6299522,0.6299522,0.6299522
0.55,0.6188418,0.6188418,0.6188418,0.6188418
0.6,0.5594271,0.5594271,0.5594271,0.5594271
0.65,0.4685159,0.4685159,0.4685159,0.4685159
0.667,0.4686852,0.4686852,0.4686852,0.4686852
0.7,0.5046806,0.5046806,0.5046806,0.5046806
0.75,0.4353499,0.4353499,0.4353499,0.4353499
0.8,0.4518841,0.4518841,0.4518841,0.4518841
0.85,0.4448817,0.4448817,0.4448817,0.4448817
0.9,0.426945,0.426945,0.426945,0.426945
0.95,0.3762327,0.3762327,0.3762327,0.3762327
1.0,0.351286,0.351286,0.351286,0.351286
1.1,0.3156438,0.3156438,0.3156438,0.3156438
1.2,0.3238557,0.3238557,0.3238557,0.3238557
1.3,0.2619711,0.2619711,0.2619711,0.2619711
1.4,0.2212158,0.2212158,0.2212158,0.2212158
1.5,0.1973573,0.1973573,0.1973573,0.1973573
1.6,0.1885459,0.1885459,0.1885459,0.1885459
1.7,0.1818916,0.1818916,0.1818916,0.1818916
1.8,0.1863264,0.1863264,0.1863264,0.1863264
1.9,0.1999124,0.1999124,0.1999124,0.1999124
2.0,0.2157452,0.2157452,0.2157452,0.2157452
2.2,0.1818367,0.1818367,0.1818367,0.1818367
2.4,0.1540128,0.1540128,0.1540128,0.1540128
2.5,0.1393642,0.1393642,0.1393642,0.1393642
2.6,0.128598,0.128598,0.128598,0.128598
2.8,0.1196141,0.1196141,0.1196141,0.1196141
3.0,0.1063604,0.1063604,0.1063604,0.1063604
3.2,0.08747483,0.08747483,0.08747483,0.08747483
3.4,0.07526462,0.07526462,0.07526462,0.07526462
3.5,0.070213,0.070213,0.070213,0.070213
3.6,0.06505989,0.06505989,0.06505989,0.06505989
3.8,0.05468808,0.05468808,0.05468808,0.05468808
4.0,0.04696507,0.04696507,0.04696507,0.04696507
4.2,0.04622767,0.04622767,0.04622767,0.04622767
4.4,0.04787341,0.04787341,0.04787341,0.04787341
4.6,0.0445185,0.0445185,0.0445185,0.0445185
4.8,0.04226535,0.04226535,0.04226535,0.04226535
5.0,0.04265234,0.04265234,0.04265234,0.04265234
5.5,0.03971822,0.03971822,0.03971822,0.03971822
6.0,0.03200209,0.03200209,0.03200209,0.03200209
6.5,0.02544577,0.02544577,0.02544577,0.02544577
7.0,0.02374068,0.02374068,0.02374068,0.02374068
7.5,0.01978329,0.01978329,0.01978329,0.01978329
8.0,0.01650395,0.01650395,0.01650395,0.01650395
8.5,0.01371493,0.01371493,0.01371493,0.01371493
9.0,0.01119434,0.01119434,0.01119434,0.01119434
9.5,0.00896645,0.00896645,0.00896645,0.00896645
10.0,0.00762603,0.00762603,0.00762603,0.00762603
11.0,0.00667475,0.00667475,0.00667475,0.00667475
12.0,0.00499765,0.00499765,0.00499765,0.00499765
13.0,0.00407419,0.00407419,0.00407419,0.00407419
14.0,0.00346686,0.00346686,0.00346686,0.00346686
15.0,0.00304765,0.00304765,0.00304765,0.00304765
20.0,0.00178916,0.00178916,0.00178916,0.00178916

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-6 Horizontal-1 pSa (g),RSN-6 Horizontal-2 pSa (g),RSN-6 Vertical pSa (g)
0.01,0.2817415,0.2117587,0.181
0.02,0.2809794,0.2108117,0.178
0.022,0.2811229,0.2109298,0.179
0.025,0.281343,0.2111056,0.181
0.029,0.2817062,0.2113574,0.184
0.03,0.2818202,0.2114307,0.185
0.032,0.2820597,0.2116262,0.186
0.035,0.2824301,0.2119233,0.188
0.036,0.2825787,0.2120359,0.189
0.04,0.2832355,0.2126716,0.192
0.042,0.2835964,0.2130398,0.194
0.044,0.283963,0.2132817,0.195
0.045,0.2841703,0.2136023,0.196
0.046,0.2843848,0.2138859,0.197
0.048,0.2848036,0.2139776,0.199
0.05,0.2850278,0.2140041,0.201
0.055,0.2858795,0.215892,0.203
0.06,0.3122033,0.2150448,0.204
0.065,0.3358715,0.2175069,0.237
0.067,0.3345165,0.2197402,0.256
0.07,0.3365952,0.2236321,0.267
0.075,0.3761707,0.2275563,0.297
0.08,0.4346254,0.2448316,0.297
0.085,0.4501844,0.265148,0.383
0.09,0.4789456,0.2829869,0.442
0.095,0.5231172,0.3047888,0.445
0.1,0.579071,0.3105701,0.515
0.11,0.5498539,0.3391802,0.609
0.12,0.66808,0.3156762,0.686
0.13,0.8193496,0.3533298,0.394
