
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 7
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 7, -, 1.0, -, 9.0, 22.2, 0.0, "Northwest Calif-02", 1941, "Ferndale City Hall", 6.6, strike slip, 91.15, 91.22, 219.31, 0.1625, 1.0, RSN7_NWCALIF.C_C-FRN045.AT2, RSN7_NWCALIF.C_C-FRN135.AT2 , RSN7_NWCALIF.C_C-FRN-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-7 RotD50 pSa (g)
0.01,0.04944665,0.04944665,0.04944665,0.04944665
0.02,0.04972505,0.04972505,0.04972505,0.04972505
0.022,0.04978232,0.04978232,0.04978232,0.04978232
0.025,0.04975579,0.04975579,0.04975579,0.04975579
0.029,0.05029042,0.05029042,0.05029042,0.05029042
0.03,0.05033135,0.05033135,0.05033135,0.05033135
0.032,0.05051338,0.05051338,0.05051338,0.05051338
0.035,0.0502978,0.0502978,0.0502978,0.0502978
0.036,0.05033982,0.05033982,0.05033982,0.05033982
0.04,0.05114209,0.05114209,0.05114209,0.05114209
0.042,0.05187605,0.05187605,0.05187605,0.05187605
0.044,0.05203244,0.05203244,0.05203244,0.05203244
0.045,0.05207504,0.05207504,0.05207504,0.05207504
0.046,0.05218398,0.05218398,0.05218398,0.05218398
0.048,0.05171994,0.05171994,0.05171994,0.05171994
0.05,0.05065909,0.05065909,0.05065909,0.05065909
0.055,0.05308417,0.05308417,0.05308417,0.05308417
0.06,0.0553559,0.0553559,0.0553559,0.0553559
0.065,0.05627212,0.05627212,0.05627212,0.05627212
0.067,0.05652243,0.05652243,0.05652243,0.05652243
0.07,0.05825447,0.05825447,0.05825447,0.05825447
0.075,0.06012627,0.06012627,0.06012627,0.06012627
0.08,0.06135024,0.06135024,0.06135024,0.06135024
0.085,0.06637798,0.06637798,0.06637798,0.06637798
0.09,0.0662038,0.0662038,0.0662038,0.0662038
0.095,0.06178396,0.06178396,0.06178396,0.06178396
0.1,0.07028604,0.07028604,0.07028604,0.07028604
0.11,0.08307925,0.08307925,0.08307925,0.08307925
0.12,0.07801057,0.07801057,0.07801057,0.07801057
0.13,0.0834782,0.0834782,0.0834782,0.0834782
0.133,0.08469959,0.08469959,0.08469959,0.08469959
0.14,0.09148762,0.09148762,0.09148762,0.09148762
0.15,0.1094925,0.1094925,0.1094925,0.1094925
0.16,0.1276445,0.1276445,0.1276445,0.1276445
0.17,0.1216331,0.1216331,0.1216331,0.1216331
0.18,0.1078823,0.1078823,0.1078823,0.1078823
0.19,0.1136434,0.1136434,0.1136434,0.1136434
0.2,0.1316978,0.1316978,0.1316978,0.1316978
0.22,0.1505173,0.1505173,0.1505173,0.1505173
0.24,0.1621694,0.1621694,0.1621694,0.1621694
0.25,0.1588825,0.1588825,0.1588825,0.1588825
0.26,0.1536094,0.1536094,0.1536094,0.1536094
0.28,0.1359987,0.1359987,0.1359987,0.1359987
0.29,0.1535809,0.1535809,0.1535809,0.1535809
0.3,0.1628873,0.1628873,0.1628873,0.1628873
0.32,0.1611793,0.1611793,0.1611793,0.1611793
0.34,0.1445833,0.1445833,0.1445833,0.1445833
0.35,0.1315084,0.1315084,0.1315084,0.1315084
0.36,0.1141072,0.1141072,0.1141072,0.1141072
0.38,0.08365294,0.08365294,0.08365294,0.08365294
0.4,0.08419344,0.08419344,0.08419344,0.08419344
0.42,0.0902696,0.0902696,0.0902696,0.0902696
0.44,0.08599033,0.08599033,0.08599033,0.08599033
0.45,0.08300733,0.08300733,0.08300733,0.08300733
0.46,0.08618578,0.08618578,0.08618578,0.08618578
0.48,0.09669738,0.09669738,0.09669738,0.09669738
0.5,0.1087541,0.1087541,0.1087541,0.1087541
0.55,0.1319654,0.1319654,0.1319654,0.1319654
0.6,0.1262861,0.1262861,0.1262861,0.1262861
0.65,0.08583517,0.08583517,0.08583517,0.08583517
0.667,0.07772846,0.07772846,0.07772846,0.07772846
0.7,0.06332801,0.06332801,0.06332801,0.06332801
0.75,0.05247127,0.05247127,0.05247127,0.05247127
0.8,0.05226523,0.05226523,0.05226523,0.05226523
0.85,0.05556719,0.05556719,0.05556719,0.05556719
0.9,0.0531737,0.0531737,0.0531737,0.0531737
0.95,0.04021259,0.04021259,0.04021259,0.04021259
1.0,0.03287505,0.03287505,0.03287505,0.03287505
1.1,0.02989202,0.02989202,0.02989202,0.02989202
1.2,0.02676941,0.02676941,0.02676941,0.02676941
1.3,0.02807182,0.02807182,0.02807182,0.02807182
1.4,0.02635292,0.02635292,0.02635292,0.02635292
1.5,0.02606905,0.02606905,0.02606905,0.02606905
1.6,0.02194951,0.02194951,0.02194951,0.02194951
1.7,0.01787335,0.01787335,0.01787335,0.01787335
1.8,0.01661445,0.01661445,0.01661445,0.01661445
1.9,0.01517384,0.01517384,0.01517384,0.01517384
2.0,0.01471418,0.01471418,0.01471418,0.01471418
2.2,0.01565624,0.01565624,0.01565624,0.01565624
2.4,0.01161948,0.01161948,0.01161948,0.01161948
2.5,0.01016173,0.01016173,0.01016173,0.01016173
2.6,0.00969373,0.00969373,0.00969373,0.00969373
2.8,0.00995862,0.00995862,0.00995862,0.00995862
3.0,0.011078,0.011078,0.011078,0.011078
3.2,0.01154721,0.01154721,0.01154721,0.01154721
3.4,0.00951156,0.00951156,0.00951156,0.00951156
3.5,0.00847311,0.00847311,0.00847311,0.00847311
3.6,0.00728083,0.00728083,0.00728083,0.00728083
3.8,0.00586934,0.00586934,0.00586934,0.00586934
4.0,0.00541384,0.00541384,0.00541384,0.00541384
4.2,0.00489774,0.00489774,0.00489774,0.00489774
4.4,0.00484002,0.00484002,0.00484002,0.00484002
4.6,0.00451398,0.00451398,0.00451398,0.00451398
4.8,0.00391746,0.00391746,0.00391746,0.00391746
5.0,0.00353002,0.00353002,0.00353002,0.00353002
5.5,0.00288716,0.00288716,0.00288716,0.00288716
6.0,0.00193511,0.00193511,0.00193511,0.00193511
6.5,0.00153287,0.00153287,0.00153287,0.00153287
7.0,0.00138281,0.00138281,0.00138281,0.00138281
7.5,0.00131885,0.00131885,0.00131885,0.00131885
8.0,0.00129299,0.00129299,0.00129299,0.00129299
8.5,0.00121093,0.00121093,0.00121093,0.00121093
9.0,0.00108713,0.00108713,0.00108713,0.00108713
9.5,0.00089935,0.00089935,0.00089935,0.00089935
10.0,0.00080053,0.00080053,0.00080053,0.00080053
11.0,0.00056642,0.00056642,0.00056642,0.00056642
12.0,0.00042305,0.00042305,0.00042305,0.00042305
13.0,0.0003665,0.0003665,0.0003665,0.0003665
14.0,0.00027289,0.00027289,0.00027289,0.00027289
