
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 8
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 8, -, 1.0, -, 4.8, 15.5, 0.1, "Northern Calif-01", 1941, "Ferndale City Hall", 6.4, strike slip, 44.52, 44.68, 219.31, 0.375, 1.0, RSN8_NCALIF.FH_F-FRN225.AT2, RSN8_NCALIF.FH_F-FRN315.AT2 , RSN8_NCALIF.FH_F-FRN-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-8 RotD50 pSa (g)
0.01,0.1169943,0.1169943,0.1169943,0.1169943
0.02,0.1173456,0.1173456,0.1173456,0.1173456
0.022,0.117586,0.117586,0.117586,0.117586
0.025,0.1178192,0.1178192,0.1178192,0.1178192
0.029,0.1180675,0.1180675,0.1180675,0.1180675
0.03,0.1179749,0.1179749,0.1179749,0.1179749
0.032,0.1179319,0.1179319,0.1179319,0.1179319
0.035,0.1181454,0.1181454,0.1181454,0.1181454
0.036,0.1184831,0.1184831,0.1184831,0.1184831
0.04,0.1208126,0.1208126,0.1208126,0.1208126
0.042,0.1214328,0.1214328,0.1214328,0.1214328
0.044,0.1224272,0.1224272,0.1224272,0.1224272
0.045,0.1230659,0.1230659,0.1230659,0.1230659
0.046,0.1235707,0.1235707,0.1235707,0.1235707
0.048,0.1245169,0.1245169,0.1245169,0.1245169
0.05,0.1250494,0.1250494,0.1250494,0.1250494
0.055,0.1251235,0.1251235,0.1251235,0.1251235
0.06,0.1252373,0.1252373,0.1252373,0.1252373
0.065,0.1263401,0.1263401,0.1263401,0.1263401
0.067,0.1260035,0.1260035,0.1260035,0.1260035
0.07,0.1325174,0.1325174,0.1325174,0.1325174
0.075,0.14368,0.14368,0.14368,0.14368
0.08,0.1566818,0.1566818,0.1566818,0.1566818
0.085,0.1596194,0.1596194,0.1596194,0.1596194
0.09,0.16109,0.16109,0.16109,0.16109
0.095,0.1687623,0.1687623,0.1687623,0.1687623
0.1,0.180292,0.180292,0.180292,0.180292
0.11,0.2087147,0.2087147,0.2087147,0.2087147
0.12,0.243902,0.243902,0.243902,0.243902
0.13,0.2400002,0.2400002,0.2400002,0.2400002
0.133,0.2422005,0.2422005,0.2422005,0.2422005
0.14,0.2626969,0.2626969,0.2626969,0.2626969
0.15,0.2715603,0.2715603,0.2715603,0.2715603
0.16,0.2656865,0.2656865,0.2656865,0.2656865
0.17,0.2752832,0.2752832,0.2752832,0.2752832
0.18,0.2827674,0.2827674,0.2827674,0.2827674
0.19,0.2850112,0.2850112,0.2850112,0.2850112
0.2,0.2644391,0.2644391,0.2644391,0.2644391
0.22,0.2581141,0.2581141,0.2581141,0.2581141
0.24,0.2644504,0.2644504,0.2644504,0.2644504
0.25,0.2870726,0.2870726,0.2870726,0.2870726
0.26,0.3021044,0.3021044,0.3021044,0.3021044
