
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 9
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 9, -, 1.0, -, 21.5, 37.2, 0.1, "Borrego", 1942, "El Centro Array #9", 6.5, strike slip, 56.88, 56.88, 213.44, 0.125, 1.0, RSN9_BORREGO_B-ELC000.AT2, RSN9_BORREGO_B-ELC090.AT2 , RSN9_BORREGO_B-ELC-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-9 RotD50 pSa (g)
0.01,0.05233133,0.05233133,0.05233133,0.05233133
0.02,0.05271743,0.05271743,0.05271743,0.05271743
0.022,0.05287657,0.05287657,0.05287657,0.05287657
0.025,0.05279722,0.05279722,0.05279722,0.05279722
0.029,0.05309314,0.05309314,0.05309314,0.05309314
0.03,0.0530891,0.0530891,0.0530891,0.0530891
0.032,0.05321715,0.05321715,0.05321715,0.05321715
0.035,0.05298951,0.05298951,0.05298951,0.05298951
0.036,0.05323764,0.05323764,0.05323764,0.05323764
0.04,0.05439096,0.05439096,0.05439096,0.05439096
0.042,0.05578269,0.05578269,0.05578269,0.05578269
0.044,0.05754223,0.05754223,0.05754223,0.05754223
0.045,0.05793801,0.05793801,0.05793801,0.05793801
0.046,0.05820392,0.05820392,0.05820392,0.05820392
0.048,0.05900173,0.05900173,0.05900173,0.05900173
0.05,0.06093355,0.06093355,0.06093355,0.06093355
0.055,0.06471784,0.06471784,0.06471784,0.06471784
0.06,0.07035556,0.07035556,0.07035556,0.07035556
0.065,0.07748657,0.07748657,0.07748657,0.07748657
0.067,0.08245863,0.08245863,0.08245863,0.08245863
0.07,0.09148452,0.09148452,0.09148452,0.09148452
0.075,0.08860476,0.08860476,0.08860476,0.08860476
0.08,0.09292513,0.09292513,0.09292513,0.09292513
0.085,0.1086178,0.1086178,0.1086178,0.1086178
0.09,0.1072885,0.1072885,0.1072885,0.1072885
0.095,0.111382,0.111382,0.111382,0.111382
0.1,0.1114148,0.1114148,0.1114148,0.1114148
0.11,0.1044727,0.1044727,0.1044727,0.1044727
0.12,0.1057393,0.1057393,0.1057393,0.1057393
0.13,0.1220583,0.1220583,0.1220583,0.1220583
0.133,0.1188164,0.1188164,0.1188164,0.1188164
0.14,0.1198617,0.1198617,0.1198617,0.1198617
0.15,0.1160636,0.1160636,0.1160636,0.1160636
0.16,0.1155328,0.1155328,0.1155328,0.1155328
0.17,0.1185559,0.1185559,0.1185559,0.1185559
0.18,0.1477284,0.1477284,0.1477284,0.1477284
0.19,0.146576,0.146576,0.146576,0.146576
0.2,0.1457348,0.1457348,0.1457348,0.1457348
0.22,0.1713487,0.1713487,0.1713487,0.1713487
