
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 10
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 10, -, 1.0, -, 15.2, 27.6, 0.0, "Imperial Valley-03", 1951, "El Centro Array #9", 5.6, strike slip, 24.58, 25.24, 213.44, 0.5, 1.0, RSN10_IMPVALL.BG_C-ELC000.AT2, RSN10_IMPVALL.BG_C-ELC090.AT2 , RSN10_IMPVALL.BG_C-ELC-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-10 RotD50 pSa (g)
0.01,0.02940273,0.02940273,0.02940273,0.02940273
0.02,0.02951861,0.02951861,0.02951861,0.02951861
0.022,0.02955893,0.02955893,0.02955893,0.02955893
0.025,0.02965204,0.02965204,0.02965204,0.02965204
0.029,0.02974139,0.02974139,0.02974139,0.02974139
0.03,0.02979811,0.02979811,0.02979811,0.02979811
0.032,0.02985268,0.02985268,0.02985268,0.02985268
0.035,0.02985498,0.02985498,0.02985498,0.02985498
0.036,0.02988036,0.02988036,0.02988036,0.02988036
0.04,0.03024154,0.03024154,0.03024154,0.03024154
0.042,0.03032669,0.03032669,0.03032669,0.03032669
0.044,0.03027763,0.03027763,0.03027763,0.03027763
0.045,0.03025987,0.03025987,0.03025987,0.03025987
0.046,0.03025367,0.03025367,0.03025367,0.03025367
0.048,0.03019341,0.03019341,0.03019341,0.03019341
0.05,0.03056135,0.03056135,0.03056135,0.03056135
0.055,0.03112715,0.03112715,0.03112715,0.03112715
0.06,0.03203268,0.03203268,0.03203268,0.03203268
0.065,0.03368015,0.03368015,0.03368015,0.03368015
0.067,0.03398905,0.03398905,0.03398905,0.03398905
0.07,0.03333147,0.03333147,0.03333147,0.03333147
0.075,0.03476049,0.03476049,0.03476049,0.03476049
0.08,0.03821639,0.03821639,0.03821639,0.03821639
0.085,0.04161344,0.04161344,0.04161344,0.04161344
0.09,0.04192132,0.04192132,0.04192132,0.04192132
0.095,0.04479293,0.04479293,0.04479293,0.04479293
0.1,0.04842706,0.04842706,0.04842706,0.04842706
0.11,0.06023743,0.06023743,0.06023743,0.06023743
0.12,0.0653545,0.0653545,0.0653545,0.0653545
0.13,0.06720062,0.06720062,0.06720062,0.06720062
0.133,0.07053674,0.07053674,0.07053674,0.07053674
0.14,0.07687647,0.07687647,0.07687647,0.07687647
0.15,0.07151183,0.07151183,0.07151183,0.07151183
0.16,0.06483269,0.06483269,0.06483269,0.06483269
0.17,0.06003526,0.06003526,0.06003526,0.06003526
0.18,0.05884227,0.05884227,0.05884227,0.05884227
0.19,0.06029239,0.06029239,0.06029239,0.06029239
0.2,0.06352796,0.06352796,0.06352796,0.06352796
0.22,0.06310452,0.06310452,0.06310452,0.06310452
