
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 11
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 11, -, 1.0, -, 5.8, 15.4, 0.1, "Northwest Calif-03", 1951, "Ferndale City Hall", 5.8, strike slip, 53.73, 53.77, 219.31, 0.5, 1.0, RSN11_NWCALIF.AB_B-FRN224.AT2, RSN11_NWCALIF.AB_B-FRN314.AT2 , RSN11_NWCALIF.AB_B-FRN-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-11 RotD50 pSa (g)
0.01,0.1072895,0.1072895,0.1072895,0.1072895
0.02,0.1082798,0.1082798,0.1082798,0.1082798
0.022,0.1084507,0.1084507,0.1084507,0.1084507
0.025,0.1085245,0.1085245,0.1085245,0.1085245
0.029,0.1098905,0.1098905,0.1098905,0.1098905
0.03,0.1102255,0.1102255,0.1102255,0.1102255
0.032,0.1105271,0.1105271,0.1105271,0.1105271
0.035,0.1107037,0.1107037,0.1107037,0.1107037
0.036,0.1108212,0.1108212,0.1108212,0.1108212
0.04,0.1113394,0.1113394,0.1113394,0.1113394
0.042,0.1132247,0.1132247,0.1132247,0.1132247
0.044,0.1139294,0.1139294,0.1139294,0.1139294
0.045,0.1146263,0.1146263,0.1146263,0.1146263
0.046,0.1158923,0.1158923,0.1158923,0.1158923
0.048,0.1191273,0.1191273,0.1191273,0.1191273
0.05,0.1203837,0.1203837,0.1203837,0.1203837
0.055,0.121096,0.121096,0.121096,0.121096
0.06,0.1179434,0.1179434,0.1179434,0.1179434
0.065,0.1184429,0.1184429,0.1184429,0.1184429
0.067,0.117579,0.117579,0.117579,0.117579
0.07,0.1150775,0.1150775,0.1150775,0.1150775
0.075,0.1227132,0.1227132,0.1227132,0.1227132
0.08,0.1404954,0.1404954,0.1404954,0.1404954
0.085,0.1332907,0.1332907,0.1332907,0.1332907
0.09,0.1515753,0.1515753,0.1515753,0.1515753
0.095,0.1512113,0.1512113,0.1512113,0.1512113
0.1,0.163965,0.163965,0.163965,0.163965
0.11,0.1879112,0.1879112,0.1879112,0.1879112
0.12,0.1789977,0.1789977,0.1789977,0.1789977
0.13,0.1885051,0.1885051,0.1885051,0.1885051
0.133,0.1958047,0.1958047,0.1958047,0.1958047
0.14,0.2141581,0.2141581,0.2141581,0.2141581
0.15,0.2557531,0.2557531,0.2557531,0.2557531
0.16,0.2715937,0.2715937,0.2715937,0.2715937
0.17,0.2893793,0.2893793,0.2893793,0.2893793
0.18,0.318911,0.318911,0.318911,0.318911
0.19,0.3334609,0.3334609,0.3334609,0.3334609
0.2,0.2873994,0.2873994,0.2873994,0.2873994
0.22,0.2463539,0.2463539,0.2463539,0.2463539
0.24,0.2311848,0.2311848,0.2311848,0.2311848
