
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 3744
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 3744, -, 1.0, 5.362, 3.6, 13.4, 0.6, "Cape Mendocino", 1992, "Bunker Hill FAA", 7.01, Reverse, 8.49, 12.24, 566.42, 0.0, 1.0, RSN3744_CAPEMEND_BNH270.AT2, RSN3744_CAPEMEND_BNH360.AT2 , RSN3744_CAPEMEND_BNH-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-3744 RotD50 pSa (g)
0.01,0.1917019,0.1917019,0.1917019,0.1917019
0.02,0.1924498,0.1924498,0.1924498,0.1924498
0.022,0.1926815,0.1926815,0.1926815,0.1926815
0.025,0.1929629,0.1929629,0.1929629,0.1929629
0.029,0.1940923,0.1940923,0.1940923,0.1940923
0.03,0.1946277,0.1946277,0.1946277,0.1946277
0.032,0.1950935,0.1950935,0.1950935,0.1950935
0.035,0.1951565,0.1951565,0.1951565,0.1951565
0.036,0.1952842,0.1952842,0.1952842,0.1952842
0.04,0.1967204,0.1967204,0.1967204,0.1967204
0.042,0.1983456,0.1983456,0.1983456,0.1983456
0.044,0.1993028,0.1993028,0.1993028,0.1993028
0.045,0.1992996,0.1992996,0.1992996,0.1992996
0.046,0.1993527,0.1993527,0.1993527,0.1993527
0.048,0.1995746,0.1995746,0.1995746,0.1995746
0.05,0.200491,0.200491,0.200491,0.200491
0.055,0.2054951,0.2054951,0.2054951,0.2054951
0.06,0.2084097,0.2084097,0.2084097,0.2084097
0.065,0.2073639,0.2073639,0.2073639,0.2073639
0.067,0.2048789,0.2048789,0.2048789,0.2048789
0.07,0.2105612,0.2105612,0.2105612,0.2105612
0.075,0.219401,0.219401,0.219401,0.219401
0.08,0.2227658,0.2227658,0.2227658,0.2227658
0.085,0.2218075,0.2218075,0.2218075,0.2218075
0.09,0.2149851,0.2149851,0.2149851,0.2149851
0.095,0.2192115,0.2192115,0.2192115,0.2192115
0.1,0.2263407,0.2263407,0.2263407,0.2263407
0.11,0.2303518,0.2303518,0.2303518,0.2303518
0.12,0.2421395,0.2421395,0.2421395,0.2421395
0.13,0.2475853,0.2475853,0.2475853,0.2475853
0.133,0.2553005,0.2553005,0.2553005,0.2553005
0.14,0.2880095,0.2880095,0.2880095,0.2880095
0.15,0.3076643,0.3076643,0.3076643,0.3076643
0.16,0.3150558,0.3150558,0.3150558,0.3150558
0.17,0.323236,0.323236,0.323236,0.323236
0.18,0.3387575,0.3387575,0.3387575,0.3387575
0.19,0.3475173,0.3475173,0.3475173,0.3475173
0.2,0.3483222,0.3483222,0.3483222,0.3483222
0.22,0.3376021,0.3376021,0.3376021,0.3376021
