
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 12
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 12, -, 1.0, -, 18.6, 33.5, 0.1, "Kern County", 1952, "LA - Hollywood Stor FF", 7.36, Reverse, 114.62, 117.75, 316.46, 0.125, 1.0, RSN12_KERN.PEL_PEL090.AT2, RSN12_KERN.PEL_PEL180.AT2 , RSN12_KERN.PEL_PEL-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-12 RotD50 pSa (g)
0.01,0.05277712,0.05277712,0.05277712,0.05277712
0.02,0.05288368,0.05288368,0.05288368,0.05288368
0.022,0.05290337,0.05290337,0.05290337,0.05290337
0.025,0.05293439,0.05293439,0.05293439,0.05293439
0.029,0.05308742,0.05308742,0.05308742,0.05308742
0.03,0.05310568,0.05310568,0.05310568,0.05310568
0.032,0.05312971,0.05312971,0.05312971,0.05312971
0.035,0.05337692,0.05337692,0.05337692,0.05337692
0.036,0.05341966,0.05341966,0.05341966,0.05341966
0.04,0.05385615,0.05385615,0.05385615,0.05385615
0.042,0.05443465,0.05443465,0.05443465,0.05443465
0.044,0.05445899,0.05445899,0.05445899,0.05445899
0.045,0.05438746,0.05438746,0.05438746,0.05438746
0.046,0.05424746,0.05424746,0.05424746,0.05424746
0.048,0.05429022,0.05429022,0.05429022,0.05429022
0.05,0.05431889,0.05431889,0.05431889,0.05431889
0.055,0.05484196,0.05484196,0.05484196,0.05484196
0.06,0.05672095,0.05672095,0.05672095,0.05672095
0.065,0.05897831,0.05897831,0.05897831,0.05897831
0.067,0.05933503,0.05933503,0.05933503,0.05933503
0.07,0.05911188,0.05911188,0.05911188,0.05911188
0.075,0.05954262,0.05954262,0.05954262,0.05954262
0.08,0.05824492,0.05824492,0.05824492,0.05824492
0.085,0.05906371,0.05906371,0.05906371,0.05906371
0.09,0.05886283,0.05886283,0.05886283,0.05886283
0.095,0.06062317,0.06062317,0.06062317,0.06062317
0.1,0.06184468,0.06184468,0.06184468,0.06184468
0.11,0.07105166,0.07105166,0.07105166,0.07105166
0.12,0.07432492,0.07432492,0.07432492,0.07432492
0.13,0.08432714,0.08432714,0.08432714,0.08432714
0.133,0.08547821,0.08547821,0.08547821,0.08547821
0.14,0.08596307,0.08596307,0.08596307,0.08596307
0.15,0.09610041,0.09610041,0.09610041,0.09610041
0.16,0.1130566,0.1130566,0.1130566,0.1130566
0.17,0.1121375,0.1121375,0.1121375,0.1121375
0.18,0.1163584,0.1163584,0.1163584,0.1163584
0.19,0.1193135,0.1193135,0.1193135,0.1193135
0.2,0.1157662,0.1157662,0.1157662,0.1157662
0.22,0.1186396,0.1186396,0.1186396,0.1186396
