
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 16
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 16, -, 1.0, -, 5.7, 18.4, 0.1, "Northern Calif-02", 1952, "Ferndale City Hall", 5.2, strike slip, 42.69, 43.28, 219.31, 0.2875, 1.0, RSN16_NCALIF.AG_A-FRN044.AT2, RSN16_NCALIF.AG_A-FRN134.AT2 , RSN16_NCALIF.AG_A-FRN-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-16 RotD50 pSa (g)
0.01,0.06849547,0.06849547,0.06849547,0.06849547
0.02,0.06876323,0.06876323,0.06876323,0.06876323
0.022,0.06880236,0.06880236,0.06880236,0.06880236
0.025,0.06893606,0.06893606,0.06893606,0.06893606
0.029,0.06926236,0.06926236,0.06926236,0.06926236
0.03,0.06901694,0.06901694,0.06901694,0.06901694
0.032,0.06974614,0.06974614,0.06974614,0.06974614
0.035,0.07060977,0.07060977,0.07060977,0.07060977
0.036,0.07072758,0.07072758,0.07072758,0.07072758
0.04,0.07308333,0.07308333,0.07308333,0.07308333
0.042,0.072658,0.072658,0.072658,0.072658
0.044,0.07153425,0.07153425,0.07153425,0.07153425
0.045,0.07208398,0.07208398,0.07208398,0.07208398
0.046,0.07395871,0.07395871,0.07395871,0.07395871
0.048,0.07814529,0.07814529,0.07814529,0.07814529
0.05,0.08010554,0.08010554,0.08010554,0.08010554
0.055,0.07672503,0.07672503,0.07672503,0.07672503
0.06,0.07832919,0.07832919,0.07832919,0.07832919
0.065,0.08195792,0.08195792,0.08195792,0.08195792
0.067,0.08282167,0.08282167,0.08282167,0.08282167
0.07,0.08604605,0.08604605,0.08604605,0.08604605
0.075,0.08856313,0.08856313,0.08856313,0.08856313
0.08,0.08621792,0.08621792,0.08621792,0.08621792
0.085,0.08488461,0.08488461,0.08488461,0.08488461
0.09,0.09362972,0.09362972,0.09362972,0.09362972
0.095,0.1012094,0.1012094,0.1012094,0.1012094
0.1,0.105313,0.105313,0.105313,0.105313
0.11,0.1072833,0.1072833,0.1072833,0.1072833
0.12,0.1325863,0.1325863,0.1325863,0.1325863
0.13,0.1445152,0.1445152,0.1445152,0.1445152
0.133,0.1483193,0.1483193,0.1483193,0.1483193
0.14,0.163858,0.163858,0.163858,0.163858
0.15,0.1941828,0.1941828,0.1941828,0.1941828
0.16,0.1775208,0.1775208,0.1775208,0.1775208
0.17,0.1909127,0.1909127,0.1909127,0.1909127
0.18,0.1873588,0.1873588,0.1873588,0.1873588
0.19,0.1801811,0.1801811,0.1801811,0.1801811
0.2,0.2037033,0.2037033,0.2037033,0.2037033
0.22,0.206084,0.206084,0.206084,0.206084
0.24,0.187833,0.187833,0.187833,0.187833
