
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 17
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 17, -, 1.0, -, 3.8, 13.3, 0.0, "Southern Calif", 1952, "San Luis Obispo", 6.0, strike slip, 73.35, 73.41, 493.5, 0.1375, 1.0, RSN17_SCALIF_SLO234.AT2, RSN17_SCALIF_SLO324.AT2 , RSN17_SCALIF_SLO-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-17 RotD50 pSa (g)
0.01,0.04307113,0.04307113,0.04307113,0.04307113
0.02,0.04314539,0.04314539,0.04314539,0.04314539
0.022,0.04315721,0.04315721,0.04315721,0.04315721
0.025,0.0433128,0.0433128,0.0433128,0.0433128
0.029,0.04373118,0.04373118,0.04373118,0.04373118
0.03,0.04387756,0.04387756,0.04387756,0.04387756
0.032,0.04429941,0.04429941,0.04429941,0.04429941
0.035,0.0446493,0.0446493,0.0446493,0.0446493
0.036,0.0447295,0.0447295,0.0447295,0.0447295
0.04,0.04486578,0.04486578,0.04486578,0.04486578
0.042,0.04515598,0.04515598,0.04515598,0.04515598
0.044,0.04583253,0.04583253,0.04583253,0.04583253
0.045,0.04611572,0.04611572,0.04611572,0.04611572
0.046,0.04632782,0.04632782,0.04632782,0.04632782
0.048,0.04664427,0.04664427,0.04664427,0.04664427
0.05,0.04702569,0.04702569,0.04702569,0.04702569
0.055,0.04801733,0.04801733,0.04801733,0.04801733
0.06,0.04816938,0.04816938,0.04816938,0.04816938
0.065,0.05077163,0.05077163,0.05077163,0.05077163
0.067,0.05172667,0.05172667,0.05172667,0.05172667
0.07,0.05247293,0.05247293,0.05247293,0.05247293
0.075,0.05466776,0.05466776,0.05466776,0.05466776
0.08,0.05675368,0.05675368,0.05675368,0.05675368
0.085,0.05891082,0.05891082,0.05891082,0.05891082
0.09,0.06219476,0.06219476,0.06219476,0.06219476
0.095,0.06655851,0.06655851,0.06655851,0.06655851
0.1,0.06746621,0.06746621,0.06746621,0.06746621
0.11,0.07606346,0.07606346,0.07606346,0.07606346
0.12,0.09484914,0.09484914,0.09484914,0.09484914
0.13,0.09692381,0.09692381,0.09692381,0.09692381
0.133,0.09407378,0.09407378,0.09407378,0.09407378
0.14,0.1011467,0.1011467,0.1011467,0.1011467
0.15,0.1128273,0.1128273,0.1128273,0.1128273
0.16,0.1074383,0.1074383,0.1074383,0.1074383
0.17,0.1288357,0.1288357,0.1288357,0.1288357
0.18,0.1522197,0.1522197,0.1522197,0.1522197
0.19,0.1567545,0.1567545,0.1567545,0.1567545
0.2,0.1423603,0.1423603,0.1423603,0.1423603
0.22,0.1133043,0.1133043,0.1133043,0.1133043
0.24,0.1083808,0.1083808,0.1083808,0.1083808
0.25,0.1099739,0.1099739,0.1099739,0.1099739
0.26,0.1154032,0.1154032,0.1154032,0.1154032
0.28,0.1134534,0.1134534,0.1134534,0.1134534
0.29,0.1089102,0.1089102,0.1089102,0.1089102
0.3,0.1029448,0.1029448,0.1029448,0.1029448
0.32,0.08756419,0.08756419,0.08756419,0.08756419
0.34,0.08553834,0.08553834,0.08553834,0.08553834
0.35,0.08903512,0.08903512,0.08903512,0.08903512
0.36,0.09605032,0.09605032,0.09605032,0.09605032
0.38,0.1091034,0.1091034,0.1091034,0.1091034
0.4,0.1135122,0.1135122,0.1135122,0.1135122
0.42,0.09871119,0.09871119,0.09871119,0.09871119
0.44,0.08361897,0.08361897,0.08361897,0.08361897
0.45,0.08722905,0.08722905,0.08722905,0.08722905
0.46,0.09344226,0.09344226,0.09344226,0.09344226
0.48,0.09123525,0.09123525,0.09123525,0.09123525
0.5,0.09683997,0.09683997,0.09683997,0.09683997
0.55,0.09902012,0.09902012,0.09902012,0.09902012
0.6,0.1127109,0.1127109,0.1127109,0.1127109
0.65,0.09217823,0.09217823,0.09217823,0.09217823
