
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 18
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 18, -, 1.0, -, 12.2, 14.3, 0.0, "Imperial Valley-04", 1953, "El Centro Array #9", 5.5, strike slip, 15.11, 15.64, 213.44, 0.75, 1.0, RSN18_IMPVALL.BG_G-ELC000.AT2, RSN18_IMPVALL.BG_G-ELC090.AT2 , RSN18_IMPVALL.BG_G-ELC-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-18 RotD50 pSa (g)
0.01,0.02796529,0.02796529,0.02796529,0.02796529
0.02,0.02814834,0.02814834,0.02814834,0.02814834
0.022,0.02818719,0.02818719,0.02818719,0.02818719
0.025,0.02829261,0.02829261,0.02829261,0.02829261
0.029,0.02848319,0.02848319,0.02848319,0.02848319
0.03,0.02850838,0.02850838,0.02850838,0.02850838
0.032,0.02867651,0.02867651,0.02867651,0.02867651
0.035,0.02897602,0.02897602,0.02897602,0.02897602
0.036,0.0291977,0.0291977,0.0291977,0.0291977
0.04,0.0294256,0.0294256,0.0294256,0.0294256
0.042,0.02978644,0.02978644,0.02978644,0.02978644
0.044,0.02987918,0.02987918,0.02987918,0.02987918
0.045,0.02981298,0.02981298,0.02981298,0.02981298
0.046,0.02972074,0.02972074,0.02972074,0.02972074
0.048,0.03069697,0.03069697,0.03069697,0.03069697
0.05,0.03106708,0.03106708,0.03106708,0.03106708
0.055,0.03181923,0.03181923,0.03181923,0.03181923
0.06,0.0326151,0.0326151,0.0326151,0.0326151
0.065,0.03165041,0.03165041,0.03165041,0.03165041
0.067,0.03181805,0.03181805,0.03181805,0.03181805
0.07,0.03258454,0.03258454,0.03258454,0.03258454
0.075,0.03381336,0.03381336,0.03381336,0.03381336
0.08,0.03570592,0.03570592,0.03570592,0.03570592
0.085,0.03686549,0.03686549,0.03686549,0.03686549
0.09,0.0362773,0.0362773,0.0362773,0.0362773
0.095,0.03883468,0.03883468,0.03883468,0.03883468
0.1,0.04276581,0.04276581,0.04276581,0.04276581
0.11,0.04592641,0.04592641,0.04592641,0.04592641
0.12,0.04734442,0.04734442,0.04734442,0.04734442
0.13,0.04907868,0.04907868,0.04907868,0.04907868
0.133,0.05399511,0.05399511,0.05399511,0.05399511
0.14,0.06345748,0.06345748,0.06345748,0.06345748
0.15,0.07102066,0.07102066,0.07102066,0.07102066
0.16,0.06657311,0.06657311,0.06657311,0.06657311
0.17,0.06867761,0.06867761,0.06867761,0.06867761
0.18,0.07178977,0.07178977,0.07178977,0.07178977
0.19,0.07606544,0.07606544,0.07606544,0.07606544
0.2,0.07845026,0.07845026,0.07845026,0.07845026
0.22,0.0789469,0.0789469,0.0789469,0.0789469
