
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 19
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 19, -, 1.0, -, 9.8, 25.1, 0.0, "Central Calif-01", 1954, "Hollister City Hall", 5.3, strike slip, 25.11, 25.81, 198.77, 0.375, 1.0, RSN19_CTRCALIF_A-HCH181.AT2, RSN19_CTRCALIF_A-HCH271.AT2 , RSN19_CTRCALIF_A-HCH-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-19 RotD50 pSa (g)
0.01,0.04773276,0.04773276,0.04773276,0.04773276
0.02,0.04793689,0.04793689,0.04793689,0.04793689
0.022,0.04799252,0.04799252,0.04799252,0.04799252
0.025,0.04806265,0.04806265,0.04806265,0.04806265
0.029,0.04818181,0.04818181,0.04818181,0.04818181
0.03,0.04822124,0.04822124,0.04822124,0.04822124
0.032,0.0482549,0.0482549,0.0482549,0.0482549
0.035,0.04853425,0.04853425,0.04853425,0.04853425
0.036,0.0487016,0.0487016,0.0487016,0.0487016
0.04,0.04884646,0.04884646,0.04884646,0.04884646
0.042,0.04902055,0.04902055,0.04902055,0.04902055
0.044,0.04916953,0.04916953,0.04916953,0.04916953
0.045,0.0491602,0.0491602,0.0491602,0.0491602
0.046,0.04907132,0.04907132,0.04907132,0.04907132
0.048,0.04897301,0.04897301,0.04897301,0.04897301
0.05,0.04879954,0.04879954,0.04879954,0.04879954
0.055,0.04971537,0.04971537,0.04971537,0.04971537
0.06,0.05055548,0.05055548,0.05055548,0.05055548
0.065,0.0502625,0.0502625,0.0502625,0.0502625
0.067,0.0499297,0.0499297,0.0499297,0.0499297
0.07,0.05050331,0.05050331,0.05050331,0.05050331
0.075,0.05267203,0.05267203,0.05267203,0.05267203
0.08,0.0551005,0.0551005,0.0551005,0.0551005
0.085,0.05668851,0.05668851,0.05668851,0.05668851
0.09,0.05627051,0.05627051,0.05627051,0.05627051
0.095,0.05836536,0.05836536,0.05836536,0.05836536
0.1,0.06400123,0.06400123,0.06400123,0.06400123
0.11,0.0697664,0.0697664,0.0697664,0.0697664
0.12,0.07690742,0.07690742,0.07690742,0.07690742
0.13,0.08232208,0.08232208,0.08232208,0.08232208
0.133,0.0874785,0.0874785,0.0874785,0.0874785
0.14,0.1054452,0.1054452,0.1054452,0.1054452
0.15,0.1177296,0.1177296,0.1177296,0.1177296
0.16,0.1260464,0.1260464,0.1260464,0.1260464
0.17,0.1299469,0.1299469,0.1299469,0.1299469
0.18,0.1243785,0.1243785,0.1243785,0.1243785
0.19,0.1188096,0.1188096,0.1188096,0.1188096
0.2,0.1142657,0.1142657,0.1142657,0.1142657
0.22,0.09876514,0.09876514,0.09876514,0.09876514
