
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 20
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 20, -, 1.0, -, 6.8, 19.4, 0.5, "Northern Calif-03", 1954, "Ferndale City Hall", 6.5, strike slip, 26.72, 27.02, 219.31, 0.125, 1.0, RSN20_NCALIF.FH_H-FRN044.AT2, RSN20_NCALIF.FH_H-FRN314.AT2 , RSN20_NCALIF.FH_H-FRN-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-20 RotD50 pSa (g)
0.01,0.1861963,0.1861963,0.1861963,0.1861963
0.02,0.1876444,0.1876444,0.1876444,0.1876444
0.022,0.1885446,0.1885446,0.1885446,0.1885446
0.025,0.188776,0.188776,0.188776,0.188776
0.029,0.1909762,0.1909762,0.1909762,0.1909762
0.03,0.1916499,0.1916499,0.1916499,0.1916499
0.032,0.1930813,0.1930813,0.1930813,0.1930813
0.035,0.1938359,0.1938359,0.1938359,0.1938359
0.036,0.1949251,0.1949251,0.1949251,0.1949251
0.04,0.1983525,0.1983525,0.1983525,0.1983525
0.042,0.1955416,0.1955416,0.1955416,0.1955416
0.044,0.1938347,0.1938347,0.1938347,0.1938347
0.045,0.1939378,0.1939378,0.1939378,0.1939378
0.046,0.1939857,0.1939857,0.1939857,0.1939857
0.048,0.1935568,0.1935568,0.1935568,0.1935568
0.05,0.1929409,0.1929409,0.1929409,0.1929409
0.055,0.1925644,0.1925644,0.1925644,0.1925644
0.06,0.203513,0.203513,0.203513,0.203513
0.065,0.2077946,0.2077946,0.2077946,0.2077946
0.067,0.2050778,0.2050778,0.2050778,0.2050778
0.07,0.2001881,0.2001881,0.2001881,0.2001881
0.075,0.2233531,0.2233531,0.2233531,0.2233531
0.08,0.2393259,0.2393259,0.2393259,0.2393259
0.085,0.2315976,0.2315976,0.2315976,0.2315976
0.09,0.2390679,0.2390679,0.2390679,0.2390679
0.095,0.2553417,0.2553417,0.2553417,0.2553417
0.1,0.261706,0.261706,0.261706,0.261706
0.11,0.2512886,0.2512886,0.2512886,0.2512886
0.12,0.279947,0.279947,0.279947,0.279947
0.13,0.3084552,0.3084552,0.3084552,0.3084552
0.133,0.3036325,0.3036325,0.3036325,0.3036325
0.14,0.3092999,0.3092999,0.3092999,0.3092999
0.15,0.3141948,0.3141948,0.3141948,0.3141948
0.16,0.3470792,0.3470792,0.3470792,0.3470792
0.17,0.3620781,0.3620781,0.3620781,0.3620781
0.18,0.3608066,0.3608066,0.3608066,0.3608066
0.19,0.3381647,0.3381647,0.3381647,0.3381647
0.2,0.3361425,0.3361425,0.3361425,0.3361425
0.22,0.308822,0.308822,0.308822,0.308822
0.24,0.2918946,0.2918946,0.2918946,0.2918946
0.25,0.281951,0.281951,0.281951,0.281951
0.26,0.2956723,0.2956723,0.2956723,0.2956723
0.28,0.2982056,0.2982056,0.2982056,0.2982056
0.29,0.3052645,0.3052645,0.3052645,0.3052645
0.3,0.3089767,0.3089767,0.3089767,0.3089767
0.32,0.3122323,0.3122323,0.3122323,0.3122323
0.34,0.3272393,0.3272393,0.3272393,0.3272393
0.35,0.3428904,0.3428904,0.3428904,0.3428904
0.36,0.3533827,0.3533827,0.3533827,0.3533827
0.38,0.3994537,0.3994537,0.3994537,0.3994537
0.4,0.4059781,0.4059781,0.4059781,0.4059781
0.42,0.3519279,0.3519279,0.3519279,0.3519279
0.44,0.3245002,0.3245002,0.3245002,0.3245002
0.45,0.3096386,0.3096386,0.3096386,0.3096386
0.46,0.3048851,0.3048851,0.3048851,0.3048851
0.48,0.3131732,0.3131732,0.3131732,0.3131732
0.5,0.3401734,0.3401734,0.3401734,0.3401734
0.55,0.3765582,0.3765582,0.3765582,0.3765582
0.6,0.3732632,0.3732632,0.3732632,0.3732632
0.65,0.3679209,0.3679209,0.3679209,0.3679209
0.667,0.3764722,0.3764722,0.3764722,0.3764722
0.7,0.3935086,0.3935086,0.3935086,0.3935086
0.75,0.4066624,0.4066624,0.4066624,0.4066624
0.8,0.4073073,0.4073073,0.4073073,0.4073073
0.85,0.3772296,0.3772296,0.3772296,0.3772296
0.9,0.3405475,0.3405475,0.3405475,0.3405475
0.95,0.3133807,0.3133807,0.3133807,0.3133807
1.0,0.3139571,0.3139571,0.3139571,0.3139571
1.1,0.3105946,0.3105946,0.3105946,0.3105946
1.2,0.3389681,0.3389681,0.3389681,0.3389681
1.3,0.34989,0.34989,0.34989,0.34989
1.4,0.3539477,0.3539477,0.3539477,0.3539477
1.5,0.3469354,0.3469354,0.3469354,0.3469354
1.6,0.3234207,0.3234207,0.3234207,0.3234207
1.7,0.3008485,0.3008485,0.3008485,0.3008485
1.8,0.2762274,0.2762274,0.2762274,0.2762274
1.9,0.2470363,0.2470363,0.2470363,0.2470363
2.0,0.2171015,0.2171015,0.2171015,0.2171015
2.2,0.1664181,0.1664181,0.1664181,0.1664181
2.4,0.1318564,0.1318564,0.1318564,0.1318564
2.5,0.1187962,0.1187962,0.1187962,0.1187962
2.6,0.1093643,0.1093643,0.1093643,0.1093643
2.8,0.09911067,0.09911067,0.09911067,0.09911067
3.0,0.08913929,0.08913929,0.08913929,0.08913929
3.2,0.08069348,0.08069348,0.08069348,0.08069348
3.4,0.08191273,0.08191273,0.08191273,0.08191273
3.5,0.07892396,0.07892396,0.07892396,0.07892396
3.6,0.07069276,0.07069276,0.07069276,0.07069276
3.8,0.06395295,0.06395295,0.06395295,0.06395295
4.0,0.0563068,0.0563068,0.0563068,0.0563068
4.2,0.05160407,0.05160407,0.05160407,0.05160407
4.4,0.0474815,0.0474815,0.0474815,0.0474815
4.6,0.04320577,0.04320577,0.04320577,0.04320577
4.8,0.03932114,0.03932114,0.03932114,0.03932114
5.0,0.03583606,0.03583606,0.03583606,0.03583606
5.5,0.02625945,0.02625945,0.02625945,0.02625945
6.0,0.02041568,0.02041568,0.02041568,0.02041568
6.5,0.01677825,0.01677825,0.01677825,0.01677825
7.0,0.01389028,0.01389028,0.01389028,0.01389028
7.5,0.01183332,0.01183332,0.01183332,0.01183332
8.0,0.01029641,0.01029641,0.01029641,0.01029641
8.5,0.00952754,0.00952754,0.00952754,0.00952754
9.0,0.00883462,0.00883462,0.00883462,0.00883462
9.5,0.00792936,0.00792936,0.00792936,0.00792936
10.0,0.00700018,0.00700018,0.00700018,0.00700018
11.0,0.00528838,0.00528838,0.00528838,0.00528838
12.0,0.00428469,0.00428469,0.00428469,0.00428469
13.0,0.00361186,0.00361186,0.00361186,0.00361186
14.0,0.00302739,0.00302739,0.00302739,0.00302739
15.0,0.00251882,0.00251882,0.00251882,0.00251882
20.0,0.00128245,0.00128245,0.00128245,0.00128245

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-20 Horizontal-1 pSa (g),RSN-20 Horizontal-2 pSa (g),RSN-20 Vertical pSa (g)
0.01,0.1634212,0.2035711,0.0424
0.02,0.1644219,0.2040074,0.0425
0.022,0.1644853,0.2040832,0.0426
0.025,0.1653818,0.2042526,0.0427
0.029,0.1653057,0.2046571,0.0428
0.03,0.1654688,0.2047898,0.0429
0.032,0.1669805,0.2051163,0.043
0.035,0.1664662,0.2056355,0.0431
0.036,0.1690998,0.205925,0.0432
0.04,0.1720584,0.2079062,0.0433
0.042,0.1716088,0.2074577,0.0434
0.044,0.1692608,0.2058402,0.0434
0.045,0.1683579,0.2060983,0.0434
0.046,0.1691269,0.2074516,0.0435
0.048,0.1712244,0.2101758,0.0436
0.05,0.1702381,0.2113904,0.0439
0.055,0.1733606,0.2115487,0.0441
0.06,0.1756009,0.2123177,0.0439
0.065,0.1718672,0.221467,0.0428
0.067,0.1776986,0.2176922,0.0446
0.07,0.1879007,0.2057429,0.0456
0.075,0.1978815,0.2264671,0.0455
0.08,0.2262463,0.2426785,0.0453
0.085,0.2259457,0.2345756,0.0506
0.09,0.2116811,0.2251629,0.0509
0.095,0.2261487,0.2336012,0.0514
0.1,0.2343685,0.2313692,0.0575
0.11,0.2552729,0.2372761,0.0564
0.12,0.2653385,0.2990366,0.0713
0.13,0.3103444,0.3615842,0.0683
0.133,0.3046681,0.3768078,0.0717
0.14,0.2797929,0.4002066,0.0835
0.15,0.2809399,0.4116446,0.0709
0.16,0.2952438,0.4257948,0.0621
0.17,0.297552,0.4260752,0.066
0.18,0.2885179,0.4222378,0.0625
0.19,0.2748357,0.3870471,0.0559
0.2,0.2751872,0.3720147,0.0597
0.22,0.2555353,0.3122211,0.0824
0.24,0.2827834,0.2937903,0.0923
0.25,0.3178752,0.2664791,0.0797
0.26,0.3283854,0.2627971,0.0663
0.28,0.3690825,0.2168009,0.0594
0.29,0.3669381,0.2163525,0.0638
0.3,0.3630654,0.2388691,0.0699
0.32,0.3465005,0.2799761,0.0653
0.34,0.3597489,0.3112031,0.068
0.35,0.3949098,0.3075376,0.0723
0.36,0.4287867,0.2960717,0.0763
0.38,0.4885506,0.2967925,0.0736
0.4,0.4797175,0.2998389,0.0693
0.42,0.439897,0.2849069,0.0774
0.44,0.4038991,0.2739137,0.104
0.45,0.3776989,0.2822635,0.115
0.46,0.347851,0.2917312,0.123
0.48,0.3095753,0.3154731,0.121
0.5,0.317844,0.3361145,0.114
0.55,0.3111995,0.4158692,0.116
0.6,0.3461466,0.3927816,0.11
0.65,0.3800023,0.3660414,0.108
0.667,0.4088083,0.3707219,0.113
0.7,0.4317866,0.3921118,0.126
0.75,0.4346609,0.4237568,0.135
0.8,0.3980094,0.447296,0.123
0.85,0.3240952,0.4350566,0.128
0.9,0.2898677,0.4093001,0.0928
0.95,0.2669156,0.3962804,0.0775
1.0,0.2649489,0.3853819,0.0648
1.1,0.2834937,0.3507765,0.0916
1.2,0.3344871,0.3473648,0.104
1.3,0.3704003,0.3263579,0.0787
1.4,0.3854702,0.3195038,0.0968
1.5,0.3980223,0.2888255,0.105
1.6,0.3893443,0.2491808,0.101
1.7,0.3796636,0.208774,0.104
1.8,0.3528555,0.1746356,0.123
1.9,0.3163216,0.1513208,0.115
2.0,0.2777683,0.129031,0.102
2.2,0.2141811,0.09276142,0.0892
2.4,0.1732793,0.08886935,0.0606
2.5,0.1573347,0.1045849,0.0519
2.6,0.1447424,0.09844373,0.0472
2.8,0.1331044,0.07536149,0.0375
3.0,0.1206048,0.05768216,0.0327
3.2,0.107793,0.06019782,0.0281
