
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 21
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 21, -, 1.0, -, 8.4, 20.0, 0.0, "Imperial Valley-05", 1955, "El Centro Array #9", 5.4, strike slip, 13.78, 14.88, 213.44, 0.375, 1.0, RSN21_IMPVALL.BG_E-ELC000.AT2, RSN21_IMPVALL.BG_E-ELC090.AT2 , RSN21_IMPVALL.BG_E-ELC-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-21 RotD50 pSa (g)
0.01,0.0443207,0.0443207,0.0443207,0.0443207
0.02,0.04543355,0.04543355,0.04543355,0.04543355
0.022,0.0459369,0.0459369,0.0459369,0.0459369
0.025,0.04603132,0.04603132,0.04603132,0.04603132
0.029,0.04511321,0.04511321,0.04511321,0.04511321
0.03,0.0459106,0.0459106,0.0459106,0.0459106
0.032,0.04752015,0.04752015,0.04752015,0.04752015
0.035,0.05027361,0.05027361,0.05027361,0.05027361
0.036,0.05063288,0.05063288,0.05063288,0.05063288
0.04,0.05307054,0.05307054,0.05307054,0.05307054
0.042,0.05240407,0.05240407,0.05240407,0.05240407
0.044,0.05137864,0.05137864,0.05137864,0.05137864
0.045,0.05109681,0.05109681,0.05109681,0.05109681
0.046,0.05185046,0.05185046,0.05185046,0.05185046
0.048,0.05280906,0.05280906,0.05280906,0.05280906
0.05,0.0512073,0.0512073,0.0512073,0.0512073
0.055,0.05817785,0.05817785,0.05817785,0.05817785
0.06,0.05537084,0.05537084,0.05537084,0.05537084
0.065,0.05331228,0.05331228,0.05331228,0.05331228
0.067,0.05556685,0.05556685,0.05556685,0.05556685
0.07,0.06301236,0.06301236,0.06301236,0.06301236
0.075,0.07299204,0.07299204,0.07299204,0.07299204
0.08,0.08414908,0.08414908,0.08414908,0.08414908
0.085,0.0949914,0.0949914,0.0949914,0.0949914
0.09,0.1029815,0.1029815,0.1029815,0.1029815
0.095,0.106857,0.106857,0.106857,0.106857
0.1,0.1217025,0.1217025,0.1217025,0.1217025
0.11,0.1067857,0.1067857,0.1067857,0.1067857
0.12,0.1099687,0.1099687,0.1099687,0.1099687
0.13,0.1140629,0.1140629,0.1140629,0.1140629
0.133,0.1159966,0.1159966,0.1159966,0.1159966
0.14,0.1185624,0.1185624,0.1185624,0.1185624
0.15,0.1158483,0.1158483,0.1158483,0.1158483
0.16,0.1094109,0.1094109,0.1094109,0.1094109
0.17,0.1014176,0.1014176,0.1014176,0.1014176
0.18,0.1036092,0.1036092,0.1036092,0.1036092
0.19,0.1033092,0.1033092,0.1033092,0.1033092
0.2,0.1055841,0.1055841,0.1055841,0.1055841
0.22,0.1080996,0.1080996,0.1080996,0.1080996
