
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 23
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 23, -, 1.0, -, 1.2, 5.0, 0.0, "San Francisco", 1957, "Golden Gate Park", 5.28, Reverse, 9.74, 11.02, 874.72, 0.875, 1.0, RSN23_SANFRAN_GGP010.AT2, RSN23_SANFRAN_GGP100.AT2 , RSN23_SANFRAN_GGP-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-23 RotD50 pSa (g)
0.01,0.08701911,0.08701911,0.08701911,0.08701911
0.02,0.08864323,0.08864323,0.08864323,0.08864323
0.022,0.08947061,0.08947061,0.08947061,0.08947061
0.025,0.0897871,0.0897871,0.0897871,0.0897871
0.029,0.09034064,0.09034064,0.09034064,0.09034064
0.03,0.09154573,0.09154573,0.09154573,0.09154573
0.032,0.09285221,0.09285221,0.09285221,0.09285221
0.035,0.09610935,0.09610935,0.09610935,0.09610935
0.036,0.09634238,0.09634238,0.09634238,0.09634238
0.04,0.09673902,0.09673902,0.09673902,0.09673902
0.042,0.1013123,0.1013123,0.1013123,0.1013123
0.044,0.1056301,0.1056301,0.1056301,0.1056301
0.045,0.106833,0.106833,0.106833,0.106833
0.046,0.1078233,0.1078233,0.1078233,0.1078233
0.048,0.1128351,0.1128351,0.1128351,0.1128351
0.05,0.11646,0.11646,0.11646,0.11646
0.055,0.1100055,0.1100055,0.1100055,0.1100055
0.06,0.1075034,0.1075034,0.1075034,0.1075034
0.065,0.1201927,0.1201927,0.1201927,0.1201927
0.067,0.1333328,0.1333328,0.1333328,0.1333328
0.07,0.1401441,0.1401441,0.1401441,0.1401441
0.075,0.1431533,0.1431533,0.1431533,0.1431533
0.08,0.1525834,0.1525834,0.1525834,0.1525834
0.085,0.1567399,0.1567399,0.1567399,0.1567399
0.09,0.1631579,0.1631579,0.1631579,0.1631579
0.095,0.181534,0.181534,0.181534,0.181534
0.1,0.1908944,0.1908944,0.1908944,0.1908944
0.11,0.2181901,0.2181901,0.2181901,0.2181901
0.12,0.2253926,0.2253926,0.2253926,0.2253926
0.13,0.2634385,0.2634385,0.2634385,0.2634385
0.133,0.2743787,0.2743787,0.2743787,0.2743787
0.14,0.2863756,0.2863756,0.2863756,0.2863756
0.15,0.262506,0.262506,0.262506,0.262506
0.16,0.2498601,0.2498601,0.2498601,0.2498601
0.17,0.2257754,0.2257754,0.2257754,0.2257754
0.18,0.235707,0.235707,0.235707,0.235707
0.19,0.2465673,0.2465673,0.2465673,0.2465673
0.2,0.2609391,0.2609391,0.2609391,0.2609391
0.22,0.2966336,0.2966336,0.2966336,0.2966336
0.24,0.2713818,0.2713818,0.2713818,0.2713818
0.25,0.2478058,0.2478058,0.2478058,0.2478058
0.26,0.2294295,0.2294295,0.2294295,0.2294295
0.28,0.2017709,0.2017709,0.2017709,0.2017709
0.29,0.1822553,0.1822553,0.1822553,0.1822553
0.3,0.1675245,0.1675245,0.1675245,0.1675245
0.32,0.1379179,0.1379179,0.1379179,0.1379179
0.34,0.1182767,0.1182767,0.1182767,0.1182767
0.35,0.1128651,0.1128651,0.1128651,0.1128651
0.36,0.1035905,0.1035905,0.1035905,0.1035905
0.38,0.09938937,0.09938937,0.09938937,0.09938937
0.4,0.1042041,0.1042041,0.1042041,0.1042041
0.42,0.1016817,0.1016817,0.1016817,0.1016817
0.44,0.09654018,0.09654018,0.09654018,0.09654018
0.45,0.09189718,0.09189718,0.09189718,0.09189718
0.46,0.08674987,0.08674987,0.08674987,0.08674987
0.48,0.07694517,0.07694517,0.07694517,0.07694517
0.5,0.06919122,0.06919122,0.06919122,0.06919122
0.55,0.05515158,0.05515158,0.05515158,0.05515158
0.6,0.04108453,0.04108453,0.04108453,0.04108453
0.65,0.03792666,0.03792666,0.03792666,0.03792666
0.667,0.03621754,0.03621754,0.03621754,0.03621754
0.7,0.03495537,0.03495537,0.03495537,0.03495537
0.75,0.03290702,0.03290702,0.03290702,0.03290702
0.8,0.03135237,0.03135237,0.03135237,0.03135237
0.85,0.02873404,0.02873404,0.02873404,0.02873404
0.9,0.02617778,0.02617778,0.02617778,0.02617778
0.95,0.02249332,0.02249332,0.02249332,0.02249332
1.0,0.02088562,0.02088562,0.02088562,0.02088562
1.1,0.01702908,0.01702908,0.01702908,0.01702908
1.2,0.01461507,0.01461507,0.01461507,0.01461507
1.3,0.01310585,0.01310585,0.01310585,0.01310585
1.4,0.01137687,0.01137687,0.01137687,0.01137687
1.5,0.00980502,0.00980502,0.00980502,0.00980502
1.6,0.0086218,0.0086218,0.0086218,0.0086218
1.7,0.00755395,0.00755395,0.00755395,0.00755395
1.8,0.00655675,0.00655675,0.00655675,0.00655675
1.9,0.00561362,0.00561362,0.00561362,0.00561362
2.0,0.00472272,0.00472272,0.00472272,0.00472272
2.2,0.00365448,0.00365448,0.00365448,0.00365448
2.4,0.00306617,0.00306617,0.00306617,0.00306617
2.5,0.00288303,0.00288303,0.00288303,0.00288303
2.6,0.00269356,0.00269356,0.00269356,0.00269356
2.8,0.00236195,0.00236195,0.00236195,0.00236195
3.0,0.00201754,0.00201754,0.00201754,0.00201754
3.2,0.00174393,0.00174393,0.00174393,0.00174393
3.4,0.00152547,0.00152547,0.00152547,0.00152547
3.5,0.0014251,0.0014251,0.0014251,0.0014251
3.6,0.00132762,0.00132762,0.00132762,0.00132762
3.8,0.00116489,0.00116489,0.00116489,0.00116489
4.0,0.00100368,0.00100368,0.00100368,0.00100368
4.2,0.00089469,0.00089469,0.00089469,0.00089469
4.4,0.00079803,0.00079803,0.00079803,0.00079803
4.6,0.00072403,0.00072403,0.00072403,0.00072403
4.8,0.00066872,0.00066872,0.00066872,0.00066872
5.0,0.00061836,0.00061836,0.00061836,0.00061836
5.5,0.0005114,0.0005114,0.0005114,0.0005114
6.0,0.00042686,0.00042686,0.00042686,0.00042686
6.5,0.0003606,0.0003606,0.0003606,0.0003606
7.0,0.00030797,0.00030797,0.00030797,0.00030797
7.5,0.00026607,0.00026607,0.00026607,0.00026607
8.0,0.00023191,0.00023191,0.00023191,0.00023191
8.5,0.00020368,0.00020368,0.00020368,0.00020368
9.0,0.0001803,0.0001803,0.0001803,0.0001803
9.5,0.00016077,0.00016077,0.00016077,0.00016077
10.0,0.00014437,0.00014437,0.00014437,0.00014437
11.0,0.00011815,0.00011815,0.00011815,0.00011815
12.0,9.828e-05,9.828e-05,9.828e-05,9.828e-05
13.0,8.332e-05,8.332e-05,8.332e-05,8.332e-05
14.0,7.147e-05,7.147e-05,7.147e-05,7.147e-05
15.0,6.193e-05,6.193e-05,6.193e-05,6.193e-05
20.0,3.429e-05,3.429e-05,3.429e-05,3.429e-05

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-23 Horizontal-1 pSa (g),RSN-23 Horizontal-2 pSa (g),RSN-23 Vertical pSa (g)
0.01,0.08652391,0.09547279,0.0341
0.02,0.08823135,0.09650021,0.0356
0.022,0.08914909,0.09707002,0.0375
0.025,0.08972549,0.09802037,0.0362
0.029,0.09003308,0.09860644,0.0365
0.03,0.0912552,0.09823257,0.0346
0.032,0.09249406,0.09791739,0.0372
0.035,0.09536732,0.1013455,0.0363
0.036,0.09548154,0.1003903,0.0372
0.04,0.09600049,0.1029098,0.0458
0.042,0.1003996,0.1076339,0.0511
0.044,0.100671,0.1081597,0.0574
0.045,0.0989894,0.1083481,0.059
0.046,0.09845091,0.108705,0.0591
0.048,0.1057891,0.1131388,0.0558
0.05,0.1140694,0.116207,0.0552
0.055,0.09242155,0.1194536,0.0782
0.06,0.08910604,0.1351367,0.104
0.065,0.1111775,0.1371291,0.101
0.067,0.1117517,0.1372678,0.0975
0.07,0.1072804,0.1501452,0.101
0.075,0.1199845,0.1593736,0.0897
0.08,0.1470482,0.1602068,0.108
0.085,0.1363655,0.159936,0.11
0.09,0.1408697,0.2016196,0.102
0.095,0.1497024,0.2291478,0.0807
0.1,0.1704718,0.2217154,0.0713
0.11,0.2031062,0.2577917,0.0836
0.12,0.1552001,0.2860666,0.0853
0.13,0.1878209,0.3393354,0.0975
0.133,0.2096276,0.3421499,0.0919
0.14,0.2509054,0.3085777,0.0669
0.15,0.251811,0.2879815,0.064
0.16,0.2225008,0.247694,0.0703
0.17,0.1778622,0.2693397,0.0753
0.18,0.1549409,0.3058681,0.0605
0.19,0.1561506,0.3267202,0.0507
0.2,0.1649363,0.3474015,0.051
0.22,0.1859829,0.3751259,0.0498
0.24,0.2240748,0.3218222,0.0399
0.25,0.2356124,0.2758281,0.0357
0.26,0.2336155,0.2204978,0.032
0.28,0.2202955,0.1680983,0.0341
0.29,0.2105278,0.1534765,0.0378
0.3,0.197599,0.1379244,0.0389
0.32,0.1647326,0.1178044,0.0324
0.34,0.1305409,0.1041052,0.0261
0.35,0.1148749,0.1092894,0.0245
0.36,0.1006586,0.1105648,0.0236
0.38,0.08001634,0.1100295,0.0247
0.4,0.06825482,0.1313364,0.0303
0.42,0.05820091,0.132523,0.0351
0.44,0.05345225,0.1238933,0.0381
0.45,0.05130178,0.1188272,0.0388
0.46,0.04922515,0.1135415,0.0389
