
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 24
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 24, -, 1.0, -, 13.6, 34.7, 0.0, "Central Calif-02", 1960, "Hollister City Hall", 5.0, strike slip, 7.28, 9.02, 198.77, 0.4125, 1.0, RSN24_CTRCALIF_B-HCH181.AT2, RSN24_CTRCALIF_B-HCH271.AT2 , RSN24_CTRCALIF_B-HCH-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-24 RotD50 pSa (g)
0.01,0.03931708,0.03931708,0.03931708,0.03931708
0.02,0.03944899,0.03944899,0.03944899,0.03944899
0.022,0.03944622,0.03944622,0.03944622,0.03944622
0.025,0.03957779,0.03957779,0.03957779,0.03957779
0.029,0.03985473,0.03985473,0.03985473,0.03985473
0.03,0.03987493,0.03987493,0.03987493,0.03987493
0.032,0.03995429,0.03995429,0.03995429,0.03995429
0.035,0.03996744,0.03996744,0.03996744,0.03996744
0.036,0.03980317,0.03980317,0.03980317,0.03980317
0.04,0.03997561,0.03997561,0.03997561,0.03997561
0.042,0.04029102,0.04029102,0.04029102,0.04029102
0.044,0.04044499,0.04044499,0.04044499,0.04044499
0.045,0.04073023,0.04073023,0.04073023,0.04073023
0.046,0.04097023,0.04097023,0.04097023,0.04097023
0.048,0.04132846,0.04132846,0.04132846,0.04132846
0.05,0.04146492,0.04146492,0.04146492,0.04146492
0.055,0.04229543,0.04229543,0.04229543,0.04229543
0.06,0.04234065,0.04234065,0.04234065,0.04234065
0.065,0.04071644,0.04071644,0.04071644,0.04071644
0.067,0.0410133,0.0410133,0.0410133,0.0410133
0.07,0.04104732,0.04104732,0.04104732,0.04104732
0.075,0.0420513,0.0420513,0.0420513,0.0420513
0.08,0.04147344,0.04147344,0.04147344,0.04147344
0.085,0.04407303,0.04407303,0.04407303,0.04407303
0.09,0.04605869,0.04605869,0.04605869,0.04605869
0.095,0.0482804,0.0482804,0.0482804,0.0482804
0.1,0.04838154,0.04838154,0.04838154,0.04838154
0.11,0.0521309,0.0521309,0.0521309,0.0521309
0.12,0.0579217,0.0579217,0.0579217,0.0579217
0.13,0.06801253,0.06801253,0.06801253,0.06801253
0.133,0.06777146,0.06777146,0.06777146,0.06777146
0.14,0.07034585,0.07034585,0.07034585,0.07034585
0.15,0.07858221,0.07858221,0.07858221,0.07858221
0.16,0.07231145,0.07231145,0.07231145,0.07231145
0.17,0.07420556,0.07420556,0.07420556,0.07420556
0.18,0.07488126,0.07488126,0.07488126,0.07488126
0.19,0.07323324,0.07323324,0.07323324,0.07323324
0.2,0.07592717,0.07592717,0.07592717,0.07592717
0.22,0.08690026,0.08690026,0.08690026,0.08690026
0.24,0.1064906,0.1064906,0.1064906,0.1064906
0.25,0.1123497,0.1123497,0.1123497,0.1123497
0.26,0.1104574,0.1104574,0.1104574,0.1104574
0.28,0.1248618,0.1248618,0.1248618,0.1248618
0.29,0.1282263,0.1282263,0.1282263,0.1282263
0.3,0.135853,0.135853,0.135853,0.135853
0.32,0.1329289,0.1329289,0.1329289,0.1329289
0.34,0.1080876,0.1080876,0.1080876,0.1080876
0.35,0.104008,0.104008,0.104008,0.104008
0.36,0.09311238,0.09311238,0.09311238,0.09311238
0.38,0.08505598,0.08505598,0.08505598,0.08505598
0.4,0.0870424,0.0870424,0.0870424,0.0870424
0.42,0.08402727,0.08402727,0.08402727,0.08402727
0.44,0.06844696,0.06844696,0.06844696,0.06844696
0.45,0.06515849,0.06515849,0.06515849,0.06515849
0.46,0.06521717,0.06521717,0.06521717,0.06521717
0.48,0.06575787,0.06575787,0.06575787,0.06575787
0.5,0.06269724,0.06269724,0.06269724,0.06269724
0.55,0.07678976,0.07678976,0.07678976,0.07678976
0.6,0.07983112,0.07983112,0.07983112,0.07983112
0.65,0.08803868,0.08803868,0.08803868,0.08803868
0.667,0.0888551,0.0888551,0.0888551,0.0888551
0.7,0.08861418,0.08861418,0.08861418,0.08861418
0.75,0.08480774,0.08480774,0.08480774,0.08480774
0.8,0.07374705,0.07374705,0.07374705,0.07374705
0.85,0.06557652,0.06557652,0.06557652,0.06557652
0.9,0.05293342,0.05293342,0.05293342,0.05293342
0.95,0.04177715,0.04177715,0.04177715,0.04177715
1.0,0.034858,0.034858,0.034858,0.034858
1.1,0.03137038,0.03137038,0.03137038,0.03137038
1.2,0.03045832,0.03045832,0.03045832,0.03045832
1.3,0.02810582,0.02810582,0.02810582,0.02810582
1.4,0.02564231,0.02564231,0.02564231,0.02564231
1.5,0.02224485,0.02224485,0.02224485,0.02224485
1.6,0.01918817,0.01918817,0.01918817,0.01918817
1.7,0.01776813,0.01776813,0.01776813,0.01776813
1.8,0.0161207,0.0161207,0.0161207,0.0161207
