
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 25
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 25, -, 1.0, -, 10.0, 28.4, 0.0, "Northern Calif-04", 1960, "Ferndale City Hall", 5.7, strike slip, 56.94, 57.21, 219.31, 0.1625, 1.0, RSN25_NCALIF.AG_B-FRN224.AT2, RSN25_NCALIF.AG_B-FRN314.AT2 , RSN25_NCALIF.AG_B-FRN-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-25 RotD50 pSa (g)
0.01,0.06711601,0.06711601,0.06711601,0.06711601
0.02,0.06780703,0.06780703,0.06780703,0.06780703
0.022,0.06824835,0.06824835,0.06824835,0.06824835
0.025,0.06838326,0.06838326,0.06838326,0.06838326
0.029,0.06798916,0.06798916,0.06798916,0.06798916
0.03,0.06782471,0.06782471,0.06782471,0.06782471
0.032,0.06780793,0.06780793,0.06780793,0.06780793
0.035,0.06938729,0.06938729,0.06938729,0.06938729
0.036,0.06918345,0.06918345,0.06918345,0.06918345
0.04,0.06942337,0.06942337,0.06942337,0.06942337
0.042,0.07114398,0.07114398,0.07114398,0.07114398
0.044,0.07250899,0.07250899,0.07250899,0.07250899
0.045,0.07282564,0.07282564,0.07282564,0.07282564
0.046,0.07293987,0.07293987,0.07293987,0.07293987
0.048,0.07271896,0.07271896,0.07271896,0.07271896
0.05,0.07174606,0.07174606,0.07174606,0.07174606
0.055,0.07231035,0.07231035,0.07231035,0.07231035
0.06,0.07458531,0.07458531,0.07458531,0.07458531
0.065,0.0728376,0.0728376,0.0728376,0.0728376
0.067,0.07342498,0.07342498,0.07342498,0.07342498
0.07,0.07721528,0.07721528,0.07721528,0.07721528
0.075,0.08334371,0.08334371,0.08334371,0.08334371
0.08,0.09057114,0.09057114,0.09057114,0.09057114
0.085,0.1012705,0.1012705,0.1012705,0.1012705
0.09,0.1122527,0.1122527,0.1122527,0.1122527
0.095,0.1145231,0.1145231,0.1145231,0.1145231
0.1,0.1123495,0.1123495,0.1123495,0.1123495
0.11,0.1097394,0.1097394,0.1097394,0.1097394
0.12,0.1153058,0.1153058,0.1153058,0.1153058
0.13,0.1139535,0.1139535,0.1139535,0.1139535
0.133,0.1169026,0.1169026,0.1169026,0.1169026
0.14,0.1182794,0.1182794,0.1182794,0.1182794
0.15,0.1291086,0.1291086,0.1291086,0.1291086
0.16,0.1390022,0.1390022,0.1390022,0.1390022
0.17,0.1576183,0.1576183,0.1576183,0.1576183
0.18,0.1732323,0.1732323,0.1732323,0.1732323
0.19,0.180146,0.180146,0.180146,0.180146
0.2,0.1963631,0.1963631,0.1963631,0.1963631
0.22,0.1864107,0.1864107,0.1864107,0.1864107
