
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 26
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 26, -, 1.0, -, 9.9, 18.7, 0.2, "Hollister-01", 1961, "Hollister City Hall", 5.6, strike slip, 19.55, 19.56, 198.77, 0.125, 1.0, RSN26_HOLLISTR_B-HCH181.AT2, RSN26_HOLLISTR_B-HCH271.AT2 , RSN26_HOLLISTR_B-HCH-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-26 RotD50 pSa (g)
0.01,0.08506701,0.08506701,0.08506701,0.08506701
0.02,0.08547584,0.08547584,0.08547584,0.08547584
0.022,0.08564599,0.08564599,0.08564599,0.08564599
0.025,0.08596015,0.08596015,0.08596015,0.08596015
0.029,0.08649144,0.08649144,0.08649144,0.08649144
0.03,0.08655784,0.08655784,0.08655784,0.08655784
0.032,0.08646711,0.08646711,0.08646711,0.08646711
0.035,0.08625586,0.08625586,0.08625586,0.08625586
0.036,0.08617998,0.08617998,0.08617998,0.08617998
0.04,0.08643918,0.08643918,0.08643918,0.08643918
0.042,0.08759741,0.08759741,0.08759741,0.08759741
0.044,0.08811992,0.08811992,0.08811992,0.08811992
0.045,0.08868218,0.08868218,0.08868218,0.08868218
0.046,0.08946332,0.08946332,0.08946332,0.08946332
0.048,0.090144,0.090144,0.090144,0.090144
0.05,0.09001931,0.09001931,0.09001931,0.09001931
0.055,0.09155384,0.09155384,0.09155384,0.09155384
0.06,0.09364435,0.09364435,0.09364435,0.09364435
0.065,0.09488069,0.09488069,0.09488069,0.09488069
0.067,0.094529,0.094529,0.094529,0.094529
0.07,0.09538285,0.09538285,0.09538285,0.09538285
0.075,0.0981524,0.0981524,0.0981524,0.0981524
0.08,0.1038414,0.1038414,0.1038414,0.1038414
0.085,0.1101443,0.1101443,0.1101443,0.1101443
0.09,0.1103067,0.1103067,0.1103067,0.1103067
0.095,0.1120605,0.1120605,0.1120605,0.1120605
0.1,0.1213123,0.1213123,0.1213123,0.1213123
0.11,0.1215497,0.1215497,0.1215497,0.1215497
0.12,0.128415,0.128415,0.128415,0.128415
0.13,0.1669905,0.1669905,0.1669905,0.1669905
0.133,0.1701882,0.1701882,0.1701882,0.1701882
0.14,0.1818193,0.1818193,0.1818193,0.1818193
0.15,0.1945683,0.1945683,0.1945683,0.1945683
0.16,0.2014485,0.2014485,0.2014485,0.2014485
0.17,0.2008882,0.2008882,0.2008882,0.2008882
0.18,0.1959867,0.1959867,0.1959867,0.1959867
0.19,0.1852053,0.1852053,0.1852053,0.1852053
0.2,0.2054503,0.2054503,0.2054503,0.2054503
0.22,0.2295085,0.2295085,0.2295085,0.2295085
