
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 27
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 27, -, 1.0, -, 7.6, 16.5, 0.1, "Hollister-02", 1961, "Hollister City Hall", 5.5, strike slip, 17.2, 18.08, 198.77, 0.2875, 1.0, RSN27_HOLLISTR_C-HCH181.AT2, RSN27_HOLLISTR_C-HCH271.AT2 , RSN27_HOLLISTR_C-HCH-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-27 RotD50 pSa (g)
0.01,0.06239482,0.06239482,0.06239482,0.06239482
0.02,0.06269653,0.06269653,0.06269653,0.06269653
0.022,0.0627416,0.0627416,0.0627416,0.0627416
0.025,0.0628043,0.0628043,0.0628043,0.0628043
0.029,0.06297574,0.06297574,0.06297574,0.06297574
0.03,0.06301129,0.06301129,0.06301129,0.06301129
0.032,0.0633148,0.0633148,0.0633148,0.0633148
0.035,0.06365813,0.06365813,0.06365813,0.06365813
0.036,0.06370739,0.06370739,0.06370739,0.06370739
0.04,0.06408391,0.06408391,0.06408391,0.06408391
0.042,0.06438953,0.06438953,0.06438953,0.06438953
0.044,0.0646736,0.0646736,0.0646736,0.0646736
0.045,0.06480415,0.06480415,0.06480415,0.06480415
0.046,0.06487579,0.06487579,0.06487579,0.06487579
0.048,0.06482778,0.06482778,0.06482778,0.06482778
0.05,0.06473041,0.06473041,0.06473041,0.06473041
0.055,0.06421749,0.06421749,0.06421749,0.06421749
0.06,0.06628814,0.06628814,0.06628814,0.06628814
0.065,0.06701551,0.06701551,0.06701551,0.06701551
0.067,0.06782133,0.06782133,0.06782133,0.06782133
0.07,0.06876646,0.06876646,0.06876646,0.06876646
0.075,0.07023352,0.07023352,0.07023352,0.07023352
0.08,0.0716974,0.0716974,0.0716974,0.0716974
0.085,0.0723964,0.0723964,0.0723964,0.0723964
0.09,0.07481415,0.07481415,0.07481415,0.07481415
0.095,0.07312535,0.07312535,0.07312535,0.07312535
0.1,0.0758764,0.0758764,0.0758764,0.0758764
0.11,0.08239991,0.08239991,0.08239991,0.08239991
0.12,0.08240416,0.08240416,0.08240416,0.08240416
0.13,0.09204559,0.09204559,0.09204559,0.09204559
0.133,0.09531641,0.09531641,0.09531641,0.09531641
0.14,0.09677361,0.09677361,0.09677361,0.09677361
0.15,0.1069905,0.1069905,0.1069905,0.1069905
0.16,0.1125277,0.1125277,0.1125277,0.1125277
0.17,0.1181743,0.1181743,0.1181743,0.1181743
0.18,0.1153781,0.1153781,0.1153781,0.1153781
0.19,0.1257296,0.1257296,0.1257296,0.1257296
0.2,0.1352063,0.1352063,0.1352063,0.1352063
0.22,0.1368454,0.1368454,0.1368454,0.1368454
