
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 28
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 28, -, 1.0, -, 14.7, 29.0, 0.1, "Parkfield", 1966, "Cholame - Shandon Array #12", 6.19, strike slip, 17.64, 17.64, 408.93, 0.125, 1.0, RSN28_PARKF_C12050.AT2, RSN28_PARKF_C12320.AT2 , RSN28_PARKF_C12DWN.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-28 RotD50 pSa (g)
0.01,0.05997521,0.05997521,0.05997521,0.05997521
0.02,0.05978156,0.05978156,0.05978156,0.05978156
0.022,0.06005143,0.06005143,0.06005143,0.06005143
0.025,0.06063909,0.06063909,0.06063909,0.06063909
0.029,0.06104456,0.06104456,0.06104456,0.06104456
0.03,0.06125835,0.06125835,0.06125835,0.06125835
0.032,0.06149429,0.06149429,0.06149429,0.06149429
0.035,0.06321169,0.06321169,0.06321169,0.06321169
0.036,0.06415797,0.06415797,0.06415797,0.06415797
0.04,0.0667771,0.0667771,0.0667771,0.0667771
0.042,0.06739745,0.06739745,0.06739745,0.06739745
0.044,0.07130604,0.07130604,0.07130604,0.07130604
0.045,0.07255132,0.07255132,0.07255132,0.07255132
0.046,0.07347874,0.07347874,0.07347874,0.07347874
0.048,0.0735611,0.0735611,0.0735611,0.0735611
0.05,0.07939687,0.07939687,0.07939687,0.07939687
0.055,0.0813647,0.0813647,0.0813647,0.0813647
0.06,0.09937207,0.09937207,0.09937207,0.09937207
0.065,0.1214143,0.1214143,0.1214143,0.1214143
0.067,0.1337399,0.1337399,0.1337399,0.1337399
0.07,0.1539478,0.1539478,0.1539478,0.1539478
0.075,0.1433477,0.1433477,0.1433477,0.1433477
0.08,0.1442386,0.1442386,0.1442386,0.1442386
0.085,0.1351061,0.1351061,0.1351061,0.1351061
0.09,0.1322691,0.1322691,0.1322691,0.1322691
0.095,0.1419212,0.1419212,0.1419212,0.1419212
0.1,0.1408705,0.1408705,0.1408705,0.1408705
0.11,0.1219277,0.1219277,0.1219277,0.1219277
0.12,0.1241293,0.1241293,0.1241293,0.1241293
0.13,0.1352263,0.1352263,0.1352263,0.1352263
0.133,0.1367115,0.1367115,0.1367115,0.1367115
0.14,0.1409474,0.1409474,0.1409474,0.1409474
0.15,0.1436452,0.1436452,0.1436452,0.1436452
0.16,0.1502657,0.1502657,0.1502657,0.1502657
0.17,0.1837693,0.1837693,0.1837693,0.1837693
0.18,0.1800203,0.1800203,0.1800203,0.1800203
0.19,0.1450116,0.1450116,0.1450116,0.1450116
0.2,0.1310779,0.1310779,0.1310779,0.1310779
