
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 34
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 34, -, 1.0, -, 4.1, 22.1, 0.1, "Northern Calif-05", 1967, "Ferndale City Hall", 5.6, strike slip, 27.36, 28.73, 219.31, 0.175, 1.0, RSN34_NCALIF.AG_C-FRN224.AT2, RSN34_NCALIF.AG_C-FRN314.AT2 , RSN34_NCALIF.AG_C-FRN-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-34 RotD50 pSa (g)
0.01,0.1849948,0.1849948,0.1849948,0.1849948
0.02,0.1897383,0.1897383,0.1897383,0.1897383
0.022,0.1887321,0.1887321,0.1887321,0.1887321
0.025,0.1887105,0.1887105,0.1887105,0.1887105
0.029,0.190027,0.190027,0.190027,0.190027
0.03,0.1938754,0.1938754,0.1938754,0.1938754
0.032,0.198319,0.198319,0.198319,0.198319
0.035,0.2109978,0.2109978,0.2109978,0.2109978
0.036,0.2171782,0.2171782,0.2171782,0.2171782
0.04,0.2295581,0.2295581,0.2295581,0.2295581
0.042,0.230422,0.230422,0.230422,0.230422
0.044,0.2365283,0.2365283,0.2365283,0.2365283
0.045,0.2420473,0.2420473,0.2420473,0.2420473
0.046,0.2483799,0.2483799,0.2483799,0.2483799
0.048,0.2622287,0.2622287,0.2622287,0.2622287
0.05,0.2754365,0.2754365,0.2754365,0.2754365
0.055,0.2950722,0.2950722,0.2950722,0.2950722
0.06,0.2965074,0.2965074,0.2965074,0.2965074
0.065,0.2934968,0.2934968,0.2934968,0.2934968
0.067,0.2934911,0.2934911,0.2934911,0.2934911
0.07,0.2969429,0.2969429,0.2969429,0.2969429
0.075,0.3133411,0.3133411,0.3133411,0.3133411
0.08,0.3317315,0.3317315,0.3317315,0.3317315
0.085,0.3377069,0.3377069,0.3377069,0.3377069
0.09,0.34143,0.34143,0.34143,0.34143
0.095,0.3300594,0.3300594,0.3300594,0.3300594
0.1,0.3267081,0.3267081,0.3267081,0.3267081
0.11,0.3628536,0.3628536,0.3628536,0.3628536
0.12,0.3715419,0.3715419,0.3715419,0.3715419
0.13,0.410242,0.410242,0.410242,0.410242
0.133,0.4204361,0.4204361,0.4204361,0.4204361
0.14,0.4371274,0.4371274,0.4371274,0.4371274
0.15,0.4693025,0.4693025,0.4693025,0.4693025
0.16,0.4907082,0.4907082,0.4907082,0.4907082
0.17,0.4953003,0.4953003,0.4953003,0.4953003
0.18,0.4802452,0.4802452,0.4802452,0.4802452
0.19,0.4524669,0.4524669,0.4524669,0.4524669
0.2,0.414307,0.414307,0.414307,0.414307
0.22,0.3612959,0.3612959,0.3612959,0.3612959
0.24,0.325931,0.325931,0.325931,0.325931
0.25,0.301212,0.301212,0.301212,0.301212
0.26,0.2756764,0.2756764,0.2756764,0.2756764
0.28,0.2360813,0.2360813,0.2360813,0.2360813
0.29,0.2326055,0.2326055,0.2326055,0.2326055
0.3,0.2332327,0.2332327,0.2332327,0.2332327
0.32,0.2365496,0.2365496,0.2365496,0.2365496
0.34,0.2275701,0.2275701,0.2275701,0.2275701
0.35,0.2313527,0.2313527,0.2313527,0.2313527
0.36,0.235796,0.235796,0.235796,0.235796
0.38,0.2313049,0.2313049,0.2313049,0.2313049
0.4,0.2299713,0.2299713,0.2299713,0.2299713
0.42,0.2293397,0.2293397,0.2293397,0.2293397
0.44,0.2126129,0.2126129,0.2126129,0.2126129
0.45,0.2050411,0.2050411,0.2050411,0.2050411
0.46,0.2012098,0.2012098,0.2012098,0.2012098
0.48,0.2025923,0.2025923,0.2025923,0.2025923
0.5,0.2049331,0.2049331,0.2049331,0.2049331
0.55,0.197652,0.197652,0.197652,0.197652
0.6,0.1946516,0.1946516,0.1946516,0.1946516
0.65,0.1981751,0.1981751,0.1981751,0.1981751
0.667,0.2004242,0.2004242,0.2004242,0.2004242
0.7,0.199234,0.199234,0.199234,0.199234
0.75,0.1795236,0.1795236,0.1795236,0.1795236
0.8,0.1559598,0.1559598,0.1559598,0.1559598
0.85,0.1445227,0.1445227,0.1445227,0.1445227
0.9,0.1353693,0.1353693,0.1353693,0.1353693
0.95,0.1232457,0.1232457,0.1232457,0.1232457
1.0,0.1131002,0.1131002,0.1131002,0.1131002
1.1,0.09208534,0.09208534,0.09208534,0.09208534
1.2,0.07023346,0.07023346,0.07023346,0.07023346
1.3,0.05737724,0.05737724,0.05737724,0.05737724
1.4,0.04616934,0.04616934,0.04616934,0.04616934
1.5,0.03920892,0.03920892,0.03920892,0.03920892
1.6,0.03385264,0.03385264,0.03385264,0.03385264
1.7,0.02874873,0.02874873,0.02874873,0.02874873
1.8,0.02461163,0.02461163,0.02461163,0.02461163
1.9,0.02152576,0.02152576,0.02152576,0.02152576
2.0,0.01985933,0.01985933,0.01985933,0.01985933
2.2,0.01694676,0.01694676,0.01694676,0.01694676
2.4,0.01383041,0.01383041,0.01383041,0.01383041
2.5,0.01330853,0.01330853,0.01330853,0.01330853
2.6,0.01255611,0.01255611,0.01255611,0.01255611
2.8,0.01105602,0.01105602,0.01105602,0.01105602
3.0,0.00968606,0.00968606,0.00968606,0.00968606
3.2,0.00846679,0.00846679,0.00846679,0.00846679
3.4,0.00741879,0.00741879,0.00741879,0.00741879
3.5,0.00695031,0.00695031,0.00695031,0.00695031
3.6,0.00651241,0.00651241,0.00651241,0.00651241
3.8,0.00572599,0.00572599,0.00572599,0.00572599
4.0,0.00510825,0.00510825,0.00510825,0.00510825
4.2,0.00450295,0.00450295,0.00450295,0.00450295
4.4,0.00398978,0.00398978,0.00398978,0.00398978
4.6,0.00342809,0.00342809,0.00342809,0.00342809
4.8,0.00307086,0.00307086,0.00307086,0.00307086
5.0,0.00277716,0.00277716,0.00277716,0.00277716
5.5,0.0022922,0.0022922,0.0022922,0.0022922
