
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 35
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 35, -, 1.0, -, 15.4, 32.1, 0.0, "Northern Calif-06", 1967, "Hollister City Hall", 5.2, strike slip, 37.11, 37.69, 198.77, 0.375, 1.0, RSN35_NCALIF.AG_E-HCH181.AT2, RSN35_NCALIF.AG_E-HCH271.AT2 , RSN35_NCALIF.AG_E-HCH-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-35 RotD50 pSa (g)
0.01,0.0152779,0.0152779,0.0152779,0.0152779
0.02,0.01528502,0.01528502,0.01528502,0.01528502
0.022,0.01529052,0.01529052,0.01529052,0.01529052
0.025,0.01532774,0.01532774,0.01532774,0.01532774
0.029,0.0153026,0.0153026,0.0153026,0.0153026
0.03,0.01533516,0.01533516,0.01533516,0.01533516
0.032,0.01531198,0.01531198,0.01531198,0.01531198
0.035,0.01540502,0.01540502,0.01540502,0.01540502
0.036,0.01541699,0.01541699,0.01541699,0.01541699
0.04,0.01556445,0.01556445,0.01556445,0.01556445
0.042,0.01556469,0.01556469,0.01556469,0.01556469
0.044,0.01551468,0.01551468,0.01551468,0.01551468
0.045,0.01557245,0.01557245,0.01557245,0.01557245
0.046,0.01558701,0.01558701,0.01558701,0.01558701
0.048,0.01567365,0.01567365,0.01567365,0.01567365
0.05,0.01578923,0.01578923,0.01578923,0.01578923
0.055,0.01579088,0.01579088,0.01579088,0.01579088
0.06,0.01544469,0.01544469,0.01544469,0.01544469
0.065,0.01615535,0.01615535,0.01615535,0.01615535
0.067,0.01645304,0.01645304,0.01645304,0.01645304
0.07,0.01650983,0.01650983,0.01650983,0.01650983
0.075,0.01726901,0.01726901,0.01726901,0.01726901
0.08,0.01842145,0.01842145,0.01842145,0.01842145
0.085,0.01918893,0.01918893,0.01918893,0.01918893
0.09,0.02052262,0.02052262,0.02052262,0.02052262
0.095,0.01993582,0.01993582,0.01993582,0.01993582
0.1,0.02121791,0.02121791,0.02121791,0.02121791
0.11,0.02164259,0.02164259,0.02164259,0.02164259
0.12,0.02243723,0.02243723,0.02243723,0.02243723
0.13,0.02461877,0.02461877,0.02461877,0.02461877
0.133,0.02603268,0.02603268,0.02603268,0.02603268
0.14,0.02449308,0.02449308,0.02449308,0.02449308
0.15,0.02505809,0.02505809,0.02505809,0.02505809
0.16,0.02844916,0.02844916,0.02844916,0.02844916
0.17,0.0277684,0.0277684,0.0277684,0.0277684
0.18,0.02677221,0.02677221,0.02677221,0.02677221
0.19,0.02705849,0.02705849,0.02705849,0.02705849
0.2,0.02869798,0.02869798,0.02869798,0.02869798
0.22,0.02823944,0.02823944,0.02823944,0.02823944
0.24,0.03389056,0.03389056,0.03389056,0.03389056
0.25,0.03359428,0.03359428,0.03359428,0.03359428
0.26,0.02972302,0.02972302,0.02972302,0.02972302
0.28,0.02977449,0.02977449,0.02977449,0.02977449
0.29,0.03293723,0.03293723,0.03293723,0.03293723
0.3,0.03441612,0.03441612,0.03441612,0.03441612
0.32,0.03166357,0.03166357,0.03166357,0.03166357
0.34,0.0342178,0.0342178,0.0342178,0.0342178
0.35,0.03820133,0.03820133,0.03820133,0.03820133
0.36,0.04190387,0.04190387,0.04190387,0.04190387
0.38,0.04685533,0.04685533,0.04685533,0.04685533
0.4,0.04901639,0.04901639,0.04901639,0.04901639
0.42,0.04887078,0.04887078,0.04887078,0.04887078
0.44,0.04643958,0.04643958,0.04643958,0.04643958
0.45,0.04738772,0.04738772,0.04738772,0.04738772
0.46,0.04514595,0.04514595,0.04514595,0.04514595
0.48,0.04117391,0.04117391,0.04117391,0.04117391
0.5,0.03845865,0.03845865,0.03845865,0.03845865
0.55,0.04723952,0.04723952,0.04723952,0.04723952
0.6,0.047897,0.047897,0.047897,0.047897
0.65,0.04529037,0.04529037,0.04529037,0.04529037
0.667,0.04364226,0.04364226,0.04364226,0.04364226
0.7,0.04164737,0.04164737,0.04164737,0.04164737
0.75,0.04560608,0.04560608,0.04560608,0.04560608
0.8,0.0348535,0.0348535,0.0348535,0.0348535
0.85,0.02784468,0.02784468,0.02784468,0.02784468
0.9,0.02482629,0.02482629,0.02482629,0.02482629
0.95,0.02370525,0.02370525,0.02370525,0.02370525
1.0,0.02405269,0.02405269,0.02405269,0.02405269
1.1,0.02101216,0.02101216,0.02101216,0.02101216
1.2,0.01639662,0.01639662,0.01639662,0.01639662
1.3,0.01482157,0.01482157,0.01482157,0.01482157
1.4,0.01395891,0.01395891,0.01395891,0.01395891
1.5,0.01112799,0.01112799,0.01112799,0.01112799
1.6,0.00860539,0.00860539,0.00860539,0.00860539
1.7,0.00850877,0.00850877,0.00850877,0.00850877
1.8,0.00793533,0.00793533,0.00793533,0.00793533
1.9,0.00657114,0.00657114,0.00657114,0.00657114
2.0,0.00570172,0.00570172,0.00570172,0.00570172
2.2,0.00535316,0.00535316,0.00535316,0.00535316
2.4,0.00461372,0.00461372,0.00461372,0.00461372
2.5,0.00411852,0.00411852,0.00411852,0.00411852
2.6,0.00400436,0.00400436,0.00400436,0.00400436
2.8,0.00324759,0.00324759,0.00324759,0.00324759
3.0,0.00284533,0.00284533,0.00284533,0.00284533
3.2,0.00211279,0.00211279,0.00211279,0.00211279
3.4,0.0020112,0.0020112,0.0020112,0.0020112
3.5,0.00201977,0.00201977,0.00201977,0.00201977
3.6,0.00196637,0.00196637,0.00196637,0.00196637
3.8,0.00170059,0.00170059,0.00170059,0.00170059
4.0,0.00140764,0.00140764,0.00140764,0.00140764
4.2,0.00127494,0.00127494,0.00127494,0.00127494
4.4,0.00110216,0.00110216,0.00110216,0.00110216
4.6,0.00092232,0.00092232,0.00092232,0.00092232
4.8,0.00078593,0.00078593,0.00078593,0.00078593
5.0,0.00070673,0.00070673,0.00070673,0.00070673
5.5,0.00048909,0.00048909,0.00048909,0.00048909
6.0,0.00039828,0.00039828,0.00039828,0.00039828
6.5,0.00029882,0.00029882,0.00029882,0.00029882
7.0,0.00025798,0.00025798,0.00025798,0.00025798
7.5,0.00022732,0.00022732,0.00022732,0.00022732
8.0,0.00019756,0.00019756,0.00019756,0.00019756
8.5,0.00016907,0.00016907,0.00016907,0.00016907
9.0,0.00014233,0.00014233,0.00014233,0.00014233
9.5,0.00011848,0.00011848,0.00011848,0.00011848
10.0,0.00010734,0.00010734,0.00010734,0.00010734
11.0,8.81e-05,8.81e-05,8.81e-05,8.81e-05
12.0,7.306e-05,7.306e-05,7.306e-05,7.306e-05
13.0,6.7e-05,6.7e-05,6.7e-05,6.7e-05
14.0,6.046e-05,6.046e-05,6.046e-05,6.046e-05
15.0,5.379e-05,5.379e-05,5.379e-05,5.379e-05
20.0,2.821e-05,2.821e-05,2.821e-05,2.821e-05

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-35 Horizontal-1 pSa (g),RSN-35 Horizontal-2 pSa (g),RSN-35 Vertical pSa (g)
0.01,0.01683424,0.01319159,0.0103
0.02,0.01690763,0.01336731,0.0103
0.022,0.01693792,0.01325672,0.0103
0.025,0.01690804,0.01329824,0.0103
0.029,0.01693174,0.01367936,0.0104
0.03,0.01691307,0.01376054,0.0104
0.032,0.01696527,0.01385553,0.0104
0.035,0.01698902,0.01388604,0.0104
0.036,0.01699501,0.0139072,0.0104
0.04,0.01682359,0.01379634,0.0104
0.042,0.01686994,0.01379778,0.0104
0.044,0.0170527,0.0137496,0.0106
0.045,0.01714665,0.01363337,0.0107
0.046,0.01718262,0.01350774,0.0108
0.048,0.01739166,0.01324527,0.0108
0.05,0.01757128,0.01306934,0.0108
0.055,0.01771738,0.01389453,0.0115
0.06,0.01835484,0.01477386,0.0123
0.065,0.01799109,0.01590827,0.0121
0.067,0.01780763,0.0162001,0.0116
0.07,0.01782678,0.01613854,0.0113
0.075,0.01798556,0.01700401,0.012
0.08,0.01989064,0.0183186,0.0119
0.085,0.02136317,0.01883383,0.0132
0.09,0.02149635,0.02026431,0.0137
0.095,0.02158023,0.01942799,0.0121
0.1,0.02294854,0.02119884,0.0134
0.11,0.02446798,0.02207867,0.015
0.12,0.02632701,0.0224877,0.017
0.13,0.02635642,0.02613278,0.0201
0.133,0.0282332,0.02719352,0.0198
0.14,0.03267573,0.02413161,0.0238
0.15,0.03322496,0.02223423,0.0307
0.16,0.03494125,0.02851771,0.029
0.17,0.03254871,0.02783202,0.0243
0.18,0.02894187,0.02636201,0.0286
0.19,0.02934063,0.02567913,0.0308
0.2,0.03068866,0.0272891,0.0281
0.22,0.02985683,0.02982659,0.0341
0.24,0.03169346,0.03428771,0.0302
0.25,0.03291893,0.03407195,0.0309
0.26,0.02849379,0.03135867,0.0298
0.28,0.03162059,0.02747889,0.0352
0.29,0.03543595,0.03019858,0.0351
0.3,0.03873958,0.03221875,0.0334
0.32,0.03805066,0.02773276,0.0309
0.34,0.03190279,0.03435107,0.0338
0.35,0.03539878,0.03889844,0.0322
0.36,0.03922882,0.0425827,0.0292
0.38,0.04495397,0.04748534,0.024
0.4,0.05204434,0.04895993,0.0166
0.42,0.0543306,0.04803422,0.0151
0.44,0.05462065,0.04286499,0.0135
0.45,0.0556656,0.04356433,0.0134
0.46,0.05461495,0.04110226,0.0129
0.48,0.04966813,0.03671039,0.0123
0.5,0.04935528,0.03392298,0.0136
0.55,0.05730431,0.03097235,0.0138
0.6,0.05679638,0.03765094,0.0145
0.65,0.05763566,0.03303818,0.0144
0.667,0.05543688,0.03236596,0.0128
0.7,0.04860282,0.03312527,0.0122
0.75,0.05034736,0.04029209,0.0116
0.8,0.04299846,0.02639752,0.00888
0.85,0.03545506,0.02090729,0.00906
0.9,0.02751323,0.01926263,0.00909
0.95,0.02624249,0.01916393,0.00832
1.0,0.0244243,0.02226201,0.00673
1.1,0.02128212,0.02000155,0.0066
1.2,0.02089098,0.01226519,0.00456
1.3,0.01600385,0.01518486,0.00524
1.4,0.01353747,0.01600606,0.00476
1.5,0.01142947,0.01151862,0.00417
1.6,0.01015281,0.00844528,0.00472
1.7,0.00923048,0.00797954,0.00512
1.8,0.00857764,0.00717665,0.00393
1.9,0.0079124,0.00639865,0.00394
2.0,0.00724199,0.00548256,0.00409
2.2,0.00591198,0.00368569,0.00258
2.4,0.00465548,0.00463026,0.00271
2.5,0.00407733,0.00439291,0.00255
2.6,0.00421244,0.00418601,0.00226
2.8,0.00358886,0.00325978,0.00163
3.0,0.00291739,0.00244223,0.0012
3.2,0.0021575,0.00201416,0.00108
3.4,0.00236726,0.00187902,0.00102
3.5,0.0022115,0.00195001,0.000865
3.6,0.00180547,0.00215487,0.00072
3.8,0.0014275,0.00234224,0.000551
4.0,0.00125751,0.00186354,0.000434
4.2,0.00110703,0.00152656,0.000332
4.4,0.00097563,0.0012276,0.000304
4.6,0.0008619,0.00100945,0.000281
4.8,0.00076399,0.00082065,0.000239
5.0,0.00068006,0.00072132,0.000222
5.5,0.00051871,0.00047357,0.000175
6.0,0.00040772,0.00038796,0.000146
6.5,0.00032972,0.00029408,0.000122
7.0,0.00027342,0.00026168,0.000104
7.5,0.00023161,0.00023025,8.9e-05
8.0,0.00019968,0.0002094,7.68e-05
8.5,0.00017466,0.000172,6.66e-05
9.0,0.0001546,0.00013507,5.82e-05
9.5,0.00013819,0.00011456,5.11e-05
10.0,0.00012454,0.00010701,4.52e-05
11.0,0.00010314,8.778e-05,3.63e-05
12.0,8.715e-05,6.917e-05,3.02e-05
13.0,7.479e-05,6.205e-05,2.57e-05
14.0,6.497e-05,5.757e-05,2.21e-05
15.0,5.7e-05,5.185e-05,1.92e-05
20.0,3.299e-05,2.5e-05,1.08e-05
