
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 36
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 36, -, 1.0, -, 25.0, 49.3, 0.2, "Borrego Mtn", 1968, "El Centro Array #9", 6.63, strike slip, 45.12, 45.66, 213.44, 0.1, 1.0, RSN36_BORREGO_A-ELC180.AT2, RSN36_BORREGO_A-ELC270.AT2 , RSN36_BORREGO_A-ELC-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-36 RotD50 pSa (g)
0.01,0.09498921,0.09498921,0.09498921,0.09498921
0.02,0.09418822,0.09418822,0.09418822,0.09418822
0.022,0.09432749,0.09432749,0.09432749,0.09432749
0.025,0.09456601,0.09456601,0.09456601,0.09456601
0.029,0.09487712,0.09487712,0.09487712,0.09487712
0.03,0.09497089,0.09497089,0.09497089,0.09497089
0.032,0.09520249,0.09520249,0.09520249,0.09520249
0.035,0.09560946,0.09560946,0.09560946,0.09560946
0.036,0.09575804,0.09575804,0.09575804,0.09575804
0.04,0.09648596,0.09648596,0.09648596,0.09648596
0.042,0.09703413,0.09703413,0.09703413,0.09703413
0.044,0.09772287,0.09772287,0.09772287,0.09772287
0.045,0.09797799,0.09797799,0.09797799,0.09797799
0.046,0.09818301,0.09818301,0.09818301,0.09818301
0.048,0.09868287,0.09868287,0.09868287,0.09868287
0.05,0.09929492,0.09929492,0.09929492,0.09929492
0.055,0.1014884,0.1014884,0.1014884,0.1014884
0.06,0.1048744,0.1048744,0.1048744,0.1048744
0.065,0.1068696,0.1068696,0.1068696,0.1068696
0.067,0.1079562,0.1079562,0.1079562,0.1079562
0.07,0.1100375,0.1100375,0.1100375,0.1100375
0.075,0.1114645,0.1114645,0.1114645,0.1114645
0.08,0.1126473,0.1126473,0.1126473,0.1126473
0.085,0.1138959,0.1138959,0.1138959,0.1138959
0.09,0.1149635,0.1149635,0.1149635,0.1149635
0.095,0.1155731,0.1155731,0.1155731,0.1155731
0.1,0.112523,0.112523,0.112523,0.112523
0.11,0.1072302,0.1072302,0.1072302,0.1072302
0.12,0.1067711,0.1067711,0.1067711,0.1067711
0.13,0.1140887,0.1140887,0.1140887,0.1140887
0.133,0.1200919,0.1200919,0.1200919,0.1200919
0.14,0.1292297,0.1292297,0.1292297,0.1292297
0.15,0.1501072,0.1501072,0.1501072,0.1501072
0.16,0.1774224,0.1774224,0.1774224,0.1774224
0.17,0.1679537,0.1679537,0.1679537,0.1679537
0.18,0.1753097,0.1753097,0.1753097,0.1753097
0.19,0.1691292,0.1691292,0.1691292,0.1691292
0.2,0.1817508,0.1817508,0.1817508,0.1817508
0.22,0.1877236,0.1877236,0.1877236,0.1877236
