
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 41
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 41, -, 1.0, -, 4.9, 10.1, 0.0, "Lytle Creek", 1970, "Castaic - Old Ridge Route", 5.33, Reverse Oblique, 103.23, 103.39, 450.28, 0.5, 1.0, RSN41_LYTLECR_ORR021.AT2, RSN41_LYTLECR_ORR291.AT2 , RSN41_LYTLECR_ORRDWN.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-41 RotD50 pSa (g)
0.01,0.02019343,0.02019343,0.02019343,0.02019343
0.02,0.02059464,0.02059464,0.02059464,0.02059464
0.022,0.02033966,0.02033966,0.02033966,0.02033966
0.025,0.02056203,0.02056203,0.02056203,0.02056203
0.029,0.02082455,0.02082455,0.02082455,0.02082455
0.03,0.0209388,0.0209388,0.0209388,0.0209388
0.032,0.02115242,0.02115242,0.02115242,0.02115242
0.035,0.02165085,0.02165085,0.02165085,0.02165085
0.036,0.02199912,0.02199912,0.02199912,0.02199912
0.04,0.02290644,0.02290644,0.02290644,0.02290644
0.042,0.02317064,0.02317064,0.02317064,0.02317064
0.044,0.02354599,0.02354599,0.02354599,0.02354599
0.045,0.02375399,0.02375399,0.02375399,0.02375399
0.046,0.02390052,0.02390052,0.02390052,0.02390052
0.048,0.02407081,0.02407081,0.02407081,0.02407081
0.05,0.02414562,0.02414562,0.02414562,0.02414562
0.055,0.02402489,0.02402489,0.02402489,0.02402489
0.06,0.0249218,0.0249218,0.0249218,0.0249218
0.065,0.02681326,0.02681326,0.02681326,0.02681326
0.067,0.02700607,0.02700607,0.02700607,0.02700607
0.07,0.02683195,0.02683195,0.02683195,0.02683195
0.075,0.02764138,0.02764138,0.02764138,0.02764138
0.08,0.02786053,0.02786053,0.02786053,0.02786053
0.085,0.03025899,0.03025899,0.03025899,0.03025899
0.09,0.03237762,0.03237762,0.03237762,0.03237762
0.095,0.03326967,0.03326967,0.03326967,0.03326967
0.1,0.03419071,0.03419071,0.03419071,0.03419071
0.11,0.04090992,0.04090992,0.04090992,0.04090992
0.12,0.0509759,0.0509759,0.0509759,0.0509759
0.13,0.06048416,0.06048416,0.06048416,0.06048416
0.133,0.06293269,0.06293269,0.06293269,0.06293269
0.14,0.06700832,0.06700832,0.06700832,0.06700832
0.15,0.0701486,0.0701486,0.0701486,0.0701486
0.16,0.07021424,0.07021424,0.07021424,0.07021424
0.17,0.06147939,0.06147939,0.06147939,0.06147939
0.18,0.05441267,0.05441267,0.05441267,0.05441267
0.19,0.05931835,0.05931835,0.05931835,0.05931835
0.2,0.05923688,0.05923688,0.05923688,0.05923688
0.22,0.04994213,0.04994213,0.04994213,0.04994213
