
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 51
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 51, -, 1.0, -, 27.6, 54.2, 0.0, "San Fernando", 1971, "2516 Via Tejon PV", 6.61, Reverse, 55.2, 55.2, 280.56, 0.25, 1.0, RSN51_SFERN_PVE065.AT2, RSN51_SFERN_PVE155.AT2 , RSN51_SFERN_PVEDWN.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-51 RotD50 pSa (g)
0.01,0.03133257,0.03133257,0.03133257,0.03133257
0.02,0.03165085,0.03165085,0.03165085,0.03165085
0.022,0.03173289,0.03173289,0.03173289,0.03173289
0.025,0.03172905,0.03172905,0.03172905,0.03172905
0.029,0.03185268,0.03185268,0.03185268,0.03185268
0.03,0.03211527,0.03211527,0.03211527,0.03211527
0.032,0.03277775,0.03277775,0.03277775,0.03277775
0.035,0.03317483,0.03317483,0.03317483,0.03317483
0.036,0.03329163,0.03329163,0.03329163,0.03329163
0.04,0.033293,0.033293,0.033293,0.033293
0.042,0.03405512,0.03405512,0.03405512,0.03405512
0.044,0.0352732,0.0352732,0.0352732,0.0352732
0.045,0.03569476,0.03569476,0.03569476,0.03569476
0.046,0.03604864,0.03604864,0.03604864,0.03604864
0.048,0.03597851,0.03597851,0.03597851,0.03597851
0.05,0.03439595,0.03439595,0.03439595,0.03439595
0.055,0.03242709,0.03242709,0.03242709,0.03242709
0.06,0.03719632,0.03719632,0.03719632,0.03719632
0.065,0.03903745,0.03903745,0.03903745,0.03903745
0.067,0.0401932,0.0401932,0.0401932,0.0401932
0.07,0.0399566,0.0399566,0.0399566,0.0399566
0.075,0.03682524,0.03682524,0.03682524,0.03682524
0.08,0.03651453,0.03651453,0.03651453,0.03651453
0.085,0.03799652,0.03799652,0.03799652,0.03799652
0.09,0.04287265,0.04287265,0.04287265,0.04287265
0.095,0.04666839,0.04666839,0.04666839,0.04666839
0.1,0.04652938,0.04652938,0.04652938,0.04652938
0.11,0.05147508,0.05147508,0.05147508,0.05147508
0.12,0.05945852,0.05945852,0.05945852,0.05945852
0.13,0.06625365,0.06625365,0.06625365,0.06625365
0.133,0.07053444,0.07053444,0.07053444,0.07053444
0.14,0.08129719,0.08129719,0.08129719,0.08129719
0.15,0.08753704,0.08753704,0.08753704,0.08753704
0.16,0.08870867,0.08870867,0.08870867,0.08870867
0.17,0.08892285,0.08892285,0.08892285,0.08892285
0.18,0.08845317,0.08845317,0.08845317,0.08845317
0.19,0.08577774,0.08577774,0.08577774,0.08577774
0.2,0.09075771,0.09075771,0.09075771,0.09075771
0.22,0.09074026,0.09074026,0.09074026,0.09074026
0.24,0.08657083,0.08657083,0.08657083,0.08657083
0.25,0.0816217,0.0816217,0.0816217,0.0816217
0.26,0.09354023,0.09354023,0.09354023,0.09354023
0.28,0.08592292,0.08592292,0.08592292,0.08592292
