
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 97
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 97, -, 1.0, -, 6.1, 13.8, 0.1, "Point Mugu", 1973, "Port Hueneme", 5.65, Reverse, 15.48, 17.71, 248.98, 0.25, 1.0, RSN97_PTMUGU_PHN180.AT2, RSN97_PTMUGU_PHN270.AT2 , RSN97_PTMUGU_PHN-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-97 RotD50 pSa (g)
0.01,0.09565019,0.09565019,0.09565019,0.09565019
0.02,0.09620734,0.09620734,0.09620734,0.09620734
0.022,0.09609221,0.09609221,0.09609221,0.09609221
0.025,0.09631004,0.09631004,0.09631004,0.09631004
0.029,0.09741905,0.09741905,0.09741905,0.09741905
0.03,0.09694717,0.09694717,0.09694717,0.09694717
0.032,0.09640203,0.09640203,0.09640203,0.09640203
0.035,0.1000214,0.1000214,0.1000214,0.1000214
0.036,0.1013951,0.1013951,0.1013951,0.1013951
0.04,0.1019177,0.1019177,0.1019177,0.1019177
0.042,0.1016551,0.1016551,0.1016551,0.1016551
0.044,0.1012658,0.1012658,0.1012658,0.1012658
0.045,0.1028223,0.1028223,0.1028223,0.1028223
0.046,0.1039219,0.1039219,0.1039219,0.1039219
0.048,0.10425,0.10425,0.10425,0.10425
0.05,0.104567,0.104567,0.104567,0.104567
0.055,0.1065783,0.1065783,0.1065783,0.1065783
0.06,0.1232827,0.1232827,0.1232827,0.1232827
0.065,0.1286584,0.1286584,0.1286584,0.1286584
0.067,0.1314755,0.1314755,0.1314755,0.1314755
0.07,0.1331973,0.1331973,0.1331973,0.1331973
0.075,0.1371655,0.1371655,0.1371655,0.1371655
0.08,0.1271996,0.1271996,0.1271996,0.1271996
0.085,0.1249294,0.1249294,0.1249294,0.1249294
0.09,0.1343393,0.1343393,0.1343393,0.1343393
0.095,0.1439822,0.1439822,0.1439822,0.1439822
0.1,0.1523219,0.1523219,0.1523219,0.1523219
0.11,0.1957225,0.1957225,0.1957225,0.1957225
0.12,0.1924195,0.1924195,0.1924195,0.1924195
0.13,0.171953,0.171953,0.171953,0.171953
0.133,0.1743331,0.1743331,0.1743331,0.1743331
0.14,0.1726871,0.1726871,0.1726871,0.1726871
0.15,0.1771672,0.1771672,0.1771672,0.1771672
0.16,0.1842755,0.1842755,0.1842755,0.1842755
0.17,0.1822295,0.1822295,0.1822295,0.1822295
0.18,0.1776325,0.1776325,0.1776325,0.1776325
0.19,0.1734951,0.1734951,0.1734951,0.1734951
0.2,0.1792558,0.1792558,0.1792558,0.1792558
0.22,0.1660208,0.1660208,0.1660208,0.1660208
0.24,0.1565196,0.1565196,0.1565196,0.1565196
0.25,0.1508567,0.1508567,0.1508567,0.1508567
0.26,0.1527517,0.1527517,0.1527517,0.1527517
0.28,0.1493959,0.1493959,0.1493959,0.1493959
0.29,0.152105,0.152105,0.152105,0.152105
0.3,0.1606645,0.1606645,0.1606645,0.1606645
0.32,0.167496,0.167496,0.167496,0.167496
0.34,0.1833618,0.1833618,0.1833618,0.1833618
0.35,0.1929189,0.1929189,0.1929189,0.1929189
0.36,0.2021134,0.2021134,0.2021134,0.2021134
0.38,0.2178361,0.2178361,0.2178361,0.2178361
0.4,0.2273118,0.2273118,0.2273118,0.2273118
0.42,0.2294391,0.2294391,0.2294391,0.2294391
0.44,0.2263031,0.2263031,0.2263031,0.2263031
0.45,0.2230419,0.2230419,0.2230419,0.2230419
