
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 101
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 101, -, 1.0, -, 4.3, 5.7, 0.1, "Northern Calif-07", 1975, "Cape Mendocino", 5.2, strike slip, 28.73, 34.73, 567.78, 1.625, 1.0, RSN101_NCALIF.AG_D-CPM030.AT2, RSN101_NCALIF.AG_D-CPM120.AT2 , RSN101_NCALIF.AG_D-CPMDWN.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-101 RotD50 pSa (g)
0.01,0.159499,0.159499,0.159499,0.159499
0.02,0.1625169,0.1625169,0.1625169,0.1625169
0.022,0.1620614,0.1620614,0.1620614,0.1620614
0.025,0.165193,0.165193,0.165193,0.165193
0.029,0.1663816,0.1663816,0.1663816,0.1663816
0.03,0.1681386,0.1681386,0.1681386,0.1681386
0.032,0.1708548,0.1708548,0.1708548,0.1708548
0.035,0.1724785,0.1724785,0.1724785,0.1724785
0.036,0.1706037,0.1706037,0.1706037,0.1706037
0.04,0.1794851,0.1794851,0.1794851,0.1794851
0.042,0.1788519,0.1788519,0.1788519,0.1788519
0.044,0.1805292,0.1805292,0.1805292,0.1805292
0.045,0.1847807,0.1847807,0.1847807,0.1847807
0.046,0.1874447,0.1874447,0.1874447,0.1874447
0.048,0.1908141,0.1908141,0.1908141,0.1908141
0.05,0.1914915,0.1914915,0.1914915,0.1914915
0.055,0.206666,0.206666,0.206666,0.206666
0.06,0.2146697,0.2146697,0.2146697,0.2146697
0.065,0.2341899,0.2341899,0.2341899,0.2341899
0.067,0.2433282,0.2433282,0.2433282,0.2433282
0.07,0.2395768,0.2395768,0.2395768,0.2395768
0.075,0.2448354,0.2448354,0.2448354,0.2448354
0.08,0.2451349,0.2451349,0.2451349,0.2451349
0.085,0.2734931,0.2734931,0.2734931,0.2734931
0.09,0.3033478,0.3033478,0.3033478,0.3033478
0.095,0.3170334,0.3170334,0.3170334,0.3170334
0.1,0.3391828,0.3391828,0.3391828,0.3391828
0.11,0.3624268,0.3624268,0.3624268,0.3624268
0.12,0.4321382,0.4321382,0.4321382,0.4321382
0.13,0.5097436,0.5097436,0.5097436,0.5097436
0.133,0.5382541,0.5382541,0.5382541,0.5382541
0.14,0.5471874,0.5471874,0.5471874,0.5471874
0.15,0.5333447,0.5333447,0.5333447,0.5333447
0.16,0.6835395,0.6835395,0.6835395,0.6835395
0.17,0.5475096,0.5475096,0.5475096,0.5475096
0.18,0.4708313,0.4708313,0.4708313,0.4708313
0.19,0.4440348,0.4440348,0.4440348,0.4440348
0.2,0.3857251,0.3857251,0.3857251,0.3857251
0.22,0.2384298,0.2384298,0.2384298,0.2384298
0.24,0.2708338,0.2708338,0.2708338,0.2708338
0.25,0.2452556,0.2452556,0.2452556,0.2452556
0.26,0.2021284,0.2021284,0.2021284,0.2021284
0.28,0.12153,0.12153,0.12153,0.12153
0.29,0.1221465,0.1221465,0.1221465,0.1221465
0.3,0.1342609,0.1342609,0.1342609,0.1342609
0.32,0.1501965,0.1501965,0.1501965,0.1501965
0.34,0.1136374,0.1136374,0.1136374,0.1136374
0.35,0.09263457,0.09263457,0.09263457,0.09263457
0.36,0.08093023,0.08093023,0.08093023,0.08093023
0.38,0.07106611,0.07106611,0.07106611,0.07106611
0.4,0.06958257,0.06958257,0.06958257,0.06958257
0.42,0.06753834,0.06753834,0.06753834,0.06753834
