
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 106
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 106, -, 1.0, -, 1.5, 3.4, 0.0, "Oroville-01", 1975, "Oroville Seismograph Station", 5.89, Normal, 7.79, 7.99, 680.37, 3.75, 1.0, RSN106_OROVILLE_A-ORV037.AT2, RSN106_OROVILLE_A-ORV307.AT2 ,  -----   

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-106 RotD50 pSa (g)
0.01,0.08036793,0.08036793,0.08036793,0.08036793
0.02,0.08178194,0.08178194,0.08178194,0.08178194
0.022,0.082347,0.082347,0.082347,0.082347
0.025,0.08336098,0.08336098,0.08336098,0.08336098
0.029,0.08406757,0.08406757,0.08406757,0.08406757
0.03,0.0842538,0.0842538,0.0842538,0.0842538
0.032,0.08386721,0.08386721,0.08386721,0.08386721
0.035,0.08554114,0.08554114,0.08554114,0.08554114
0.036,0.086158,0.086158,0.086158,0.086158
0.04,0.08867633,0.08867633,0.08867633,0.08867633
0.042,0.08788172,0.08788172,0.08788172,0.08788172
0.044,0.09406371,0.09406371,0.09406371,0.09406371
0.045,0.09573645,0.09573645,0.09573645,0.09573645
0.046,0.09518401,0.09518401,0.09518401,0.09518401
0.048,0.09742474,0.09742474,0.09742474,0.09742474
0.05,0.09694593,0.09694593,0.09694593,0.09694593
0.055,0.1048778,0.1048778,0.1048778,0.1048778
0.06,0.1141883,0.1141883,0.1141883,0.1141883
0.065,0.1439886,0.1439886,0.1439886,0.1439886
0.067,0.1623866,0.1623866,0.1623866,0.1623866
0.07,0.1705365,0.1705365,0.1705365,0.1705365
0.075,0.1742406,0.1742406,0.1742406,0.1742406
0.08,0.175192,0.175192,0.175192,0.175192
0.085,0.1778199,0.1778199,0.1778199,0.1778199
0.09,0.1662116,0.1662116,0.1662116,0.1662116
0.095,0.1912178,0.1912178,0.1912178,0.1912178
0.1,0.2202423,0.2202423,0.2202423,0.2202423
0.11,0.2550276,0.2550276,0.2550276,0.2550276
0.12,0.2962005,0.2962005,0.2962005,0.2962005
0.13,0.3600562,0.3600562,0.3600562,0.3600562
0.133,0.3462368,0.3462368,0.3462368,0.3462368
0.14,0.3387666,0.3387666,0.3387666,0.3387666
0.15,0.274245,0.274245,0.274245,0.274245
0.16,0.2616015,0.2616015,0.2616015,0.2616015
0.17,0.2446213,0.2446213,0.2446213,0.2446213
0.18,0.2457809,0.2457809,0.2457809,0.2457809
0.19,0.2494136,0.2494136,0.2494136,0.2494136
0.2,0.2214803,0.2214803,0.2214803,0.2214803
