
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 107
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 107, -, 1.0, -, 2.6, 7.5, 0.0, "Oroville-02", 1975, "Oroville Airport", 4.79, Normal, 13.55, 14.07, 391.76, 0.2875, 1.0, RSN107_OROVILLE_B-OAP180.AT2, RSN107_OROVILLE_B-OAP270.AT2 , RSN107_OROVILLE_B-OAPDWN.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-107 RotD50 pSa (g)
0.01,0.02868171,0.02868171,0.02868171,0.02868171
0.02,0.02916366,0.02916366,0.02916366,0.02916366
0.022,0.02951934,0.02951934,0.02951934,0.02951934
0.025,0.02984605,0.02984605,0.02984605,0.02984605
0.029,0.03010703,0.03010703,0.03010703,0.03010703
0.03,0.03016952,0.03016952,0.03016952,0.03016952
0.032,0.0302655,0.0302655,0.0302655,0.0302655
0.035,0.03140606,0.03140606,0.03140606,0.03140606
0.036,0.03174176,0.03174176,0.03174176,0.03174176
0.04,0.03280273,0.03280273,0.03280273,0.03280273
0.042,0.03376726,0.03376726,0.03376726,0.03376726
0.044,0.03443184,0.03443184,0.03443184,0.03443184
0.045,0.03473455,0.03473455,0.03473455,0.03473455
0.046,0.03515885,0.03515885,0.03515885,0.03515885
0.048,0.03646927,0.03646927,0.03646927,0.03646927
0.05,0.03750421,0.03750421,0.03750421,0.03750421
0.055,0.04453056,0.04453056,0.04453056,0.04453056
0.06,0.0481759,0.0481759,0.0481759,0.0481759
0.065,0.05276019,0.05276019,0.05276019,0.05276019
0.067,0.05497538,0.05497538,0.05497538,0.05497538
0.07,0.05735509,0.05735509,0.05735509,0.05735509
0.075,0.06462505,0.06462505,0.06462505,0.06462505
0.08,0.07220443,0.07220443,0.07220443,0.07220443
0.085,0.07313295,0.07313295,0.07313295,0.07313295
0.09,0.06845142,0.06845142,0.06845142,0.06845142
0.095,0.06045601,0.06045601,0.06045601,0.06045601
0.1,0.05721406,0.05721406,0.05721406,0.05721406
0.11,0.05584007,0.05584007,0.05584007,0.05584007
0.12,0.0619938,0.0619938,0.0619938,0.0619938
0.13,0.07847598,0.07847598,0.07847598,0.07847598
0.133,0.0837826,0.0837826,0.0837826,0.0837826
0.14,0.09186461,0.09186461,0.09186461,0.09186461
0.15,0.09480816,0.09480816,0.09480816,0.09480816
0.16,0.08990572,0.08990572,0.08990572,0.08990572
0.17,0.08214428,0.08214428,0.08214428,0.08214428
0.18,0.07427603,0.07427603,0.07427603,0.07427603
0.19,0.06820939,0.06820939,0.06820939,0.06820939
0.2,0.0620621,0.0620621,0.0620621,0.0620621
0.22,0.04923974,0.04923974,0.04923974,0.04923974
