
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 109
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 109, -, 1.0, -, 1.7, 5.1, 0.0, "Oroville-04", 1975, "Medical Center", 4.37, Normal Oblique, 9.22, 10.5, 519.15, 0.3125, 1.0, RSN109_OROVILLE_C-OMC246.AT2, RSN109_OROVILLE_C-OMC336.AT2 , RSN109_OROVILLE_C-OMCDWN.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-109 RotD50 pSa (g)
0.01,0.06380727,0.06380727,0.06380727,0.06380727
0.02,0.06507021,0.06507021,0.06507021,0.06507021
0.022,0.06577002,0.06577002,0.06577002,0.06577002
0.025,0.06675339,0.06675339,0.06675339,0.06675339
0.029,0.06808403,0.06808403,0.06808403,0.06808403
0.03,0.06776235,0.06776235,0.06776235,0.06776235
0.032,0.06800181,0.06800181,0.06800181,0.06800181
0.035,0.07174388,0.07174388,0.07174388,0.07174388
0.036,0.07167122,0.07167122,0.07167122,0.07167122
0.04,0.07145309,0.07145309,0.07145309,0.07145309
0.042,0.07528938,0.07528938,0.07528938,0.07528938
0.044,0.07461159,0.07461159,0.07461159,0.07461159
0.045,0.07614847,0.07614847,0.07614847,0.07614847
0.046,0.08082275,0.08082275,0.08082275,0.08082275
0.048,0.08956932,0.08956932,0.08956932,0.08956932
0.05,0.09056016,0.09056016,0.09056016,0.09056016
0.055,0.09715682,0.09715682,0.09715682,0.09715682
0.06,0.1092845,0.1092845,0.1092845,0.1092845
0.065,0.1028572,0.1028572,0.1028572,0.1028572
0.067,0.105584,0.105584,0.105584,0.105584
0.07,0.1093655,0.1093655,0.1093655,0.1093655
0.075,0.1015918,0.1015918,0.1015918,0.1015918
0.08,0.1095831,0.1095831,0.1095831,0.1095831
0.085,0.119346,0.119346,0.119346,0.119346
0.09,0.1292301,0.1292301,0.1292301,0.1292301
0.095,0.1590872,0.1590872,0.1590872,0.1590872
0.1,0.1680821,0.1680821,0.1680821,0.1680821
0.11,0.1302242,0.1302242,0.1302242,0.1302242
0.12,0.1151952,0.1151952,0.1151952,0.1151952
0.13,0.112197,0.112197,0.112197,0.112197
0.133,0.1080109,0.1080109,0.1080109,0.1080109
0.14,0.1095288,0.1095288,0.1095288,0.1095288
0.15,0.1064938,0.1064938,0.1064938,0.1064938
0.16,0.1006888,0.1006888,0.1006888,0.1006888
0.17,0.1093867,0.1093867,0.1093867,0.1093867
0.18,0.1166473,0.1166473,0.1166473,0.1166473
0.19,0.1074199,0.1074199,0.1074199,0.1074199
0.2,0.1141787,0.1141787,0.1141787,0.1141787
0.22,0.100366,0.100366,0.100366,0.100366
0.24,0.1096763,0.1096763,0.1096763,0.1096763
0.25,0.108744,0.108744,0.108744,0.108744
0.26,0.1213128,0.1213128,0.1213128,0.1213128
0.28,0.128966,0.128966,0.128966,0.128966
0.29,0.1219828,0.1219828,0.1219828,0.1219828
0.3,0.1128565,0.1128565,0.1128565,0.1128565
0.32,0.1060419,0.1060419,0.1060419,0.1060419
0.34,0.1091324,0.1091324,0.1091324,0.1091324
0.35,0.1095992,0.1095992,0.1095992,0.1095992
0.36,0.1057924,0.1057924,0.1057924,0.1057924
0.38,0.1084601,0.1084601,0.1084601,0.1084601
0.4,0.09971093,0.09971093,0.09971093,0.09971093
0.42,0.0833118,0.0833118,0.0833118,0.0833118
0.44,0.08176807,0.08176807,0.08176807,0.08176807
0.45,0.08442022,0.08442022,0.08442022,0.08442022
0.46,0.08548622,0.08548622,0.08548622,0.08548622
0.48,0.09026264,0.09026264,0.09026264,0.09026264
0.5,0.09813104,0.09813104,0.09813104,0.09813104
0.55,0.097914,0.097914,0.097914,0.097914
0.6,0.08960938,0.08960938,0.08960938,0.08960938
0.65,0.07001951,0.07001951,0.07001951,0.07001951
0.667,0.06353909,0.06353909,0.06353909,0.06353909
0.7,0.05705789,0.05705789,0.05705789,0.05705789
0.75,0.04692569,0.04692569,0.04692569,0.04692569
0.8,0.03836344,0.03836344,0.03836344,0.03836344
0.85,0.03082806,0.03082806,0.03082806,0.03082806
0.9,0.02506855,0.02506855,0.02506855,0.02506855
0.95,0.02158375,0.02158375,0.02158375,0.02158375
1.0,0.01909725,0.01909725,0.01909725,0.01909725
1.1,0.01516827,0.01516827,0.01516827,0.01516827
1.2,0.01229195,0.01229195,0.01229195,0.01229195
1.3,0.0112183,0.0112183,0.0112183,0.0112183
1.4,0.00962279,0.00962279,0.00962279,0.00962279
1.5,0.00787948,0.00787948,0.00787948,0.00787948
1.6,0.00721891,0.00721891,0.00721891,0.00721891
1.7,0.00644684,0.00644684,0.00644684,0.00644684
1.8,0.00579334,0.00579334,0.00579334,0.00579334
1.9,0.005131,0.005131,0.005131,0.005131
2.0,0.00451256,0.00451256,0.00451256,0.00451256
2.2,0.00366902,0.00366902,0.00366902,0.00366902
2.4,0.00308845,0.00308845,0.00308845,0.00308845
2.5,0.00282724,0.00282724,0.00282724,0.00282724
2.6,0.00258068,0.00258068,0.00258068,0.00258068
2.8,0.00215331,0.00215331,0.00215331,0.00215331
3.0,0.00179828,0.00179828,0.00179828,0.00179828
3.2,0.00150956,0.00150956,0.00150956,0.00150956
3.4,0.00130363,0.00130363,0.00130363,0.00130363
3.5,0.0012246,0.0012246,0.0012246,0.0012246
3.6,0.00115194,0.00115194,0.00115194,0.00115194
3.8,0.00102468,0.00102468,0.00102468,0.00102468
4.0,0.00091685,0.00091685,0.00091685,0.00091685
4.2,0.00082488,0.00082488,0.00082488,0.00082488
4.4,0.00074588,0.00074588,0.00074588,0.00074588
4.6,0.00067755,0.00067755,0.00067755,0.00067755
4.8,0.00061801,0.00061801,0.00061801,0.00061801
5.0,0.00056603,0.00056603,0.00056603,0.00056603
5.5,0.00046142,0.00046142,0.00046142,0.00046142
6.0,0.00038331,0.00038331,0.00038331,0.00038331
6.5,0.00032344,0.00032344,0.00032344,0.00032344
7.0,0.00027667,0.00027667,0.00027667,0.00027667
7.5,0.0002394,0.0002394,0.0002394,0.0002394
8.0,0.00020921,0.00020921,0.00020921,0.00020921
8.5,0.00018442,0.00018442,0.00018442,0.00018442
9.0,0.0001638,0.0001638,0.0001638,0.0001638
9.5,0.00014644,0.00014644,0.00014644,0.00014644
10.0,0.00013175,0.00013175,0.00013175,0.00013175
11.0,0.00010832,0.00010832,0.00010832,0.00010832
12.0,9.065e-05,9.065e-05,9.065e-05,9.065e-05
13.0,7.699e-05,7.699e-05,7.699e-05,7.699e-05
14.0,6.621e-05,6.621e-05,6.621e-05,6.621e-05
15.0,5.755e-05,5.755e-05,5.755e-05,5.755e-05
20.0,3.216e-05,3.216e-05,3.216e-05,3.216e-05

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-109 Horizontal-1 pSa (g),RSN-109 Horizontal-2 pSa (g),RSN-109 Vertical pSa (g)
0.01,0.0785021,0.05293416,0.0287
0.02,0.07933056,0.05340279,0.0293
0.022,0.07925522,0.05330715,0.0301
0.025,0.07908157,0.05411794,0.031
0.029,0.08024937,0.05529208,0.0331
0.03,0.08068506,0.05570572,0.0358
0.032,0.08305377,0.05944098,0.0369
0.035,0.08382147,0.06372503,0.0366
0.036,0.08406238,0.06516714,0.0382
0.04,0.0893272,0.07044302,0.0463
0.042,0.0890994,0.07433452,0.0513
0.044,0.08357117,0.07421254,0.0541
0.045,0.0804396,0.0782601,0.0535
0.046,0.0836644,0.08539101,0.0523
0.048,0.09195051,0.09640997,0.046
0.05,0.09043518,0.1008998,0.0539
0.055,0.09715065,0.1015447,0.0735
0.06,0.1118307,0.1150887,0.0661
0.065,0.1139984,0.1002918,0.0777
0.067,0.1204449,0.102737,0.0724
0.07,0.1288761,0.1093769,0.069
0.075,0.1270235,0.09450796,0.0634
0.08,0.14283,0.1093823,0.06
0.085,0.166798,0.1150183,0.0695
0.09,0.1793013,0.1255386,0.0668
0.095,0.1786699,0.1657928,0.0775
0.1,0.1726265,0.187816,0.0745
0.11,0.1273591,0.1747822,0.119
0.12,0.1103649,0.156775,0.122
0.13,0.1127293,0.1322549,0.094
0.133,0.109719,0.1225879,0.0796
0.14,0.1080614,0.1148919,0.0605
0.15,0.108744,0.1136564,0.0595
0.16,0.1089751,0.0997764,0.066
0.17,0.1087843,0.1091436,0.0594
0.18,0.1080204,0.1199838,0.051
0.19,0.1074709,0.1208445,0.0483
0.2,0.1175519,0.1099498,0.0398
0.22,0.1166812,0.0936088,0.0469
0.24,0.1350225,0.09107871,0.0474
0.25,0.1399999,0.09077514,0.0429
0.26,0.1406131,0.1115606,0.0432
0.28,0.1309199,0.140221,0.0455
0.29,0.1223331,0.1443505,0.0449
0.3,0.112875,0.1448294,0.0463
0.32,0.09390074,0.1427071,0.0474
0.34,0.07999035,0.1355644,0.0372
