
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 112
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 112, -, 1.0, -, 1.6, 5.6, 0.1, "Oroville-03", 1975, "Broadbeck Residence", 4.7, Normal, 5.95, 9.25, 427.38, 0.875, 1.0, RSN112_OROVILLE_D-EBH000.AT2, RSN112_OROVILLE_D-EBH090.AT2 , RSN112_OROVILLE_D-EBHDWN.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-112 RotD50 pSa (g)
0.01,0.1458522,0.1458522,0.1458522,0.1458522
0.02,0.1636252,0.1636252,0.1636252,0.1636252
0.022,0.1733966,0.1733966,0.1733966,0.1733966
0.025,0.1698138,0.1698138,0.1698138,0.1698138
0.029,0.2012176,0.2012176,0.2012176,0.2012176
0.03,0.2103766,0.2103766,0.2103766,0.2103766
0.032,0.2015259,0.2015259,0.2015259,0.2015259
0.035,0.2536384,0.2536384,0.2536384,0.2536384
0.036,0.2623231,0.2623231,0.2623231,0.2623231
0.04,0.2258766,0.2258766,0.2258766,0.2258766
0.042,0.2030991,0.2030991,0.2030991,0.2030991
0.044,0.2074106,0.2074106,0.2074106,0.2074106
0.045,0.215207,0.215207,0.215207,0.215207
0.046,0.222319,0.222319,0.222319,0.222319
0.048,0.2259964,0.2259964,0.2259964,0.2259964
0.05,0.2378074,0.2378074,0.2378074,0.2378074
0.055,0.3353167,0.3353167,0.3353167,0.3353167
0.06,0.4113602,0.4113602,0.4113602,0.4113602
0.065,0.4090367,0.4090367,0.4090367,0.4090367
0.067,0.4034393,0.4034393,0.4034393,0.4034393
0.07,0.4158406,0.4158406,0.4158406,0.4158406
0.075,0.4839587,0.4839587,0.4839587,0.4839587
0.08,0.5158663,0.5158663,0.5158663,0.5158663
0.085,0.5082773,0.5082773,0.5082773,0.5082773
0.09,0.5064647,0.5064647,0.5064647,0.5064647
0.095,0.4661632,0.4661632,0.4661632,0.4661632
0.1,0.377301,0.377301,0.377301,0.377301
0.11,0.2437922,0.2437922,0.2437922,0.2437922
0.12,0.1836254,0.1836254,0.1836254,0.1836254
0.13,0.1699675,0.1699675,0.1699675,0.1699675
0.133,0.1716771,0.1716771,0.1716771,0.1716771
0.14,0.1819389,0.1819389,0.1819389,0.1819389
0.15,0.2381037,0.2381037,0.2381037,0.2381037
0.16,0.2606529,0.2606529,0.2606529,0.2606529
0.17,0.2302914,0.2302914,0.2302914,0.2302914
0.18,0.2066079,0.2066079,0.2066079,0.2066079
0.19,0.1849012,0.1849012,0.1849012,0.1849012
0.2,0.1885633,0.1885633,0.1885633,0.1885633
0.22,0.1739206,0.1739206,0.1739206,0.1739206
0.24,0.1437918,0.1437918,0.1437918,0.1437918
0.25,0.1381494,0.1381494,0.1381494,0.1381494
0.26,0.1444404,0.1444404,0.1444404,0.1444404
0.28,0.1291697,0.1291697,0.1291697,0.1291697
0.29,0.1176064,0.1176064,0.1176064,0.1176064
0.3,0.1081399,0.1081399,0.1081399,0.1081399
0.32,0.1098153,0.1098153,0.1098153,0.1098153
0.34,0.1236537,0.1236537,0.1236537,0.1236537
0.35,0.1324099,0.1324099,0.1324099,0.1324099
0.36,0.1365194,0.1365194,0.1365194,0.1365194
0.38,0.1408695,0.1408695,0.1408695,0.1408695
0.4,0.1237288,0.1237288,0.1237288,0.1237288
0.42,0.1040733,0.1040733,0.1040733,0.1040733
0.44,0.0939938,0.0939938,0.0939938,0.0939938
0.45,0.09050264,0.09050264,0.09050264,0.09050264
0.46,0.08453031,0.08453031,0.08453031,0.08453031
0.48,0.06722624,0.06722624,0.06722624,0.06722624
0.5,0.05305339,0.05305339,0.05305339,0.05305339
0.55,0.04584062,0.04584062,0.04584062,0.04584062
0.6,0.04273281,0.04273281,0.04273281,0.04273281
0.65,0.04199153,0.04199153,0.04199153,0.04199153
0.667,0.04316931,0.04316931,0.04316931,0.04316931
0.7,0.0479559,0.0479559,0.0479559,0.0479559
0.75,0.04951472,0.04951472,0.04951472,0.04951472
0.8,0.04637285,0.04637285,0.04637285,0.04637285
0.85,0.04085615,0.04085615,0.04085615,0.04085615
0.9,0.03483755,0.03483755,0.03483755,0.03483755
0.95,0.02897511,0.02897511,0.02897511,0.02897511
1.0,0.02232115,0.02232115,0.02232115,0.02232115
1.1,0.01472419,0.01472419,0.01472419,0.01472419
1.2,0.01021854,0.01021854,0.01021854,0.01021854
1.3,0.00795574,0.00795574,0.00795574,0.00795574
1.4,0.00657767,0.00657767,0.00657767,0.00657767
1.5,0.00544022,0.00544022,0.00544022,0.00544022
1.6,0.00451945,0.00451945,0.00451945,0.00451945
1.7,0.00378637,0.00378637,0.00378637,0.00378637
1.8,0.00320392,0.00320392,0.00320392,0.00320392
1.9,0.00273864,0.00273864,0.00273864,0.00273864
2.0,0.00236482,0.00236482,0.00236482,0.00236482
2.2,0.0018147,0.0018147,0.0018147,0.0018147
2.4,0.00144116,0.00144116,0.00144116,0.00144116
2.5,0.00129825,0.00129825,0.00129825,0.00129825
2.6,0.00117695,0.00117695,0.00117695,0.00117695
2.8,0.00100118,0.00100118,0.00100118,0.00100118
3.0,0.00086185,0.00086185,0.00086185,0.00086185
3.2,0.0007489,0.0007489,0.0007489,0.0007489
3.4,0.00065418,0.00065418,0.00065418,0.00065418
3.5,0.00061334,0.00061334,0.00061334,0.00061334
3.6,0.0005762,0.0005762,0.0005762,0.0005762
3.8,0.00051141,0.00051141,0.00051141,0.00051141
4.0,0.00045712,0.00045712,0.00045712,0.00045712
4.2,0.00041106,0.00041106,0.00041106,0.00041106
4.4,0.00037101,0.00037101,0.00037101,0.00037101
4.6,0.00033756,0.00033756,0.00033756,0.00033756
4.8,0.00030974,0.00030974,0.00030974,0.00030974
5.0,0.00028531,0.00028531,0.00028531,0.00028531
5.5,0.00023595,0.00023595,0.00023595,0.00023595
6.0,0.00019841,0.00019841,0.00019841,0.00019841
6.5,0.00016925,0.00016925,0.00016925,0.00016925
7.0,0.00014611,0.00014611,0.00014611,0.00014611
7.5,0.00012743,0.00012743,0.00012743,0.00012743
8.0,0.00011213,0.00011213,0.00011213,0.00011213
8.5,9.943e-05,9.943e-05,9.943e-05,9.943e-05
9.0,8.878e-05,8.878e-05,8.878e-05,8.878e-05
9.5,7.975e-05,7.975e-05,7.975e-05,7.975e-05
10.0,7.203e-05,7.203e-05,7.203e-05,7.203e-05
11.0,5.961e-05,5.961e-05,5.961e-05,5.961e-05
12.0,5.015e-05,5.015e-05,5.015e-05,5.015e-05
13.0,4.277e-05,4.277e-05,4.277e-05,4.277e-05
