
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 135
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 135, -, 1.0, -, 3.4, 7.0, 0.0, "Santa Barbara", 1978, "Cachuma Dam Toe", 5.92, Reverse Oblique, 23.75, 27.42, 465.51, 0.25, 1.0, RSN135_SBARB_CAD250.AT2, RSN135_SBARB_CAD340.AT2 , RSN135_SBARB_CAD-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-135 RotD50 pSa (g)
0.01,0.05417126,0.05417126,0.05417126,0.05417126
0.02,0.05360131,0.05360131,0.05360131,0.05360131
0.022,0.05373923,0.05373923,0.05373923,0.05373923
0.025,0.05388594,0.05388594,0.05388594,0.05388594
0.029,0.05460129,0.05460129,0.05460129,0.05460129
0.03,0.05459668,0.05459668,0.05459668,0.05459668
0.032,0.05415801,0.05415801,0.05415801,0.05415801
0.035,0.05554004,0.05554004,0.05554004,0.05554004
0.036,0.05557517,0.05557517,0.05557517,0.05557517
0.04,0.05523992,0.05523992,0.05523992,0.05523992
0.042,0.05515878,0.05515878,0.05515878,0.05515878
0.044,0.05574858,0.05574858,0.05574858,0.05574858
0.045,0.05566062,0.05566062,0.05566062,0.05566062
0.046,0.05562655,0.05562655,0.05562655,0.05562655
0.048,0.05616689,0.05616689,0.05616689,0.05616689
0.05,0.0566144,0.0566144,0.0566144,0.0566144
0.055,0.05544449,0.05544449,0.05544449,0.05544449
0.06,0.0552457,0.0552457,0.0552457,0.0552457
0.065,0.0571661,0.0571661,0.0571661,0.0571661
0.067,0.05816276,0.05816276,0.05816276,0.05816276
0.07,0.06016599,0.06016599,0.06016599,0.06016599
0.075,0.0595081,0.0595081,0.0595081,0.0595081
0.08,0.06381388,0.06381388,0.06381388,0.06381388
0.085,0.07266019,0.07266019,0.07266019,0.07266019
0.09,0.07527266,0.07527266,0.07527266,0.07527266
0.095,0.07733558,0.07733558,0.07733558,0.07733558
0.1,0.07843146,0.07843146,0.07843146,0.07843146
0.11,0.07394507,0.07394507,0.07394507,0.07394507
0.12,0.07648167,0.07648167,0.07648167,0.07648167
0.13,0.07828322,0.07828322,0.07828322,0.07828322
0.133,0.07636037,0.07636037,0.07636037,0.07636037
0.14,0.07823522,0.07823522,0.07823522,0.07823522
0.15,0.09206596,0.09206596,0.09206596,0.09206596
0.16,0.1026592,0.1026592,0.1026592,0.1026592
0.17,0.1151423,0.1151423,0.1151423,0.1151423
0.18,0.1273082,0.1273082,0.1273082,0.1273082
0.19,0.1290888,0.1290888,0.1290888,0.1290888
0.2,0.1280535,0.1280535,0.1280535,0.1280535
0.22,0.1512024,0.1512024,0.1512024,0.1512024
0.24,0.1666036,0.1666036,0.1666036,0.1666036
0.25,0.1702527,0.1702527,0.1702527,0.1702527
0.26,0.1741842,0.1741842,0.1741842,0.1741842
0.28,0.1786824,0.1786824,0.1786824,0.1786824
0.29,0.1675915,0.1675915,0.1675915,0.1675915
0.3,0.1499616,0.1499616,0.1499616,0.1499616
0.32,0.1091252,0.1091252,0.1091252,0.1091252
0.34,0.08650647,0.08650647,0.08650647,0.08650647
0.35,0.08278459,0.08278459,0.08278459,0.08278459
0.36,0.08179259,0.08179259,0.08179259,0.08179259
0.38,0.08507549,0.08507549,0.08507549,0.08507549
0.4,0.09296637,0.09296637,0.09296637,0.09296637
0.42,0.08878666,0.08878666,0.08878666,0.08878666
0.44,0.08381326,0.08381326,0.08381326,0.08381326
0.45,0.08324837,0.08324837,0.08324837,0.08324837
0.46,0.08259308,0.08259308,0.08259308,0.08259308
0.48,0.07957254,0.07957254,0.07957254,0.07957254
0.5,0.0788091,0.0788091,0.0788091,0.0788091
0.55,0.08287558,0.08287558,0.08287558,0.08287558
0.6,0.06976385,0.06976385,0.06976385,0.06976385
0.65,0.07048467,0.07048467,0.07048467,0.07048467
0.667,0.07073922,0.07073922,0.07073922,0.07073922
0.7,0.07074811,0.07074811,0.07074811,0.07074811
0.75,0.06864727,0.06864727,0.06864727,0.06864727
0.8,0.06404548,0.06404548,0.06404548,0.06404548
0.85,0.06267309,0.06267309,0.06267309,0.06267309
0.9,0.0616333,0.0616333,0.0616333,0.0616333
0.95,0.06087215,0.06087215,0.06087215,0.06087215
1.0,0.05916309,0.05916309,0.05916309,0.05916309
1.1,0.05397068,0.05397068,0.05397068,0.05397068
1.2,0.04980055,0.04980055,0.04980055,0.04980055
1.3,0.04466501,0.04466501,0.04466501,0.04466501
1.4,0.04507998,0.04507998,0.04507998,0.04507998
1.5,0.03932029,0.03932029,0.03932029,0.03932029
1.6,0.03739287,0.03739287,0.03739287,0.03739287
1.7,0.03564525,0.03564525,0.03564525,0.03564525
1.8,0.03282122,0.03282122,0.03282122,0.03282122
1.9,0.0307763,0.0307763,0.0307763,0.0307763
2.0,0.02814506,0.02814506,0.02814506,0.02814506
2.2,0.02358121,0.02358121,0.02358121,0.02358121
2.4,0.01853319,0.01853319,0.01853319,0.01853319
2.5,0.01614168,0.01614168,0.01614168,0.01614168
2.6,0.01393645,0.01393645,0.01393645,0.01393645
2.8,0.01106281,0.01106281,0.01106281,0.01106281
3.0,0.00848601,0.00848601,0.00848601,0.00848601
3.2,0.00657903,0.00657903,0.00657903,0.00657903
3.4,0.00548277,0.00548277,0.00548277,0.00548277
3.5,0.00508501,0.00508501,0.00508501,0.00508501
3.6,0.00470229,0.00470229,0.00470229,0.00470229
3.8,0.00404057,0.00404057,0.00404057,0.00404057
4.0,0.00348084,0.00348084,0.00348084,0.00348084
4.2,0.00302342,0.00302342,0.00302342,0.00302342
4.4,0.002645,0.002645,0.002645,0.002645
4.6,0.00233359,0.00233359,0.00233359,0.00233359
4.8,0.00207667,0.00207667,0.00207667,0.00207667
5.0,0.00186286,0.00186286,0.00186286,0.00186286
5.5,0.00146214,0.00146214,0.00146214,0.00146214
6.0,0.00118733,0.00118733,0.00118733,0.00118733
6.5,0.00099008,0.00099008,0.00099008,0.00099008
7.0,0.00084147,0.00084147,0.00084147,0.00084147
7.5,0.00072408,0.00072408,0.00072408,0.00072408
8.0,0.00063189,0.00063189,0.00063189,0.00063189
8.5,0.00055684,0.00055684,0.00055684,0.00055684
9.0,0.00049476,0.00049476,0.00049476,0.00049476
9.5,0.00044271,0.00044271,0.00044271,0.00044271
10.0,0.0003978,0.0003978,0.0003978,0.0003978
11.0,0.00032712,0.00032712,0.00032712,0.00032712
12.0,0.00027415,0.00027415,0.00027415,0.00027415
13.0,0.00023276,0.00023276,0.00023276,0.00023276
14.0,0.00019991,0.00019991,0.00019991,0.00019991
15.0,0.00017392,0.00017392,0.00017392,0.00017392
20.0,9.702e-05,9.702e-05,9.702e-05,9.702e-05

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-135 Horizontal-1 pSa (g),RSN-135 Horizontal-2 pSa (g),RSN-135 Vertical pSa (g)
0.01,0.0725892,0.03701702,0.0145
0.02,0.07200955,0.03731822,0.0146
0.022,0.07209262,0.03730723,0.0147
0.025,0.07249463,0.03739768,0.0151
0.029,0.07286384,0.03834657,0.0152
0.03,0.07299408,0.03869073,0.0153
0.032,0.07185602,0.03861406,0.0161
0.035,0.07445269,0.03811385,0.0163
0.036,0.07450337,0.03809345,0.0166
0.04,0.07323427,0.03885212,0.0173
0.042,0.07353766,0.03997291,0.0172
0.044,0.07455513,0.04115988,0.0164
0.045,0.07443213,0.04135081,0.0164
0.046,0.07436265,0.04150349,0.0165
0.048,0.07491323,0.04122441,0.016
0.05,0.07531726,0.04016251,0.0165
0.055,0.07346594,0.03712517,0.0196
0.06,0.0740364,0.03955365,0.0208
0.065,0.07724904,0.03973465,0.0192
0.067,0.07952882,0.03850364,0.0196
0.07,0.08184934,0.03900751,0.0177
0.075,0.07994354,0.04309659,0.0207
0.08,0.07892104,0.04803398,0.0205
0.085,0.09309988,0.04360673,0.02
0.09,0.09950516,0.03868034,0.02
0.095,0.1039945,0.04026598,0.0202
0.1,0.1056085,0.04178363,0.0169
0.11,0.09967864,0.04515046,0.021
0.12,0.1003716,0.0424907,0.0204
0.13,0.1022038,0.05145549,0.0272
0.133,0.09899005,0.05251419,0.028
0.14,0.1033792,0.05316871,0.0297
0.15,0.1238649,0.06328783,0.0342
0.16,0.1305234,0.0640967,0.0343
0.17,0.1481121,0.06107519,0.0323
0.18,0.1688598,0.06370586,0.0251
0.19,0.1649697,0.06859025,0.0243
0.2,0.1627152,0.09001612,0.0224
0.22,0.2018789,0.08891665,0.0249
0.24,0.2193021,0.08554984,0.0243
0.25,0.2161563,0.1055497,0.0256
0.26,0.2144653,0.1219511,0.0287
0.28,0.210295,0.1394898,0.0228
0.29,0.1966401,0.1315707,0.0223
0.3,0.1773555,0.1163516,0.0207
0.32,0.1309991,0.08139016,0.0152
0.34,0.09955987,0.07071036,0.0131
0.35,0.09214432,0.07420345,0.0133
0.36,0.08664341,0.08085084,0.0155
0.38,0.08102562,0.0875263,0.0212
0.4,0.07949933,0.1022472,0.0243
0.42,0.08503447,0.09163405,0.0233
0.44,0.09237567,0.07185195,0.0198
0.45,0.09456263,0.0674756,0.0178
0.46,0.09500321,0.06420982,0.016
0.48,0.09008995,0.06074519,0.0133
0.5,0.0794574,0.06927034,0.0124
0.55,0.07796928,0.08718117,0.0144
0.6,0.0837623,0.06923668,0.0159
0.65,0.08354677,0.05441722,0.0149
0.667,0.08355483,0.05483364,0.0141
0.7,0.08418536,0.05377374,0.0122
0.75,0.0840531,0.04790733,0.00926
0.8,0.08085103,0.04699298,0.00728
0.85,0.07639987,0.04606196,0.0063
0.9,0.07484096,0.04421402,0.00593
0.95,0.07460426,0.04160069,0.00595
1.0,0.07327937,0.03837541,0.00624
1.1,0.0691256,0.03231822,0.00706
1.2,0.06468301,0.03641869,0.00751
1.3,0.05891969,0.03210635,0.00744
1.4,0.05284091,0.04423921,0.00708
1.5,0.04958269,0.03709349,0.00666
1.6,0.04981019,0.02352571,0.00628
1.7,0.04886293,0.01587792,0.00594
1.8,0.04580795,0.01366029,0.00561
1.9,0.0420456,0.01200145,0.00526
2.0,0.0375712,0.01102567,0.00489
2.2,0.03096352,0.01222672,0.00408
2.4,0.02421097,0.0096268,0.00326
2.5,0.02132098,0.00783809,0.00288
2.6,0.018605,0.00587939,0.00252
2.8,0.01367,0.00470076,0.0019
3.0,0.01036428,0.00425748,0.0014
3.2,0.00820637,0.00432169,0.0012
3.4,0.00656918,0.00416179,0.00112
3.5,0.00591051,0.00384943,0.00108
3.6,0.00533903,0.00344505,0.00105
3.8,0.00446825,0.00256168,0.000978
4.0,0.00385393,0.00222049,0.000911
4.2,0.00336402,0.00188107,0.000845
4.4,0.00299413,0.00152793,0.000782
4.6,0.00271089,0.0012249,0.000723
4.8,0.00246615,0.00104339,0.000668
5.0,0.00225344,0.00096037,0.000616
5.5,0.00182963,0.00087051,0.000507
6.0,0.00151691,0.00073595,0.00042
6.5,0.00127944,0.00059045,0.000351
7.0,0.00109466,0.00047781,0.000297
7.5,0.00094789,0.00042387,0.000253
8.0,0.00082925,0.00037179,0.000218
8.5,0.00073188,0.00032511,0.000189
9.0,0.00065092,0.00028507,0.000166
9.5,0.00058285,0.00025151,0.000147
10.0,0.00052503,0.00022362,0.00013
11.0,0.00043268,0.00018105,0.000105
12.0,0.00036287,0.00015074,8.6e-05
13.0,0.00030876,0.00012825,7.19e-05
14.0,0.00026596,0.00011089,6.1e-05
15.0,0.00023151,9.704e-05,5.24e-05
20.0,0.00012999,5.568e-05,2.81e-05
