
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 145
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 145, -, 1.0, -, 2.7, 8.5, 0.4, "Coyote Lake", 1979, "Coyote Lake Dam - Southwest Abutment", 5.74, strike slip, 5.3, 6.13, 561.43, 0.25, 1.0, RSN145_COYOTELK_CYC160.AT2, RSN145_COYOTELK_CYC250.AT2 , RSN145_COYOTELK_CYC-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-145 RotD50 pSa (g)
0.01,0.2274031,0.2274031,0.2274031,0.2274031
0.02,0.2288335,0.2288335,0.2288335,0.2288335
0.022,0.2335318,0.2335318,0.2335318,0.2335318
0.025,0.2358955,0.2358955,0.2358955,0.2358955
0.029,0.2370723,0.2370723,0.2370723,0.2370723
0.03,0.2379706,0.2379706,0.2379706,0.2379706
0.032,0.2362401,0.2362401,0.2362401,0.2362401
0.035,0.2478628,0.2478628,0.2478628,0.2478628
0.036,0.2480051,0.2480051,0.2480051,0.2480051
0.04,0.2546232,0.2546232,0.2546232,0.2546232
0.042,0.2567966,0.2567966,0.2567966,0.2567966
0.044,0.2531358,0.2531358,0.2531358,0.2531358
0.045,0.2493016,0.2493016,0.2493016,0.2493016
0.046,0.2471727,0.2471727,0.2471727,0.2471727
0.048,0.2487417,0.2487417,0.2487417,0.2487417
0.05,0.2485345,0.2485345,0.2485345,0.2485345
0.055,0.2415461,0.2415461,0.2415461,0.2415461
0.06,0.2485313,0.2485313,0.2485313,0.2485313
0.065,0.2661904,0.2661904,0.2661904,0.2661904
0.067,0.2746805,0.2746805,0.2746805,0.2746805
0.07,0.2754532,0.2754532,0.2754532,0.2754532
0.075,0.2737601,0.2737601,0.2737601,0.2737601
0.08,0.2796376,0.2796376,0.2796376,0.2796376
0.085,0.2951331,0.2951331,0.2951331,0.2951331
0.09,0.2747659,0.2747659,0.2747659,0.2747659
0.095,0.2794244,0.2794244,0.2794244,0.2794244
0.1,0.3315583,0.3315583,0.3315583,0.3315583
0.11,0.3338045,0.3338045,0.3338045,0.3338045
0.12,0.3753984,0.3753984,0.3753984,0.3753984
0.13,0.3480701,0.3480701,0.3480701,0.3480701
0.133,0.3516891,0.3516891,0.3516891,0.3516891
0.14,0.3651624,0.3651624,0.3651624,0.3651624
0.15,0.3844072,0.3844072,0.3844072,0.3844072
0.16,0.3911507,0.3911507,0.3911507,0.3911507
0.17,0.4022248,0.4022248,0.4022248,0.4022248
0.18,0.3875601,0.3875601,0.3875601,0.3875601
0.19,0.3497578,0.3497578,0.3497578,0.3497578
0.2,0.3403158,0.3403158,0.3403158,0.3403158
0.22,0.3427424,0.3427424,0.3427424,0.3427424
