
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 158
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 158, -, 1.0, -, 6.1, 9.8, 1.2, "Imperial Valley-06", 1979, "Aeropuerto Mexicali", 6.53, strike slip, 0.0, 0.34, 259.86, 0.2875, 1.0, RSN158_IMPVALL.H_H-AEP045.AT2, RSN158_IMPVALL.H_H-AEP315.AT2 , RSN158_IMPVALL.H_H-AEP-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-158 RotD50 pSa (g)
0.01,0.2948342,0.2948342,0.2948342,0.2948342
0.02,0.321937,0.321937,0.321937,0.321937
0.022,0.3356147,0.3356147,0.3356147,0.3356147
0.025,0.3759873,0.3759873,0.3759873,0.3759873
0.029,0.4352463,0.4352463,0.4352463,0.4352463
0.03,0.444543,0.444543,0.444543,0.444543
0.032,0.442165,0.442165,0.442165,0.442165
0.035,0.5058609,0.5058609,0.5058609,0.5058609
0.036,0.5153825,0.5153825,0.5153825,0.5153825
0.04,0.4849924,0.4849924,0.4849924,0.4849924
0.042,0.518133,0.518133,0.518133,0.518133
0.044,0.5806068,0.5806068,0.5806068,0.5806068
0.045,0.6187939,0.6187939,0.6187939,0.6187939
0.046,0.6447321,0.6447321,0.6447321,0.6447321
0.048,0.6291926,0.6291926,0.6291926,0.6291926
0.05,0.5942656,0.5942656,0.5942656,0.5942656
0.055,0.6566679,0.6566679,0.6566679,0.6566679
0.06,0.6390983,0.6390983,0.6390983,0.6390983
0.065,0.6876068,0.6876068,0.6876068,0.6876068
0.067,0.6481681,0.6481681,0.6481681,0.6481681
0.07,0.5772972,0.5772972,0.5772972,0.5772972
0.075,0.5646173,0.5646173,0.5646173,0.5646173
0.08,0.713495,0.713495,0.713495,0.713495
0.085,0.9240374,0.9240374,0.9240374,0.9240374
0.09,1.012952,1.012952,1.012952,1.012952
0.095,1.016421,1.016421,1.016421,1.016421
0.1,0.9328041,0.9328041,0.9328041,0.9328041
0.11,0.8212184,0.8212184,0.8212184,0.8212184
0.12,0.9175838,0.9175838,0.9175838,0.9175838
0.13,0.812457,0.812457,0.812457,0.812457
0.133,0.7919863,0.7919863,0.7919863,0.7919863
0.14,0.6691451,0.6691451,0.6691451,0.6691451
0.15,0.6674312,0.6674312,0.6674312,0.6674312
0.16,0.6263652,0.6263652,0.6263652,0.6263652
0.17,0.6701401,0.6701401,0.6701401,0.6701401
0.18,0.6546987,0.6546987,0.6546987,0.6546987
0.19,0.5777752,0.5777752,0.5777752,0.5777752
0.2,0.5554037,0.5554037,0.5554037,0.5554037
0.22,0.5916214,0.5916214,0.5916214,0.5916214
0.24,0.6682833,0.6682833,0.6682833,0.6682833
