
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 193
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 193, -, 1.0, -, 6.2, 12.4, 0.0, "Imperial Valley-07", 1979, "Bonds Corner", 5.01, strike slip, 10.83, 13.04, 223.03, 0.75, 1.0, RSN193_IMPVALL.A_A-BCR140.AT2, RSN193_IMPVALL.A_A-BCR230.AT2 , RSN193_IMPVALL.A_A-BCR-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-193 RotD50 pSa (g)
0.01,0.104752,0.104752,0.104752,0.104752
0.02,0.1054416,0.1054416,0.1054416,0.1054416
0.022,0.1068644,0.1068644,0.1068644,0.1068644
0.025,0.1097611,0.1097611,0.1097611,0.1097611
0.029,0.1137886,0.1137886,0.1137886,0.1137886
0.03,0.1150404,0.1150404,0.1150404,0.1150404
0.032,0.1172138,0.1172138,0.1172138,0.1172138
0.035,0.1187659,0.1187659,0.1187659,0.1187659
0.036,0.1191867,0.1191867,0.1191867,0.1191867
0.04,0.1278004,0.1278004,0.1278004,0.1278004
0.042,0.1230305,0.1230305,0.1230305,0.1230305
0.044,0.1326785,0.1326785,0.1326785,0.1326785
0.045,0.1353904,0.1353904,0.1353904,0.1353904
0.046,0.1341433,0.1341433,0.1341433,0.1341433
0.048,0.132985,0.132985,0.132985,0.132985
0.05,0.1394102,0.1394102,0.1394102,0.1394102
0.055,0.1468934,0.1468934,0.1468934,0.1468934
0.06,0.1565644,0.1565644,0.1565644,0.1565644
0.065,0.149696,0.149696,0.149696,0.149696
0.067,0.1414492,0.1414492,0.1414492,0.1414492
0.07,0.1318753,0.1318753,0.1318753,0.1318753
0.075,0.140229,0.140229,0.140229,0.140229
0.08,0.1406597,0.1406597,0.1406597,0.1406597
0.085,0.1474344,0.1474344,0.1474344,0.1474344
0.09,0.1505134,0.1505134,0.1505134,0.1505134
0.095,0.1536461,0.1536461,0.1536461,0.1536461
0.1,0.1568584,0.1568584,0.1568584,0.1568584
0.11,0.1683086,0.1683086,0.1683086,0.1683086
0.12,0.1769597,0.1769597,0.1769597,0.1769597
0.13,0.1754948,0.1754948,0.1754948,0.1754948
0.133,0.1736963,0.1736963,0.1736963,0.1736963
0.14,0.1635346,0.1635346,0.1635346,0.1635346
0.15,0.1610145,0.1610145,0.1610145,0.1610145
0.16,0.1631937,0.1631937,0.1631937,0.1631937
0.17,0.1751507,0.1751507,0.1751507,0.1751507
0.18,0.1766152,0.1766152,0.1766152,0.1766152
0.19,0.1762869,0.1762869,0.1762869,0.1762869
0.2,0.1778357,0.1778357,0.1778357,0.1778357
0.22,0.1636781,0.1636781,0.1636781,0.1636781
