
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 209
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 209, -, 1.0, -, 6.2, 14.3, 0.2, "Imperial Valley-08", 1979, "Westmorland Fire Sta", 5.62, strike slip, 9.39, 9.76, 193.67, 0.0875, 1.0, RSN209_IMPVALL.BG_F-WSM180.AT2, RSN209_IMPVALL.BG_F-WSM090.AT2 , RSN209_IMPVALL.BG_F-WSM-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-209 RotD50 pSa (g)
0.01,0.1215658,0.1215658,0.1215658,0.1215658
0.02,0.1310995,0.1310995,0.1310995,0.1310995
0.022,0.1321544,0.1321544,0.1321544,0.1321544
0.025,0.1322792,0.1322792,0.1322792,0.1322792
0.029,0.1381466,0.1381466,0.1381466,0.1381466
0.03,0.1403615,0.1403615,0.1403615,0.1403615
0.032,0.1424169,0.1424169,0.1424169,0.1424169
0.035,0.1441041,0.1441041,0.1441041,0.1441041
0.036,0.1433571,0.1433571,0.1433571,0.1433571
0.04,0.1629926,0.1629926,0.1629926,0.1629926
0.042,0.1768713,0.1768713,0.1768713,0.1768713
0.044,0.1894018,0.1894018,0.1894018,0.1894018
0.045,0.1905834,0.1905834,0.1905834,0.1905834
0.046,0.1869052,0.1869052,0.1869052,0.1869052
0.048,0.1866104,0.1866104,0.1866104,0.1866104
0.05,0.2007198,0.2007198,0.2007198,0.2007198
0.055,0.2155937,0.2155937,0.2155937,0.2155937
0.06,0.2409744,0.2409744,0.2409744,0.2409744
0.065,0.2707911,0.2707911,0.2707911,0.2707911
0.067,0.2789285,0.2789285,0.2789285,0.2789285
0.07,0.3003409,0.3003409,0.3003409,0.3003409
0.075,0.2896883,0.2896883,0.2896883,0.2896883
0.08,0.2856743,0.2856743,0.2856743,0.2856743
0.085,0.2933861,0.2933861,0.2933861,0.2933861
0.09,0.3656928,0.3656928,0.3656928,0.3656928
0.095,0.4391372,0.4391372,0.4391372,0.4391372
0.1,0.4704292,0.4704292,0.4704292,0.4704292
0.11,0.425775,0.425775,0.425775,0.425775
0.12,0.4147069,0.4147069,0.4147069,0.4147069
0.13,0.3772444,0.3772444,0.3772444,0.3772444
0.133,0.3520287,0.3520287,0.3520287,0.3520287
0.14,0.3227346,0.3227346,0.3227346,0.3227346
0.15,0.2992232,0.2992232,0.2992232,0.2992232
0.16,0.3552212,0.3552212,0.3552212,0.3552212
0.17,0.3598516,0.3598516,0.3598516,0.3598516
0.18,0.3137442,0.3137442,0.3137442,0.3137442
0.19,0.3080871,0.3080871,0.3080871,0.3080871
0.2,0.2836458,0.2836458,0.2836458,0.2836458
0.22,0.2198626,0.2198626,0.2198626,0.2198626
0.24,0.1787233,0.1787233,0.1787233,0.1787233
0.25,0.1778909,0.1778909,0.1778909,0.1778909
0.26,0.1747133,0.1747133,0.1747133,0.1747133
0.28,0.1903109,0.1903109,0.1903109,0.1903109
0.29,0.197623,0.197623,0.197623,0.197623
0.3,0.1901703,0.1901703,0.1901703,0.1901703
0.32,0.1710296,0.1710296,0.1710296,0.1710296
0.34,0.1782075,0.1782075,0.1782075,0.1782075
0.35,0.1808111,0.1808111,0.1808111,0.1808111
0.36,0.1786978,0.1786978,0.1786978,0.1786978
0.38,0.1515439,0.1515439,0.1515439,0.1515439
0.4,0.1364972,0.1364972,0.1364972,0.1364972
0.42,0.1302885,0.1302885,0.1302885,0.1302885
0.44,0.1423422,0.1423422,0.1423422,0.1423422
0.45,0.1476284,0.1476284,0.1476284,0.1476284
0.46,0.1494466,0.1494466,0.1494466,0.1494466
0.48,0.1518517,0.1518517,0.1518517,0.1518517
0.5,0.1539466,0.1539466,0.1539466,0.1539466
0.55,0.1520897,0.1520897,0.1520897,0.1520897
0.6,0.1638026,0.1638026,0.1638026,0.1638026
0.65,0.1719668,0.1719668,0.1719668,0.1719668
0.667,0.1716717,0.1716717,0.1716717,0.1716717
0.7,0.1664048,0.1664048,0.1664048,0.1664048
0.75,0.1546849,0.1546849,0.1546849,0.1546849
0.8,0.1433229,0.1433229,0.1433229,0.1433229
0.85,0.124452,0.124452,0.124452,0.124452
0.9,0.1125131,0.1125131,0.1125131,0.1125131
0.95,0.09607685,0.09607685,0.09607685,0.09607685
1.0,0.07824294,0.07824294,0.07824294,0.07824294
1.1,0.06063686,0.06063686,0.06063686,0.06063686
1.2,0.05101927,0.05101927,0.05101927,0.05101927
1.3,0.05398142,0.05398142,0.05398142,0.05398142
1.4,0.06078636,0.06078636,0.06078636,0.06078636
1.5,0.06470826,0.06470826,0.06470826,0.06470826
1.6,0.06727999,0.06727999,0.06727999,0.06727999
1.7,0.06914311,0.06914311,0.06914311,0.06914311
1.8,0.0682152,0.0682152,0.0682152,0.0682152
1.9,0.06752401,0.06752401,0.06752401,0.06752401
2.0,0.06686846,0.06686846,0.06686846,0.06686846
2.2,0.06119827,0.06119827,0.06119827,0.06119827
2.4,0.05561463,0.05561463,0.05561463,0.05561463
2.5,0.05325067,0.05325067,0.05325067,0.05325067
2.6,0.04790931,0.04790931,0.04790931,0.04790931
2.8,0.0413566,0.0413566,0.0413566,0.0413566
3.0,0.03618949,0.03618949,0.03618949,0.03618949
3.2,0.03316294,0.03316294,0.03316294,0.03316294
3.4,0.03577215,0.03577215,0.03577215,0.03577215
3.5,0.03508954,0.03508954,0.03508954,0.03508954
3.6,0.03391868,0.03391868,0.03391868,0.03391868
3.8,0.03181195,0.03181195,0.03181195,0.03181195
4.0,0.02855243,0.02855243,0.02855243,0.02855243
4.2,0.02509297,0.02509297,0.02509297,0.02509297
4.4,0.02266595,0.02266595,0.02266595,0.02266595
4.6,0.02088363,0.02088363,0.02088363,0.02088363
4.8,0.01925976,0.01925976,0.01925976,0.01925976
5.0,0.01782219,0.01782219,0.01782219,0.01782219
5.5,0.0150164,0.0150164,0.0150164,0.0150164
6.0,0.01278758,0.01278758,0.01278758,0.01278758
6.5,0.01295928,0.01295928,0.01295928,0.01295928
7.0,0.01295763,0.01295763,0.01295763,0.01295763
7.5,0.01123501,0.01123501,0.01123501,0.01123501
8.0,0.00974811,0.00974811,0.00974811,0.00974811
8.5,0.00846828,0.00846828,0.00846828,0.00846828
9.0,0.00691247,0.00691247,0.00691247,0.00691247
9.5,0.00595412,0.00595412,0.00595412,0.00595412
10.0,0.0049582,0.0049582,0.0049582,0.0049582
11.0,0.00351459,0.00351459,0.00351459,0.00351459
12.0,0.00270871,0.00270871,0.00270871,0.00270871
13.0,0.00219954,0.00219954,0.00219954,0.00219954
14.0,0.00185746,0.00185746,0.00185746,0.00185746
15.0,0.00158847,0.00158847,0.00158847,0.00158847
20.0,0.00080027,0.00080027,0.00080027,0.00080027

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-209 Horizontal-1 pSa (g),RSN-209 Horizontal-2 pSa (g),RSN-209 Vertical pSa (g)
0.01,0.1514576,0.112847,0.12
0.02,0.1668199,0.1184695,0.155
0.022,0.1738769,0.1176914,0.164
0.025,0.1856863,0.119937,0.194
0.029,0.1874878,0.1177985,0.263
0.03,0.1884479,0.1225616,0.274
0.032,0.180409,0.1238463,0.335
0.035,0.1720253,0.1169887,0.332
0.036,0.167491,0.1218021,0.355
0.04,0.2124193,0.1281898,0.297
0.042,0.2076915,0.137282,0.239
0.044,0.20338,0.1566603,0.248
0.045,0.1992001,0.1597938,0.253
0.046,0.1918288,0.1611088,0.249
0.048,0.1944252,0.1723869,0.21
0.05,0.2173169,0.1846457,0.2
0.055,0.2209254,0.210793,0.211
0.06,0.2240426,0.2565071,0.297
0.065,0.2410192,0.301452,0.348
0.067,0.2602979,0.2673829,0.354
0.07,0.2938517,0.2403954,0.331
0.075,0.3170025,0.2183139,0.332
0.08,0.3517834,0.2446839,0.438
0.085,0.4029292,0.2529173,0.381
0.09,0.5055512,0.2845134,0.349
0.095,0.5960597,0.2676857,0.373
0.1,0.6372562,0.3119105,0.347
0.11,0.3762083,0.3555583,0.228
0.12,0.4321051,0.3923472,0.174
0.13,0.3953044,0.3587352,0.154
0.133,0.3623998,0.3363541,0.161
0.14,0.3859557,0.3068029,0.155
0.15,0.391658,0.265616,0.185
0.16,0.4818482,0.2673733,0.184
0.17,0.4362255,0.2896562,0.163
0.18,0.3576601,0.233923,0.141
0.19,0.3694828,0.2156037,0.123
0.2,0.3442605,0.2045618,0.113
0.22,0.2488105,0.1748394,0.0907
0.24,0.1733625,0.1838963,0.0844
0.25,0.1827865,0.1772158,0.0925
0.26,0.2036828,0.1761396,0.0852
0.28,0.2187832,0.1827176,0.0792
0.29,0.2151976,0.1967093,0.0699
0.3,0.2084609,0.1844872,0.06
0.32,0.2035349,0.1533125,0.0531
0.34,0.1990408,0.1646607,0.0497
0.35,0.1947755,0.1669105,0.0458
0.36,0.1831084,0.1737571,0.0492
0.38,0.1468893,0.1590216,0.0499
0.4,0.1385254,0.1415421,0.0432
0.42,0.1618367,0.1163395,0.0432
0.44,0.1773873,0.1265842,0.045
0.45,0.1811175,0.1268435,0.0417
0.46,0.1831199,0.1244759,0.0386
0.48,0.1863966,0.1125125,0.0375
0.5,0.18645,0.1126243,0.0411
0.55,0.1822294,0.1100844,0.0563
0.6,0.1916463,0.1113506,0.047
0.65,0.2080058,0.111251,0.0434
0.667,0.2107668,0.1101648,0.0445
0.7,0.2102917,0.106213,0.0484
