
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 210
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 210, -, 1.0, -, 3.6, 10.3, 0.0, "Livermore-01", 1980, "APEEL 3E Hayward CSUH", 5.8, strike slip, 29.19, 30.59, 517.06, 0.25, 1.0, RSN210_LIVERMOR_A-A3E146.AT2, RSN210_LIVERMOR_A-A3E236.AT2 , RSN210_LIVERMOR_A-A3E-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-210 RotD50 pSa (g)
0.01,0.06154551,0.06154551,0.06154551,0.06154551
0.02,0.06220567,0.06220567,0.06220567,0.06220567
0.022,0.06233474,0.06233474,0.06233474,0.06233474
0.025,0.0626195,0.0626195,0.0626195,0.0626195
0.029,0.06314973,0.06314973,0.06314973,0.06314973
0.03,0.06344643,0.06344643,0.06344643,0.06344643
0.032,0.06403887,0.06403887,0.06403887,0.06403887
0.035,0.0651454,0.0651454,0.0651454,0.0651454
0.036,0.0653265,0.0653265,0.0653265,0.0653265
0.04,0.06557607,0.06557607,0.06557607,0.06557607
0.042,0.06586532,0.06586532,0.06586532,0.06586532
0.044,0.06599145,0.06599145,0.06599145,0.06599145
0.045,0.06607712,0.06607712,0.06607712,0.06607712
0.046,0.06631214,0.06631214,0.06631214,0.06631214
0.048,0.06682909,0.06682909,0.06682909,0.06682909
0.05,0.06743709,0.06743709,0.06743709,0.06743709
0.055,0.06747142,0.06747142,0.06747142,0.06747142
0.06,0.06874226,0.06874226,0.06874226,0.06874226
0.065,0.07276722,0.07276722,0.07276722,0.07276722
0.067,0.07583198,0.07583198,0.07583198,0.07583198
0.07,0.07904748,0.07904748,0.07904748,0.07904748
0.075,0.08128439,0.08128439,0.08128439,0.08128439
0.08,0.07572124,0.07572124,0.07572124,0.07572124
0.085,0.08430541,0.08430541,0.08430541,0.08430541
0.09,0.09557655,0.09557655,0.09557655,0.09557655
0.095,0.09772502,0.09772502,0.09772502,0.09772502
0.1,0.1012596,0.1012596,0.1012596,0.1012596
0.11,0.1189978,0.1189978,0.1189978,0.1189978
0.12,0.1645485,0.1645485,0.1645485,0.1645485
0.13,0.215327,0.215327,0.215327,0.215327
0.133,0.2286043,0.2286043,0.2286043,0.2286043
0.14,0.2453945,0.2453945,0.2453945,0.2453945
0.15,0.2215182,0.2215182,0.2215182,0.2215182
0.16,0.2142163,0.2142163,0.2142163,0.2142163
0.17,0.2171521,0.2171521,0.2171521,0.2171521
0.18,0.2401729,0.2401729,0.2401729,0.2401729
0.19,0.2874123,0.2874123,0.2874123,0.2874123
0.2,0.2828057,0.2828057,0.2828057,0.2828057
0.22,0.1946172,0.1946172,0.1946172,0.1946172
0.24,0.1548092,0.1548092,0.1548092,0.1548092
0.25,0.1325316,0.1325316,0.1325316,0.1325316
0.26,0.132511,0.132511,0.132511,0.132511
0.28,0.1335753,0.1335753,0.1335753,0.1335753
0.29,0.1483811,0.1483811,0.1483811,0.1483811
0.3,0.1615437,0.1615437,0.1615437,0.1615437
0.32,0.1834702,0.1834702,0.1834702,0.1834702
0.34,0.1613399,0.1613399,0.1613399,0.1613399
0.35,0.1467023,0.1467023,0.1467023,0.1467023
0.36,0.133553,0.133553,0.133553,0.133553
0.38,0.1282505,0.1282505,0.1282505,0.1282505
0.4,0.1030001,0.1030001,0.1030001,0.1030001
0.42,0.08256944,0.08256944,0.08256944,0.08256944
0.44,0.07502733,0.07502733,0.07502733,0.07502733
0.45,0.07598241,0.07598241,0.07598241,0.07598241
0.46,0.07453864,0.07453864,0.07453864,0.07453864
0.48,0.06878555,0.06878555,0.06878555,0.06878555
0.5,0.07262193,0.07262193,0.07262193,0.07262193
0.55,0.06297021,0.06297021,0.06297021,0.06297021
0.6,0.05831484,0.05831484,0.05831484,0.05831484
0.65,0.0538882,0.0538882,0.0538882,0.0538882
0.667,0.05072511,0.05072511,0.05072511,0.05072511
0.7,0.05141914,0.05141914,0.05141914,0.05141914
0.75,0.04710906,0.04710906,0.04710906,0.04710906
0.8,0.04322535,0.04322535,0.04322535,0.04322535
0.85,0.0368565,0.0368565,0.0368565,0.0368565
0.9,0.03418002,0.03418002,0.03418002,0.03418002
