
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 217
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 217, -, 1.0, -, 3.8, 10.9, 0.0, "Livermore-02", 1980, "APEEL 3E Hayward CSUH", 5.42, strike slip, 27.76, 30.0, 517.06, 0.1875, 1.0, RSN217_LIVERMOR_B-A3E146.AT2, RSN217_LIVERMOR_B-A3E236.AT2 , RSN217_LIVERMOR_B-A3E-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-217 RotD50 pSa (g)
0.01,0.04225646,0.04225646,0.04225646,0.04225646
0.02,0.04240951,0.04240951,0.04240951,0.04240951
0.022,0.04251077,0.04251077,0.04251077,0.04251077
0.025,0.04245918,0.04245918,0.04245918,0.04245918
0.029,0.04262085,0.04262085,0.04262085,0.04262085
0.03,0.04264985,0.04264985,0.04264985,0.04264985
0.032,0.04272608,0.04272608,0.04272608,0.04272608
0.035,0.04291601,0.04291601,0.04291601,0.04291601
0.036,0.04296134,0.04296134,0.04296134,0.04296134
0.04,0.04297595,0.04297595,0.04297595,0.04297595
0.042,0.04286933,0.04286933,0.04286933,0.04286933
0.044,0.0431444,0.0431444,0.0431444,0.0431444
0.045,0.04329075,0.04329075,0.04329075,0.04329075
0.046,0.04337447,0.04337447,0.04337447,0.04337447
0.048,0.04359896,0.04359896,0.04359896,0.04359896
0.05,0.0437807,0.0437807,0.0437807,0.0437807
0.055,0.04463597,0.04463597,0.04463597,0.04463597
0.06,0.04538068,0.04538068,0.04538068,0.04538068
0.065,0.04490766,0.04490766,0.04490766,0.04490766
0.067,0.04475475,0.04475475,0.04475475,0.04475475
0.07,0.04661554,0.04661554,0.04661554,0.04661554
0.075,0.04874631,0.04874631,0.04874631,0.04874631
0.08,0.0481419,0.0481419,0.0481419,0.0481419
0.085,0.05198774,0.05198774,0.05198774,0.05198774
0.09,0.0578761,0.0578761,0.0578761,0.0578761
0.095,0.06413283,0.06413283,0.06413283,0.06413283
0.1,0.07110799,0.07110799,0.07110799,0.07110799
0.11,0.077656,0.077656,0.077656,0.077656
0.12,0.06667577,0.06667577,0.06667577,0.06667577
0.13,0.07614157,0.07614157,0.07614157,0.07614157
0.133,0.08226462,0.08226462,0.08226462,0.08226462
0.14,0.09782491,0.09782491,0.09782491,0.09782491
0.15,0.1001216,0.1001216,0.1001216,0.1001216
0.16,0.09175456,0.09175456,0.09175456,0.09175456
0.17,0.08424906,0.08424906,0.08424906,0.08424906
0.18,0.07838646,0.07838646,0.07838646,0.07838646
0.19,0.08077956,0.08077956,0.08077956,0.08077956
0.2,0.08431254,0.08431254,0.08431254,0.08431254
0.22,0.09748847,0.09748847,0.09748847,0.09748847
0.24,0.09723079,0.09723079,0.09723079,0.09723079
0.25,0.1000247,0.1000247,0.1000247,0.1000247
0.26,0.1035564,0.1035564,0.1035564,0.1035564
0.28,0.1202012,0.1202012,0.1202012,0.1202012
0.29,0.1243833,0.1243833,0.1243833,0.1243833
0.3,0.128133,0.128133,0.128133,0.128133
0.32,0.1318236,0.1318236,0.1318236,0.1318236
0.34,0.1177466,0.1177466,0.1177466,0.1177466
0.35,0.1133671,0.1133671,0.1133671,0.1133671
0.36,0.1096543,0.1096543,0.1096543,0.1096543
0.38,0.09880287,0.09880287,0.09880287,0.09880287
0.4,0.08493008,0.08493008,0.08493008,0.08493008
0.42,0.07592797,0.07592797,0.07592797,0.07592797
0.44,0.07568575,0.07568575,0.07568575,0.07568575
0.45,0.07582891,0.07582891,0.07582891,0.07582891
0.46,0.07540531,0.07540531,0.07540531,0.07540531
0.48,0.07381979,0.07381979,0.07381979,0.07381979
0.5,0.07175395,0.07175395,0.07175395,0.07175395
0.55,0.06759097,0.06759097,0.06759097,0.06759097
0.6,0.06417929,0.06417929,0.06417929,0.06417929
0.65,0.06263506,0.06263506,0.06263506,0.06263506
0.667,0.06224117,0.06224117,0.06224117,0.06224117
0.7,0.0599602,0.0599602,0.0599602,0.0599602
0.75,0.05817354,0.05817354,0.05817354,0.05817354
0.8,0.05659321,0.05659321,0.05659321,0.05659321
0.85,0.05409344,0.05409344,0.05409344,0.05409344
0.9,0.05048003,0.05048003,0.05048003,0.05048003
0.95,0.04639953,0.04639953,0.04639953,0.04639953
1.0,0.04245014,0.04245014,0.04245014,0.04245014
1.1,0.03621509,0.03621509,0.03621509,0.03621509
1.2,0.03023446,0.03023446,0.03023446,0.03023446
1.3,0.02516558,0.02516558,0.02516558,0.02516558
1.4,0.02199818,0.02199818,0.02199818,0.02199818
1.5,0.0180577,0.0180577,0.0180577,0.0180577
1.6,0.01567758,0.01567758,0.01567758,0.01567758
1.7,0.01413115,0.01413115,0.01413115,0.01413115
1.8,0.01275821,0.01275821,0.01275821,0.01275821
1.9,0.01116313,0.01116313,0.01116313,0.01116313
2.0,0.00948379,0.00948379,0.00948379,0.00948379
2.2,0.00667629,0.00667629,0.00667629,0.00667629
2.4,0.00519431,0.00519431,0.00519431,0.00519431
2.5,0.00465016,0.00465016,0.00465016,0.00465016
2.6,0.00418492,0.00418492,0.00418492,0.00418492
2.8,0.00445114,0.00445114,0.00445114,0.00445114
3.0,0.004094,0.004094,0.004094,0.004094
3.2,0.00369979,0.00369979,0.00369979,0.00369979
3.4,0.00328539,0.00328539,0.00328539,0.00328539
3.5,0.00311059,0.00311059,0.00311059,0.00311059
3.6,0.0030124,0.0030124,0.0030124,0.0030124
3.8,0.00285031,0.00285031,0.00285031,0.00285031
4.0,0.00257892,0.00257892,0.00257892,0.00257892
4.2,0.00230383,0.00230383,0.00230383,0.00230383
4.4,0.00206592,0.00206592,0.00206592,0.00206592
4.6,0.00185464,0.00185464,0.00185464,0.00185464
4.8,0.00164093,0.00164093,0.00164093,0.00164093
5.0,0.00146614,0.00146614,0.00146614,0.00146614
5.5,0.00111175,0.00111175,0.00111175,0.00111175
6.0,0.00086224,0.00086224,0.00086224,0.00086224
6.5,0.00070699,0.00070699,0.00070699,0.00070699
7.0,0.00058662,0.00058662,0.00058662,0.00058662
7.5,0.00049238,0.00049238,0.00049238,0.00049238
8.0,0.00042056,0.00042056,0.00042056,0.00042056
8.5,0.0003686,0.0003686,0.0003686,0.0003686
9.0,0.00032941,0.00032941,0.00032941,0.00032941
9.5,0.0002883,0.0002883,0.0002883,0.0002883
10.0,0.00025652,0.00025652,0.00025652,0.00025652
11.0,0.00021278,0.00021278,0.00021278,0.00021278
12.0,0.00017913,0.00017913,0.00017913,0.00017913
13.0,0.00015254,0.00015254,0.00015254,0.00015254
14.0,0.00013151,0.00013151,0.00013151,0.00013151
15.0,0.00011441,0.00011441,0.00011441,0.00011441
20.0,6.401e-05,6.401e-05,6.401e-05,6.401e-05

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-217 Horizontal-1 pSa (g),RSN-217 Horizontal-2 pSa (g),RSN-217 Vertical pSa (g)
0.01,0.05725288,0.02909376,0.0149
0.02,0.05752409,0.02924148,0.0152
0.022,0.0577079,0.02932543,0.0153
0.025,0.05769736,0.02940422,0.0151
0.029,0.05770412,0.02938614,0.0154
0.03,0.05769371,0.02941445,0.0155
0.032,0.05793894,0.02959722,0.0155
0.035,0.05798624,0.02973358,0.0159
0.036,0.05797174,0.02976776,0.0162
0.04,0.05847137,0.0296792,0.0166
0.042,0.05803804,0.02957085,0.0169
0.044,0.05801853,0.02969055,0.0176
0.045,0.058119,0.02974955,0.0176
0.046,0.05814163,0.0298598,0.0172
