
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 225
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 225, -, 1.0, -, 0.7, 2.1, 0.0, "Anza (Horse Canyon)-01", 1980, "Anza - Pinyon Flat", 5.19, strike slip, 12.24, 17.26, 724.89, 0.4125, 1.0, RSN225_ANZA_PFT045.AT2, RSN225_ANZA_PFT135.AT2 , RSN225_ANZA_PFT-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-225 RotD50 pSa (g)
0.01,0.1100724,0.1100724,0.1100724,0.1100724
0.02,0.1156057,0.1156057,0.1156057,0.1156057
0.022,0.1166733,0.1166733,0.1166733,0.1166733
0.025,0.118882,0.118882,0.118882,0.118882
0.029,0.1211862,0.1211862,0.1211862,0.1211862
0.03,0.1223444,0.1223444,0.1223444,0.1223444
0.032,0.1307863,0.1307863,0.1307863,0.1307863
0.035,0.1388049,0.1388049,0.1388049,0.1388049
0.036,0.1377749,0.1377749,0.1377749,0.1377749
0.04,0.1595474,0.1595474,0.1595474,0.1595474
0.042,0.1560943,0.1560943,0.1560943,0.1560943
0.044,0.1516796,0.1516796,0.1516796,0.1516796
0.045,0.1494794,0.1494794,0.1494794,0.1494794
0.046,0.1555068,0.1555068,0.1555068,0.1555068
0.048,0.1732848,0.1732848,0.1732848,0.1732848
0.05,0.1838708,0.1838708,0.1838708,0.1838708
0.055,0.2154596,0.2154596,0.2154596,0.2154596
0.06,0.24535,0.24535,0.24535,0.24535
0.065,0.2999589,0.2999589,0.2999589,0.2999589
0.067,0.3132531,0.3132531,0.3132531,0.3132531
0.07,0.3396794,0.3396794,0.3396794,0.3396794
0.075,0.4204682,0.4204682,0.4204682,0.4204682
0.08,0.4347011,0.4347011,0.4347011,0.4347011
0.085,0.3250084,0.3250084,0.3250084,0.3250084
0.09,0.2593703,0.2593703,0.2593703,0.2593703
0.095,0.2206072,0.2206072,0.2206072,0.2206072
0.1,0.2102224,0.2102224,0.2102224,0.2102224
0.11,0.1937049,0.1937049,0.1937049,0.1937049
0.12,0.2003848,0.2003848,0.2003848,0.2003848
0.13,0.1744807,0.1744807,0.1744807,0.1744807
0.133,0.1674902,0.1674902,0.1674902,0.1674902
0.14,0.1606208,0.1606208,0.1606208,0.1606208
0.15,0.1578176,0.1578176,0.1578176,0.1578176
0.16,0.1740914,0.1740914,0.1740914,0.1740914
0.17,0.1793646,0.1793646,0.1793646,0.1793646
0.18,0.1561306,0.1561306,0.1561306,0.1561306
0.19,0.1449627,0.1449627,0.1449627,0.1449627
0.2,0.1406094,0.1406094,0.1406094,0.1406094
0.22,0.1325134,0.1325134,0.1325134,0.1325134
0.24,0.1459567,0.1459567,0.1459567,0.1459567
0.25,0.1494099,0.1494099,0.1494099,0.1494099
0.26,0.1503347,0.1503347,0.1503347,0.1503347
0.28,0.1470311,0.1470311,0.1470311,0.1470311
0.29,0.1439691,0.1439691,0.1439691,0.1439691
0.3,0.1430006,0.1430006,0.1430006,0.1430006
0.32,0.1465448,0.1465448,0.1465448,0.1465448
0.34,0.1473776,0.1473776,0.1473776,0.1473776
0.35,0.1441555,0.1441555,0.1441555,0.1441555
0.36,0.1424041,0.1424041,0.1424041,0.1424041
0.38,0.1348261,0.1348261,0.1348261,0.1348261
0.4,0.1264829,0.1264829,0.1264829,0.1264829
0.42,0.1136155,0.1136155,0.1136155,0.1136155
0.44,0.1024806,0.1024806,0.1024806,0.1024806
0.45,0.09906562,0.09906562,0.09906562,0.09906562
0.46,0.09552158,0.09552158,0.09552158,0.09552158
0.48,0.08918849,0.08918849,0.08918849,0.08918849
0.5,0.08387233,0.08387233,0.08387233,0.08387233
0.55,0.07312697,0.07312697,0.07312697,0.07312697
0.6,0.06208122,0.06208122,0.06208122,0.06208122
0.65,0.05184303,0.05184303,0.05184303,0.05184303
0.667,0.04876577,0.04876577,0.04876577,0.04876577
0.7,0.04344917,0.04344917,0.04344917,0.04344917
0.75,0.03730784,0.03730784,0.03730784,0.03730784
0.8,0.03260805,0.03260805,0.03260805,0.03260805
0.85,0.02838726,0.02838726,0.02838726,0.02838726
0.9,0.02457664,0.02457664,0.02457664,0.02457664
0.95,0.02118888,0.02118888,0.02118888,0.02118888
1.0,0.01842008,0.01842008,0.01842008,0.01842008
1.1,0.01505899,0.01505899,0.01505899,0.01505899
1.2,0.0133377,0.0133377,0.0133377,0.0133377
1.3,0.01160871,0.01160871,0.01160871,0.01160871
1.4,0.01031707,0.01031707,0.01031707,0.01031707
1.5,0.00907602,0.00907602,0.00907602,0.00907602
1.6,0.00792739,0.00792739,0.00792739,0.00792739
1.7,0.00689113,0.00689113,0.00689113,0.00689113
1.8,0.00601254,0.00601254,0.00601254,0.00601254
1.9,0.00582627,0.00582627,0.00582627,0.00582627
2.0,0.00584977,0.00584977,0.00584977,0.00584977
2.2,0.00512056,0.00512056,0.00512056,0.00512056
2.4,0.00406954,0.00406954,0.00406954,0.00406954
2.5,0.00369331,0.00369331,0.00369331,0.00369331
2.6,0.00350067,0.00350067,0.00350067,0.00350067
2.8,0.00303708,0.00303708,0.00303708,0.00303708
3.0,0.00255641,0.00255641,0.00255641,0.00255641
3.2,0.00224964,0.00224964,0.00224964,0.00224964
3.4,0.00198819,0.00198819,0.00198819,0.00198819
3.5,0.00187221,0.00187221,0.00187221,0.00187221
3.6,0.00176499,0.00176499,0.00176499,0.00176499
3.8,0.00157391,0.00157391,0.00157391,0.00157391
4.0,0.0014098,0.0014098,0.0014098,0.0014098
4.2,0.00126831,0.00126831,0.00126831,0.00126831
4.4,0.00114581,0.00114581,0.00114581,0.00114581
4.6,0.00103932,0.00103932,0.00103932,0.00103932
4.8,0.00094629,0.00094629,0.00094629,0.00094629
5.0,0.00086479,0.00086479,0.00086479,0.00086479
5.5,0.00070063,0.00070063,0.00070063,0.00070063
6.0,0.00057824,0.00057824,0.00057824,0.00057824
6.5,0.00048491,0.00048491,0.00048491,0.00048491
7.0,0.00041223,0.00041223,0.00041223,0.00041223
7.5,0.00035473,0.00035473,0.00035473,0.00035473
8.0,0.00030845,0.00030845,0.00030845,0.00030845
8.5,0.00027066,0.00027066,0.00027066,0.00027066
9.0,0.00023943,0.00023943,0.00023943,0.00023943
9.5,0.00021333,0.00021333,0.00021333,0.00021333
10.0,0.00019129,0.00019129,0.00019129,0.00019129
11.0,0.00015636,0.00015636,0.00015636,0.00015636
12.0,0.00013025,0.00013025,0.00013025,0.00013025
13.0,0.00011021,0.00011021,0.00011021,0.00011021
14.0,9.448e-05,9.448e-05,9.448e-05,9.448e-05
15.0,8.191e-05,8.191e-05,8.191e-05,8.191e-05
20.0,4.539e-05,4.539e-05,4.539e-05,4.539e-05

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-225 Horizontal-1 pSa (g),RSN-225 Horizontal-2 pSa (g),RSN-225 Vertical pSa (g)
0.01,0.1001343,0.1241424,0.0478
0.02,0.1064117,0.1274722,0.0518
0.022,0.1077409,0.1290715,0.0596
0.025,0.1100181,0.1337545,0.0626
0.029,0.1184552,0.1284395,0.0668
0.03,0.12059,0.1283948,0.0697
0.032,0.1284532,0.1331721,0.0725
0.035,0.1362137,0.1419121,0.0636
0.036,0.1343737,0.1431236,0.0678
0.04,0.1626255,0.1530372,0.0891
0.042,0.1595317,0.1515007,0.0927
0.044,0.1504302,0.1549204,0.0973
0.045,0.1474545,0.16094,0.105
0.046,0.1536909,0.165407,0.117
0.048,0.1709718,0.1795151,0.147
0.05,0.1837742,0.1839674,0.162
0.055,0.2212759,0.2178397,0.148
0.06,0.2193094,0.2858505,0.133
0.065,0.2523822,0.3335522,0.126
0.067,0.2741784,0.3469816,0.122
0.07,0.3145223,0.3656278,0.141
0.075,0.4392067,0.3977839,0.134
0.08,0.4888757,0.3932124,0.136
0.085,0.361007,0.3055204,0.164
0.09,0.2393822,0.2778104,0.206
0.095,0.1916205,0.2505042,0.273
0.1,0.1987261,0.225263,0.292
0.11,0.1713776,0.2101484,0.213
0.12,0.1495188,0.2316829,0.113
0.13,0.1563551,0.1857713,0.0754
0.133,0.1640645,0.1796895,0.0693
0.14,0.1785556,0.1560724,0.0627
0.15,0.2011079,0.1341599,0.0712
0.16,0.2108463,0.1277519,0.0766
0.17,0.1948021,0.1342803,0.0702
0.18,0.1582376,0.1604923,0.059
0.19,0.1301898,0.1738594,0.0491
0.2,0.1007489,0.1705122,0.0394
0.22,0.06950082,0.1684469,0.0335
0.24,0.06692831,0.1895035,0.0348
0.25,0.06549706,0.1955948,0.0333
0.26,0.06517223,0.1978966,0.0345
0.28,0.07364978,0.1938306,0.0345
0.29,0.07875717,0.1899957,0.0304
0.3,0.07839621,0.1856824,0.0263
0.32,0.08247896,0.1928139,0.0279
0.34,0.07549085,0.1967307,0.0297
0.35,0.07464805,0.19259,0.0288
0.36,0.07260213,0.1862809,0.0299
0.38,0.0647689,0.1788958,0.0274
0.4,0.05898316,0.1704377,0.0236
