
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 230
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 230, -, 1.0, -, 7.1, 9.6, 2.6, "Mammoth Lakes-01", 1980, "Convict Creek", 6.06, Normal Oblique, 1.1, 6.63, 382.12, 0.25, 1.0, RSN230_MAMMOTH.I_I-CVK090.AT2, RSN230_MAMMOTH.I_I-CVK180.AT2 , RSN230_MAMMOTH.I_I-CVK-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-230 RotD50 pSa (g)
0.01,0.4399073,0.4399073,0.4399073,0.4399073
0.02,0.4639606,0.4639606,0.4639606,0.4639606
0.022,0.4959258,0.4959258,0.4959258,0.4959258
0.025,0.4959491,0.4959491,0.4959491,0.4959491
0.029,0.5770795,0.5770795,0.5770795,0.5770795
0.03,0.6170694,0.6170694,0.6170694,0.6170694
0.032,0.6620834,0.6620834,0.6620834,0.6620834
0.035,0.6445875,0.6445875,0.6445875,0.6445875
0.036,0.6194551,0.6194551,0.6194551,0.6194551
0.04,0.5877467,0.5877467,0.5877467,0.5877467
0.042,0.5912781,0.5912781,0.5912781,0.5912781
0.044,0.6041206,0.6041206,0.6041206,0.6041206
0.045,0.6195998,0.6195998,0.6195998,0.6195998
0.046,0.6273059,0.6273059,0.6273059,0.6273059
0.048,0.6443601,0.6443601,0.6443601,0.6443601
0.05,0.6487842,0.6487842,0.6487842,0.6487842
0.055,0.6912442,0.6912442,0.6912442,0.6912442
0.06,0.74062,0.74062,0.74062,0.74062
0.065,0.833719,0.833719,0.833719,0.833719
0.067,0.8796384,0.8796384,0.8796384,0.8796384
0.07,0.9016262,0.9016262,0.9016262,0.9016262
0.075,1.003832,1.003832,1.003832,1.003832
0.08,1.116629,1.116629,1.116629,1.116629
0.085,1.141353,1.141353,1.141353,1.141353
0.09,1.153943,1.153943,1.153943,1.153943
0.095,1.038209,1.038209,1.038209,1.038209
0.1,1.084734,1.084734,1.084734,1.084734
0.11,1.066897,1.066897,1.066897,1.066897
0.12,1.127548,1.127548,1.127548,1.127548
0.13,1.446562,1.446562,1.446562,1.446562
0.133,1.453637,1.453637,1.453637,1.453637
0.14,1.337878,1.337878,1.337878,1.337878
0.15,1.071331,1.071331,1.071331,1.071331
0.16,0.9818057,0.9818057,0.9818057,0.9818057
0.17,0.9183534,0.9183534,0.9183534,0.9183534
0.18,0.8614169,0.8614169,0.8614169,0.8614169
0.19,0.9608965,0.9608965,0.9608965,0.9608965
0.2,1.199659,1.199659,1.199659,1.199659
0.22,1.405431,1.405431,1.405431,1.405431
0.24,1.055766,1.055766,1.055766,1.055766
0.25,0.9785552,0.9785552,0.9785552,0.9785552
0.26,0.9621729,0.9621729,0.9621729,0.9621729
