
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 233
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 233, -, 1.0, -, 2.6, 7.7, 0.2, "Mammoth Lakes-02", 1980, "Convict Creek", 5.69, strike slip, 2.91, 9.46, 382.12, 0.5, 1.0, RSN233_MAMMOTH.J_J-CVK090.AT2, RSN233_MAMMOTH.J_J-CVK180.AT2 , RSN233_MAMMOTH.J_J-CVK-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-233 RotD50 pSa (g)
0.01,0.1654076,0.1654076,0.1654076,0.1654076
0.02,0.1683772,0.1683772,0.1683772,0.1683772
0.022,0.1688917,0.1688917,0.1688917,0.1688917
0.025,0.1705435,0.1705435,0.1705435,0.1705435
0.029,0.1746537,0.1746537,0.1746537,0.1746537
0.03,0.1734996,0.1734996,0.1734996,0.1734996
0.032,0.1774834,0.1774834,0.1774834,0.1774834
0.035,0.1802766,0.1802766,0.1802766,0.1802766
0.036,0.1848099,0.1848099,0.1848099,0.1848099
0.04,0.1983855,0.1983855,0.1983855,0.1983855
0.042,0.1990394,0.1990394,0.1990394,0.1990394
0.044,0.2236959,0.2236959,0.2236959,0.2236959
0.045,0.2251596,0.2251596,0.2251596,0.2251596
0.046,0.2211847,0.2211847,0.2211847,0.2211847
0.048,0.2214296,0.2214296,0.2214296,0.2214296
0.05,0.2221027,0.2221027,0.2221027,0.2221027
0.055,0.2782459,0.2782459,0.2782459,0.2782459
0.06,0.2918808,0.2918808,0.2918808,0.2918808
0.065,0.3138119,0.3138119,0.3138119,0.3138119
0.067,0.3366159,0.3366159,0.3366159,0.3366159
0.07,0.3584225,0.3584225,0.3584225,0.3584225
0.075,0.3981945,0.3981945,0.3981945,0.3981945
0.08,0.3844496,0.3844496,0.3844496,0.3844496
0.085,0.4012735,0.4012735,0.4012735,0.4012735
0.09,0.358141,0.358141,0.358141,0.358141
0.095,0.3484285,0.3484285,0.3484285,0.3484285
0.1,0.3410401,0.3410401,0.3410401,0.3410401
0.11,0.3542607,0.3542607,0.3542607,0.3542607
0.12,0.3324997,0.3324997,0.3324997,0.3324997
0.13,0.3689449,0.3689449,0.3689449,0.3689449
0.133,0.3475236,0.3475236,0.3475236,0.3475236
0.14,0.3756074,0.3756074,0.3756074,0.3756074
0.15,0.4320745,0.4320745,0.4320745,0.4320745
0.16,0.3989701,0.3989701,0.3989701,0.3989701
0.17,0.3637167,0.3637167,0.3637167,0.3637167
0.18,0.3720053,0.3720053,0.3720053,0.3720053
0.19,0.4080531,0.4080531,0.4080531,0.4080531
0.2,0.3962724,0.3962724,0.3962724,0.3962724
0.22,0.3591075,0.3591075,0.3591075,0.3591075
