
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 236
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 236, -, 1.0, -, 2.8, 6.3, 0.4, "Mammoth Lakes-03", 1980, "Convict Creek", 5.91, strike slip, 2.67, 12.43, 382.12, 0.0875, 1.0, RSN236_MAMMOTH.AH_A-CVK090.AT2, RSN236_MAMMOTH.AH_A-CVK180.AT2 , RSN236_MAMMOTH.AH_A-CVK-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-236 RotD50 pSa (g)
0.01,0.211504,0.211504,0.211504,0.211504
0.02,0.215853,0.215853,0.215853,0.215853
0.022,0.2137748,0.2137748,0.2137748,0.2137748
0.025,0.2208518,0.2208518,0.2208518,0.2208518
0.029,0.2299819,0.2299819,0.2299819,0.2299819
0.03,0.2324587,0.2324587,0.2324587,0.2324587
0.032,0.2258513,0.2258513,0.2258513,0.2258513
0.035,0.2386696,0.2386696,0.2386696,0.2386696
0.036,0.2427112,0.2427112,0.2427112,0.2427112
0.04,0.2433301,0.2433301,0.2433301,0.2433301
0.042,0.2526824,0.2526824,0.2526824,0.2526824
0.044,0.2552609,0.2552609,0.2552609,0.2552609
0.045,0.2633872,0.2633872,0.2633872,0.2633872
0.046,0.267824,0.267824,0.267824,0.267824
0.048,0.2916532,0.2916532,0.2916532,0.2916532
0.05,0.2817335,0.2817335,0.2817335,0.2817335
0.055,0.3456459,0.3456459,0.3456459,0.3456459
0.06,0.3495234,0.3495234,0.3495234,0.3495234
0.065,0.3417302,0.3417302,0.3417302,0.3417302
0.067,0.3648341,0.3648341,0.3648341,0.3648341
0.07,0.3916307,0.3916307,0.3916307,0.3916307
0.075,0.4459718,0.4459718,0.4459718,0.4459718
0.08,0.4636694,0.4636694,0.4636694,0.4636694
0.085,0.435601,0.435601,0.435601,0.435601
0.09,0.4098798,0.4098798,0.4098798,0.4098798
0.095,0.4321539,0.4321539,0.4321539,0.4321539
0.1,0.450751,0.450751,0.450751,0.450751
0.11,0.4050024,0.4050024,0.4050024,0.4050024
0.12,0.4685635,0.4685635,0.4685635,0.4685635
0.13,0.5448735,0.5448735,0.5448735,0.5448735
0.133,0.5361475,0.5361475,0.5361475,0.5361475
0.14,0.5922853,0.5922853,0.5922853,0.5922853
0.15,0.6624094,0.6624094,0.6624094,0.6624094
0.16,0.7215311,0.7215311,0.7215311,0.7215311
0.17,0.6785682,0.6785682,0.6785682,0.6785682
0.18,0.5853903,0.5853903,0.5853903,0.5853903
0.19,0.5875959,0.5875959,0.5875959,0.5875959
0.2,0.5763471,0.5763471,0.5763471,0.5763471
0.22,0.5645286,0.5645286,0.5645286,0.5645286
0.24,0.4438381,0.4438381,0.4438381,0.4438381
