
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 240
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 240, -, 1.0, -, 2.5, 3.7, 1.0, "Mammoth Lakes-04", 1980, "Convict Creek", 5.7, strike slip, 1.37, 5.32, 382.12, 0.25, 1.0, RSN240_MAMMOTH.AH_B-CVK090.AT2, RSN240_MAMMOTH.AH_B-CVK180.AT2 , RSN240_MAMMOTH.AH_B-CVK-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-240 RotD50 pSa (g)
0.01,0.4905091,0.4905091,0.4905091,0.4905091
0.02,0.496172,0.496172,0.496172,0.496172
0.022,0.5107713,0.5107713,0.5107713,0.5107713
0.025,0.5364589,0.5364589,0.5364589,0.5364589
0.029,0.6477181,0.6477181,0.6477181,0.6477181
0.03,0.6663715,0.6663715,0.6663715,0.6663715
0.032,0.6746887,0.6746887,0.6746887,0.6746887
0.035,0.720498,0.720498,0.720498,0.720498
0.036,0.7070687,0.7070687,0.7070687,0.7070687
0.04,0.6840962,0.6840962,0.6840962,0.6840962
0.042,0.6790283,0.6790283,0.6790283,0.6790283
0.044,0.6647677,0.6647677,0.6647677,0.6647677
0.045,0.6619582,0.6619582,0.6619582,0.6619582
0.046,0.655295,0.655295,0.655295,0.655295
0.048,0.6473364,0.6473364,0.6473364,0.6473364
0.05,0.6357866,0.6357866,0.6357866,0.6357866
0.055,0.6812283,0.6812283,0.6812283,0.6812283
0.06,0.7841142,0.7841142,0.7841142,0.7841142
0.065,0.8063602,0.8063602,0.8063602,0.8063602
0.067,0.8292452,0.8292452,0.8292452,0.8292452
0.07,0.8425632,0.8425632,0.8425632,0.8425632
0.075,0.8467065,0.8467065,0.8467065,0.8467065
0.08,1.024947,1.024947,1.024947,1.024947
0.085,1.112681,1.112681,1.112681,1.112681
0.09,1.236927,1.236927,1.236927,1.236927
0.095,1.271696,1.271696,1.271696,1.271696
0.1,1.135888,1.135888,1.135888,1.135888
0.11,1.085715,1.085715,1.085715,1.085715
0.12,1.278836,1.278836,1.278836,1.278836
0.13,1.513912,1.513912,1.513912,1.513912
0.133,1.558288,1.558288,1.558288,1.558288
0.14,1.520956,1.520956,1.520956,1.520956
0.15,1.536068,1.536068,1.536068,1.536068
0.16,1.379932,1.379932,1.379932,1.379932
0.17,1.132608,1.132608,1.132608,1.132608
0.18,1.023647,1.023647,1.023647,1.023647
0.19,0.9744551,0.9744551,0.9744551,0.9744551
0.2,0.9626551,0.9626551,0.9626551,0.9626551
0.22,0.8405946,0.8405946,0.8405946,0.8405946
0.24,0.7020488,0.7020488,0.7020488,0.7020488
0.25,0.6958484,0.6958484,0.6958484,0.6958484
0.26,0.7778072,0.7778072,0.7778072,0.7778072
0.28,0.7856241,0.7856241,0.7856241,0.7856241
0.29,0.8192883,0.8192883,0.8192883,0.8192883
0.3,0.8583007,0.8583007,0.8583007,0.8583007
0.32,0.7882333,0.7882333,0.7882333,0.7882333
0.34,0.643216,0.643216,0.643216,0.643216
0.35,0.5609098,0.5609098,0.5609098,0.5609098
0.36,0.4917714,0.4917714,0.4917714,0.4917714
0.38,0.3965203,0.3965203,0.3965203,0.3965203
0.4,0.352764,0.352764,0.352764,0.352764
0.42,0.3263963,0.3263963,0.3263963,0.3263963
0.44,0.3060457,0.3060457,0.3060457,0.3060457
0.45,0.3051924,0.3051924,0.3051924,0.3051924
0.46,0.2998247,0.2998247,0.2998247,0.2998247
0.48,0.2844246,0.2844246,0.2844246,0.2844246
0.5,0.2820214,0.2820214,0.2820214,0.2820214
0.55,0.3167724,0.3167724,0.3167724,0.3167724
0.6,0.3081523,0.3081523,0.3081523,0.3081523
0.65,0.2515467,0.2515467,0.2515467,0.2515467
0.667,0.2247378,0.2247378,0.2247378,0.2247378
0.7,0.1849295,0.1849295,0.1849295,0.1849295
0.75,0.1462738,0.1462738,0.1462738,0.1462738
0.8,0.132216,0.132216,0.132216,0.132216
0.85,0.1249714,0.1249714,0.1249714,0.1249714
0.9,0.1269237,0.1269237,0.1269237,0.1269237
0.95,0.115193,0.115193,0.115193,0.115193
1.0,0.1172838,0.1172838,0.1172838,0.1172838
1.1,0.1083127,0.1083127,0.1083127,0.1083127
1.2,0.09850305,0.09850305,0.09850305,0.09850305
1.3,0.08764954,0.08764954,0.08764954,0.08764954
1.4,0.08371593,0.08371593,0.08371593,0.08371593
1.5,0.06577157,0.06577157,0.06577157,0.06577157
1.6,0.05332847,0.05332847,0.05332847,0.05332847
