
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 244
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 244, -, 1.0, -, 1.7, 7.5, 0.1, "Mammoth Lakes-05", 1980, "Convict Creek", 5.7, strike slip, 6.06, 7.33, 382.12, 0.25, 1.0, RSN244_MAMMOTH.K_K-CVK090.AT2, RSN244_MAMMOTH.K_K-CVK180.AT2 , RSN244_MAMMOTH.K_K-CVK-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-244 RotD50 pSa (g)
0.01,0.125504,0.125504,0.125504,0.125504
0.02,0.1271813,0.1271813,0.1271813,0.1271813
0.022,0.1277632,0.1277632,0.1277632,0.1277632
0.025,0.1293926,0.1293926,0.1293926,0.1293926
0.029,0.1326085,0.1326085,0.1326085,0.1326085
0.03,0.1335367,0.1335367,0.1335367,0.1335367
0.032,0.1344855,0.1344855,0.1344855,0.1344855
0.035,0.1374369,0.1374369,0.1374369,0.1374369
0.036,0.1391782,0.1391782,0.1391782,0.1391782
0.04,0.1480102,0.1480102,0.1480102,0.1480102
0.042,0.167473,0.167473,0.167473,0.167473
0.044,0.1923622,0.1923622,0.1923622,0.1923622
0.045,0.2020252,0.2020252,0.2020252,0.2020252
0.046,0.2056041,0.2056041,0.2056041,0.2056041
0.048,0.2033393,0.2033393,0.2033393,0.2033393
0.05,0.2070973,0.2070973,0.2070973,0.2070973
0.055,0.2111264,0.2111264,0.2111264,0.2111264
0.06,0.1777346,0.1777346,0.1777346,0.1777346
0.065,0.1612582,0.1612582,0.1612582,0.1612582
0.067,0.1512418,0.1512418,0.1512418,0.1512418
0.07,0.1509773,0.1509773,0.1509773,0.1509773
0.075,0.1655861,0.1655861,0.1655861,0.1655861
0.08,0.1603265,0.1603265,0.1603265,0.1603265
0.085,0.1876386,0.1876386,0.1876386,0.1876386
0.09,0.2201549,0.2201549,0.2201549,0.2201549
0.095,0.2380405,0.2380405,0.2380405,0.2380405
0.1,0.2514915,0.2514915,0.2514915,0.2514915
0.11,0.2367526,0.2367526,0.2367526,0.2367526
0.12,0.2042889,0.2042889,0.2042889,0.2042889
0.13,0.1880316,0.1880316,0.1880316,0.1880316
0.133,0.1965011,0.1965011,0.1965011,0.1965011
0.14,0.2098449,0.2098449,0.2098449,0.2098449
0.15,0.2198773,0.2198773,0.2198773,0.2198773
0.16,0.2235855,0.2235855,0.2235855,0.2235855
0.17,0.2200129,0.2200129,0.2200129,0.2200129
0.18,0.2178903,0.2178903,0.2178903,0.2178903
0.19,0.227781,0.227781,0.227781,0.227781
0.2,0.2286265,0.2286265,0.2286265,0.2286265
0.22,0.2077284,0.2077284,0.2077284,0.2077284
0.24,0.1994127,0.1994127,0.1994127,0.1994127
0.25,0.2018038,0.2018038,0.2018038,0.2018038
0.26,0.2070794,0.2070794,0.2070794,0.2070794
0.28,0.2243087,0.2243087,0.2243087,0.2243087
0.29,0.2287283,0.2287283,0.2287283,0.2287283
0.3,0.2247056,0.2247056,0.2247056,0.2247056
0.32,0.2207696,0.2207696,0.2207696,0.2207696
0.34,0.2093092,0.2093092,0.2093092,0.2093092
0.35,0.2029593,0.2029593,0.2029593,0.2029593
0.36,0.1949651,0.1949651,0.1949651,0.1949651
0.38,0.1901449,0.1901449,0.1901449,0.1901449
0.4,0.1868511,0.1868511,0.1868511,0.1868511
0.42,0.1806805,0.1806805,0.1806805,0.1806805
0.44,0.1732505,0.1732505,0.1732505,0.1732505
0.45,0.1693867,0.1693867,0.1693867,0.1693867
0.46,0.1653365,0.1653365,0.1653365,0.1653365
0.48,0.1571159,0.1571159,0.1571159,0.1571159
0.5,0.1506557,0.1506557,0.1506557,0.1506557
0.55,0.1477007,0.1477007,0.1477007,0.1477007
0.6,0.1392835,0.1392835,0.1392835,0.1392835
0.65,0.1197416,0.1197416,0.1197416,0.1197416
0.667,0.111889,0.111889,0.111889,0.111889
0.7,0.09679551,0.09679551,0.09679551,0.09679551
0.75,0.08424567,0.08424567,0.08424567,0.08424567
0.8,0.08224056,0.08224056,0.08224056,0.08224056
0.85,0.07180537,0.07180537,0.07180537,0.07180537
0.9,0.06506035,0.06506035,0.06506035,0.06506035
0.95,0.05495864,0.05495864,0.05495864,0.05495864
1.0,0.04566203,0.04566203,0.04566203,0.04566203
1.1,0.03152297,0.03152297,0.03152297,0.03152297
1.2,0.02487287,0.02487287,0.02487287,0.02487287
1.3,0.02045801,0.02045801,0.02045801,0.02045801
