
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 246
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 246, -, 1.0, -, 3.7, 12.6, 0.1, "Mammoth Lakes-06", 1980, "Benton", 5.94, strike slip, 41.75, 44.21, 370.94, 0.2875, 1.0, RSN246_MAMMOTH.L_L-BEN270.AT2, RSN246_MAMMOTH.L_L-BEN360.AT2 , RSN246_MAMMOTH.L_L-BEN-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-246 RotD50 pSa (g)
0.01,0.1368814,0.1368814,0.1368814,0.1368814
0.02,0.1389238,0.1389238,0.1389238,0.1389238
0.022,0.1409579,0.1409579,0.1409579,0.1409579
0.025,0.1387979,0.1387979,0.1387979,0.1387979
0.029,0.1488743,0.1488743,0.1488743,0.1488743
0.03,0.1503978,0.1503978,0.1503978,0.1503978
0.032,0.1557004,0.1557004,0.1557004,0.1557004
0.035,0.1547471,0.1547471,0.1547471,0.1547471
0.036,0.1548937,0.1548937,0.1548937,0.1548937
0.04,0.163881,0.163881,0.163881,0.163881
0.042,0.1598919,0.1598919,0.1598919,0.1598919
0.044,0.1688245,0.1688245,0.1688245,0.1688245
0.045,0.1725867,0.1725867,0.1725867,0.1725867
0.046,0.1751171,0.1751171,0.1751171,0.1751171
0.048,0.171462,0.171462,0.171462,0.171462
0.05,0.1725843,0.1725843,0.1725843,0.1725843
0.055,0.179922,0.179922,0.179922,0.179922
0.06,0.1939634,0.1939634,0.1939634,0.1939634
0.065,0.2085145,0.2085145,0.2085145,0.2085145
0.067,0.2059416,0.2059416,0.2059416,0.2059416
0.07,0.2165657,0.2165657,0.2165657,0.2165657
0.075,0.246001,0.246001,0.246001,0.246001
0.08,0.276412,0.276412,0.276412,0.276412
0.085,0.3160955,0.3160955,0.3160955,0.3160955
0.09,0.3558801,0.3558801,0.3558801,0.3558801
0.095,0.3871025,0.3871025,0.3871025,0.3871025
0.1,0.4174503,0.4174503,0.4174503,0.4174503
0.11,0.3919403,0.3919403,0.3919403,0.3919403
0.12,0.3416592,0.3416592,0.3416592,0.3416592
0.13,0.2889474,0.2889474,0.2889474,0.2889474
0.133,0.2753083,0.2753083,0.2753083,0.2753083
0.14,0.2808308,0.2808308,0.2808308,0.2808308
0.15,0.3228561,0.3228561,0.3228561,0.3228561
0.16,0.3767044,0.3767044,0.3767044,0.3767044
0.17,0.392084,0.392084,0.392084,0.392084
0.18,0.4172927,0.4172927,0.4172927,0.4172927
0.19,0.4625574,0.4625574,0.4625574,0.4625574
0.2,0.46808,0.46808,0.46808,0.46808
0.22,0.4403911,0.4403911,0.4403911,0.4403911
0.24,0.3794585,0.3794585,0.3794585,0.3794585
