
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 251
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 251, -, 1.0, -, 1.8, 6.1, 0.0, "Mammoth Lakes-07", 1980, "Fish & Game (FIS)", 4.73, strike slip, 3.33, 5.46, 373.18, 0.2875, 1.0, RSN251_MAMMOTH.AH_C-FIS000.AT2, RSN251_MAMMOTH.AH_C-FIS090.AT2 , RSN251_MAMMOTH.AH_C-FIS-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-251 RotD50 pSa (g)
0.01,0.102233,0.102233,0.102233,0.102233
0.02,0.1034085,0.1034085,0.1034085,0.1034085
0.022,0.1040353,0.1040353,0.1040353,0.1040353
0.025,0.1044735,0.1044735,0.1044735,0.1044735
0.029,0.1060567,0.1060567,0.1060567,0.1060567
0.03,0.106907,0.106907,0.106907,0.106907
0.032,0.1072244,0.1072244,0.1072244,0.1072244
0.035,0.1068323,0.1068323,0.1068323,0.1068323
0.036,0.106664,0.106664,0.106664,0.106664
0.04,0.1163797,0.1163797,0.1163797,0.1163797
0.042,0.1154409,0.1154409,0.1154409,0.1154409
0.044,0.1130437,0.1130437,0.1130437,0.1130437
0.045,0.1129116,0.1129116,0.1129116,0.1129116
0.046,0.112125,0.112125,0.112125,0.112125
0.048,0.1114727,0.1114727,0.1114727,0.1114727
0.05,0.1173721,0.1173721,0.1173721,0.1173721
0.055,0.123035,0.123035,0.123035,0.123035
0.06,0.1307355,0.1307355,0.1307355,0.1307355
0.065,0.1639581,0.1639581,0.1639581,0.1639581
0.067,0.1729016,0.1729016,0.1729016,0.1729016
0.07,0.1826201,0.1826201,0.1826201,0.1826201
0.075,0.2082523,0.2082523,0.2082523,0.2082523
0.08,0.1998877,0.1998877,0.1998877,0.1998877
0.085,0.1795594,0.1795594,0.1795594,0.1795594
0.09,0.1570736,0.1570736,0.1570736,0.1570736
0.095,0.1429344,0.1429344,0.1429344,0.1429344
0.1,0.1747278,0.1747278,0.1747278,0.1747278
0.11,0.1919891,0.1919891,0.1919891,0.1919891
0.12,0.1702038,0.1702038,0.1702038,0.1702038
0.13,0.1566362,0.1566362,0.1566362,0.1566362
0.133,0.1516671,0.1516671,0.1516671,0.1516671
0.14,0.1537466,0.1537466,0.1537466,0.1537466
0.15,0.1606209,0.1606209,0.1606209,0.1606209
0.16,0.150874,0.150874,0.150874,0.150874
0.17,0.1647275,0.1647275,0.1647275,0.1647275
0.18,0.1772714,0.1772714,0.1772714,0.1772714
0.19,0.1787393,0.1787393,0.1787393,0.1787393
0.2,0.1960671,0.1960671,0.1960671,0.1960671
0.22,0.2066737,0.2066737,0.2066737,0.2066737
0.24,0.184558,0.184558,0.184558,0.184558
