
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 257
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 257, -, 1.0, -, 3.5, 10.9, 0.1, "Mammoth Lakes-08", 1980, "Cashbaugh (CBR)", 4.8, strike slip, 8.66, 9.64, 337.6, 0.1875, 1.0, RSN257_MAMMOTH.AH_D-CBR000.AT2, RSN257_MAMMOTH.AH_D-CBR090.AT2 , RSN257_MAMMOTH.AH_D-CBR-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-257 RotD50 pSa (g)
0.01,0.1172401,0.1172401,0.1172401,0.1172401
0.02,0.1181143,0.1181143,0.1181143,0.1181143
0.022,0.1204443,0.1204443,0.1204443,0.1204443
0.025,0.1223209,0.1223209,0.1223209,0.1223209
0.029,0.1253237,0.1253237,0.1253237,0.1253237
0.03,0.1270879,0.1270879,0.1270879,0.1270879
0.032,0.1301188,0.1301188,0.1301188,0.1301188
0.035,0.1339646,0.1339646,0.1339646,0.1339646
0.036,0.1340867,0.1340867,0.1340867,0.1340867
0.04,0.1365398,0.1365398,0.1365398,0.1365398
0.042,0.1476954,0.1476954,0.1476954,0.1476954
0.044,0.1484209,0.1484209,0.1484209,0.1484209
0.045,0.1459528,0.1459528,0.1459528,0.1459528
0.046,0.1464169,0.1464169,0.1464169,0.1464169
0.048,0.1530535,0.1530535,0.1530535,0.1530535
0.05,0.1567879,0.1567879,0.1567879,0.1567879
0.055,0.1657314,0.1657314,0.1657314,0.1657314
0.06,0.1774496,0.1774496,0.1774496,0.1774496
0.065,0.1932882,0.1932882,0.1932882,0.1932882
0.067,0.1936913,0.1936913,0.1936913,0.1936913
0.07,0.1914518,0.1914518,0.1914518,0.1914518
0.075,0.1835098,0.1835098,0.1835098,0.1835098
0.08,0.185947,0.185947,0.185947,0.185947
0.085,0.196697,0.196697,0.196697,0.196697
0.09,0.2032424,0.2032424,0.2032424,0.2032424
0.095,0.2519198,0.2519198,0.2519198,0.2519198
0.1,0.2557611,0.2557611,0.2557611,0.2557611
0.11,0.2336984,0.2336984,0.2336984,0.2336984
0.12,0.2315134,0.2315134,0.2315134,0.2315134
0.13,0.2383223,0.2383223,0.2383223,0.2383223
0.133,0.2371685,0.2371685,0.2371685,0.2371685
0.14,0.2317224,0.2317224,0.2317224,0.2317224
0.15,0.2288208,0.2288208,0.2288208,0.2288208
0.16,0.2507148,0.2507148,0.2507148,0.2507148
0.17,0.2626201,0.2626201,0.2626201,0.2626201
0.18,0.263665,0.263665,0.263665,0.263665
0.19,0.2485548,0.2485548,0.2485548,0.2485548
0.2,0.2613268,0.2613268,0.2613268,0.2613268
0.22,0.3246281,0.3246281,0.3246281,0.3246281
0.24,0.3213292,0.3213292,0.3213292,0.3213292
