
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 270
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 270, -, 1.0, -, 1.0, 3.2, 0.1, "Mammoth Lakes-09", 1980, "Convict Lakes (CON)", 4.85, strike slip, 4.83, 7.94, 472.2, 1.0, 1.0, RSN270_MAMMOTH.AH_H-CON180.AT2, RSN270_MAMMOTH.AH_H-CON270.AT2 , RSN270_MAMMOTH.AH_H-CONDWN.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-270 RotD50 pSa (g)
0.01,0.1761776,0.1761776,0.1761776,0.1761776
0.02,0.2362013,0.2362013,0.2362013,0.2362013
0.022,0.2377435,0.2377435,0.2377435,0.2377435
0.025,0.2442547,0.2442547,0.2442547,0.2442547
0.029,0.3202304,0.3202304,0.3202304,0.3202304
0.03,0.3103305,0.3103305,0.3103305,0.3103305
0.032,0.3550895,0.3550895,0.3550895,0.3550895
0.035,0.4270667,0.4270667,0.4270667,0.4270667
0.036,0.4281561,0.4281561,0.4281561,0.4281561
0.04,0.5353196,0.5353196,0.5353196,0.5353196
0.042,0.5744531,0.5744531,0.5744531,0.5744531
0.044,0.5869476,0.5869476,0.5869476,0.5869476
0.045,0.5909681,0.5909681,0.5909681,0.5909681
0.046,0.5571693,0.5571693,0.5571693,0.5571693
0.048,0.5396051,0.5396051,0.5396051,0.5396051
0.05,0.5490865,0.5490865,0.5490865,0.5490865
0.055,0.6004696,0.6004696,0.6004696,0.6004696
0.06,0.5850415,0.5850415,0.5850415,0.5850415
0.065,0.577054,0.577054,0.577054,0.577054
0.067,0.5631503,0.5631503,0.5631503,0.5631503
0.07,0.4941536,0.4941536,0.4941536,0.4941536
0.075,0.4466175,0.4466175,0.4466175,0.4466175
0.08,0.4191262,0.4191262,0.4191262,0.4191262
0.085,0.3984657,0.3984657,0.3984657,0.3984657
0.09,0.4041,0.4041,0.4041,0.4041
0.095,0.4073519,0.4073519,0.4073519,0.4073519
0.1,0.4045012,0.4045012,0.4045012,0.4045012
0.11,0.3332317,0.3332317,0.3332317,0.3332317
0.12,0.2795135,0.2795135,0.2795135,0.2795135
0.13,0.2536471,0.2536471,0.2536471,0.2536471
0.133,0.250583,0.250583,0.250583,0.250583
0.14,0.257303,0.257303,0.257303,0.257303
0.15,0.2317394,0.2317394,0.2317394,0.2317394
0.16,0.2236615,0.2236615,0.2236615,0.2236615
0.17,0.2005876,0.2005876,0.2005876,0.2005876
0.18,0.1675557,0.1675557,0.1675557,0.1675557
0.19,0.136707,0.136707,0.136707,0.136707
0.2,0.1180222,0.1180222,0.1180222,0.1180222
0.22,0.1056906,0.1056906,0.1056906,0.1056906
0.24,0.09517236,0.09517236,0.09517236,0.09517236
