
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 314 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 314, -, 1.0, -, 3.6, 8.8, 0.3, "Westmorland", 1981, "Brawley Airport", 5.9, strike slip, 15.28, 15.41, 208.71, 0.625, 1.0, RSN314_WESMORL_BRA225.AT2, RSN314_WESMORL_BRA315.AT2 , RSN314_WESMORL_BRA-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-314 RotD50 pSa (g)
0.01,0.1606421,0.1606421,0.1606421,0.1606421
0.02,0.1639823,0.1639823,0.1639823,0.1639823
0.022,0.1652336,0.1652336,0.1652336,0.1652336
0.025,0.1717259,0.1717259,0.1717259,0.1717259
0.029,0.1867598,0.1867598,0.1867598,0.1867598
0.03,0.1949448,0.1949448,0.1949448,0.1949448
0.032,0.2052112,0.2052112,0.2052112,0.2052112
0.035,0.2231173,0.2231173,0.2231173,0.2231173
0.036,0.2219939,0.2219939,0.2219939,0.2219939
0.04,0.2303015,0.2303015,0.2303015,0.2303015
0.042,0.2247492,0.2247492,0.2247492,0.2247492
0.044,0.2169695,0.2169695,0.2169695,0.2169695
0.045,0.2216986,0.2216986,0.2216986,0.2216986
0.046,0.2280016,0.2280016,0.2280016,0.2280016
0.048,0.2352921,0.2352921,0.2352921,0.2352921
0.05,0.2500201,0.2500201,0.2500201,0.2500201
0.055,0.2597762,0.2597762,0.2597762,0.2597762
0.06,0.2946465,0.2946465,0.2946465,0.2946465
0.065,0.2651179,0.2651179,0.2651179,0.2651179
0.067,0.2706681,0.2706681,0.2706681,0.2706681
0.07,0.2993811,0.2993811,0.2993811,0.2993811
0.075,0.3499443,0.3499443,0.3499443,0.3499443
0.08,0.3977403,0.3977403,0.3977403,0.3977403
0.085,0.4460801,0.4460801,0.4460801,0.4460801
0.09,0.4566991,0.4566991,0.4566991,0.4566991
0.095,0.4557713,0.4557713,0.4557713,0.4557713
0.1,0.4525311,0.4525311,0.4525311,0.4525311
0.11,0.4728412,0.4728412,0.4728412,0.4728412
0.12,0.55696,0.55696,0.55696,0.55696
0.13,0.6605557,0.6605557,0.6605557,0.6605557
0.133,0.6627641,0.6627641,0.6627641,0.6627641
0.14,0.6542283,0.6542283,0.6542283,0.6542283
0.15,0.5622831,0.5622831,0.5622831,0.5622831
0.16,0.5322061,0.5322061,0.5322061,0.5322061
0.17,0.5038523,0.5038523,0.5038523,0.5038523
0.18,0.4191436,0.4191436,0.4191436,0.4191436
0.19,0.341244,0.341244,0.341244,0.341244
0.2,0.3126073,0.3126073,0.3126073,0.3126073
