
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 320
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 320, -, 1.0, -, 2.8, 8.2, 0.2, "Mammoth Lakes-10", 1983, "Convict Creek", 5.34, strike slip, 6.5, 6.5, 382.12, 0.1625, 1.0, RSN320_MAMMOTH.AH_F-CVK090.AT2, RSN320_MAMMOTH.AH_F-CVK180.AT2 , RSN320_MAMMOTH.AH_F-CVK-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-320 RotD50 pSa (g)
0.01,0.1651965,0.1651965,0.1651965,0.1651965
0.02,0.1671593,0.1671593,0.1671593,0.1671593
0.022,0.1682138,0.1682138,0.1682138,0.1682138
0.025,0.1697243,0.1697243,0.1697243,0.1697243
0.029,0.1708436,0.1708436,0.1708436,0.1708436
0.03,0.1707656,0.1707656,0.1707656,0.1707656
0.032,0.1715271,0.1715271,0.1715271,0.1715271
0.035,0.1751684,0.1751684,0.1751684,0.1751684
0.036,0.1745821,0.1745821,0.1745821,0.1745821
0.04,0.1908086,0.1908086,0.1908086,0.1908086
0.042,0.1858791,0.1858791,0.1858791,0.1858791
0.044,0.1933905,0.1933905,0.1933905,0.1933905
0.045,0.1933877,0.1933877,0.1933877,0.1933877
0.046,0.1920002,0.1920002,0.1920002,0.1920002
0.048,0.2071566,0.2071566,0.2071566,0.2071566
0.05,0.2127624,0.2127624,0.2127624,0.2127624
0.055,0.2604689,0.2604689,0.2604689,0.2604689
0.06,0.3010446,0.3010446,0.3010446,0.3010446
0.065,0.325524,0.325524,0.325524,0.325524
0.067,0.3188687,0.3188687,0.3188687,0.3188687
0.07,0.32833,0.32833,0.32833,0.32833
0.075,0.3733973,0.3733973,0.3733973,0.3733973
0.08,0.3758956,0.3758956,0.3758956,0.3758956
0.085,0.3586259,0.3586259,0.3586259,0.3586259
0.09,0.3525698,0.3525698,0.3525698,0.3525698
0.095,0.3171003,0.3171003,0.3171003,0.3171003
0.1,0.3182278,0.3182278,0.3182278,0.3182278
0.11,0.336461,0.336461,0.336461,0.336461
0.12,0.2881047,0.2881047,0.2881047,0.2881047
0.13,0.3152284,0.3152284,0.3152284,0.3152284
0.133,0.3288815,0.3288815,0.3288815,0.3288815
0.14,0.3420348,0.3420348,0.3420348,0.3420348
0.15,0.4117298,0.4117298,0.4117298,0.4117298
0.16,0.3550678,0.3550678,0.3550678,0.3550678
0.17,0.3373849,0.3373849,0.3373849,0.3373849
0.18,0.3446042,0.3446042,0.3446042,0.3446042
0.19,0.348156,0.348156,0.348156,0.348156
0.2,0.3391402,0.3391402,0.3391402,0.3391402
0.22,0.3688602,0.3688602,0.3688602,0.3688602
0.24,0.3873579,0.3873579,0.3873579,0.3873579
0.25,0.4021946,0.4021946,0.4021946,0.4021946
0.26,0.4036286,0.4036286,0.4036286,0.4036286
0.28,0.3635118,0.3635118,0.3635118,0.3635118
0.29,0.3490917,0.3490917,0.3490917,0.3490917
0.3,0.3277188,0.3277188,0.3277188,0.3277188
0.32,0.3362205,0.3362205,0.3362205,0.3362205
0.34,0.3135138,0.3135138,0.3135138,0.3135138
0.35,0.28982,0.28982,0.28982,0.28982
0.36,0.2646719,0.2646719,0.2646719,0.2646719
0.38,0.2544696,0.2544696,0.2544696,0.2544696
0.4,0.2755215,0.2755215,0.2755215,0.2755215
0.42,0.3034701,0.3034701,0.3034701,0.3034701
0.44,0.3291685,0.3291685,0.3291685,0.3291685
0.45,0.3400048,0.3400048,0.3400048,0.3400048
0.46,0.3492701,0.3492701,0.3492701,0.3492701
0.48,0.3626747,0.3626747,0.3626747,0.3626747
0.5,0.3700964,0.3700964,0.3700964,0.3700964
0.55,0.3713755,0.3713755,0.3713755,0.3713755
0.6,0.3609154,0.3609154,0.3609154,0.3609154
0.65,0.3583854,0.3583854,0.3583854,0.3583854
0.667,0.352082,0.352082,0.352082,0.352082
0.7,0.3331977,0.3331977,0.3331977,0.3331977
0.75,0.2936111,0.2936111,0.2936111,0.2936111
0.8,0.2542582,0.2542582,0.2542582,0.2542582
0.85,0.2285257,0.2285257,0.2285257,0.2285257
0.9,0.2084707,0.2084707,0.2084707,0.2084707
0.95,0.1913228,0.1913228,0.1913228,0.1913228
1.0,0.1811073,0.1811073,0.1811073,0.1811073
1.1,0.1538161,0.1538161,0.1538161,0.1538161
1.2,0.144463,0.144463,0.144463,0.144463
1.3,0.126611,0.126611,0.126611,0.126611
1.4,0.1025356,0.1025356,0.1025356,0.1025356
1.5,0.08564816,0.08564816,0.08564816,0.08564816
1.6,0.07668686,0.07668686,0.07668686,0.07668686
1.7,0.07154692,0.07154692,0.07154692,0.07154692
1.8,0.06206857,0.06206857,0.06206857,0.06206857
1.9,0.05225118,0.05225118,0.05225118,0.05225118
2.0,0.04548929,0.04548929,0.04548929,0.04548929
2.2,0.03561307,0.03561307,0.03561307,0.03561307
2.4,0.0292685,0.0292685,0.0292685,0.0292685
2.5,0.02671383,0.02671383,0.02671383,0.02671383
2.6,0.02486759,0.02486759,0.02486759,0.02486759
2.8,0.0215809,0.0215809,0.0215809,0.0215809
3.0,0.01869875,0.01869875,0.01869875,0.01869875
3.2,0.01621245,0.01621245,0.01621245,0.01621245
3.4,0.01405449,0.01405449,0.01405449,0.01405449
3.5,0.01306709,0.01306709,0.01306709,0.01306709
3.6,0.01215947,0.01215947,0.01215947,0.01215947
3.8,0.01084176,0.01084176,0.01084176,0.01084176
4.0,0.0098513,0.0098513,0.0098513,0.0098513
4.2,0.00897782,0.00897782,0.00897782,0.00897782
4.4,0.0082114,0.0082114,0.0082114,0.0082114
4.6,0.00753639,0.00753639,0.00753639,0.00753639
4.8,0.00694019,0.00694019,0.00694019,0.00694019
5.0,0.00641173,0.00641173,0.00641173,0.00641173
5.5,0.00532072,0.00532072,0.00532072,0.00532072
6.0,0.00448226,0.00448226,0.00448226,0.00448226
6.5,0.00382401,0.00382401,0.00382401,0.00382401
7.0,0.0032982,0.0032982,0.0032982,0.0032982
7.5,0.00287271,0.00287271,0.00287271,0.00287271
8.0,0.00252413,0.00252413,0.00252413,0.00252413
8.5,0.00223516,0.00223516,0.00223516,0.00223516
9.0,0.00199287,0.00199287,0.00199287,0.00199287
9.5,0.00178748,0.00178748,0.00178748,0.00178748
10.0,0.00161284,0.00161284,0.00161284,0.00161284
11.0,0.00133173,0.00133173,0.00133173,0.00133173
12.0,0.001118,0.001118,0.001118,0.001118
13.0,0.00095241,0.00095241,0.00095241,0.00095241
14.0,0.00082104,0.00082104,0.00082104,0.00082104
15.0,0.00071461,0.00071461,0.00071461,0.00071461
20.0,0.00040153,0.00040153,0.00040153,0.00040153

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-320 Horizontal-1 pSa (g),RSN-320 Horizontal-2 pSa (g),RSN-320 Vertical pSa (g)
0.01,0.1623514,0.1518243,0.0995
0.02,0.1638152,0.1554544,0.1
0.022,0.1641196,0.1554355,0.102
0.025,0.1666207,0.1571723,0.124
0.029,0.1678804,0.1589647,0.165
0.03,0.1677546,0.1588283,0.182
0.032,0.1655315,0.1601884,0.165
0.035,0.1626448,0.1663073,0.158
0.036,0.167322,0.1702228,0.168
0.04,0.1727845,0.2156725,0.184
0.042,0.165231,0.2046202,0.182
0.044,0.1716401,0.2110925,0.185
0.045,0.1750561,0.2080702,0.2
0.046,0.1783629,0.196028,0.216
0.048,0.1813115,0.2338998,0.211
0.05,0.1716461,0.2629581,0.203
0.055,0.1939877,0.3379192,0.201
0.06,0.2312262,0.3580252,0.173
0.065,0.2767224,0.3679927,0.16
0.067,0.2892897,0.3475621,0.171
0.07,0.2966818,0.3604088,0.16
0.075,0.287652,0.4465725,0.154
0.08,0.2709033,0.463564,0.136
0.085,0.2791668,0.443953,0.148
0.09,0.3019397,0.3845082,0.181
0.095,0.2996607,0.3343831,0.22
0.1,0.278191,0.3645861,0.2
0.11,0.2955395,0.3703619,0.143
0.12,0.2990023,0.2649162,0.134
0.13,0.3422141,0.2754093,0.162
0.133,0.3457429,0.2931502,0.157
0.14,0.3206884,0.3570927,0.165
0.15,0.3612521,0.4552043,0.172
0.16,0.2812792,0.431081,0.189
0.17,0.2536268,0.410143,0.194
0.18,0.2447308,0.4073752,0.158
0.19,0.2594203,0.3804343,0.149
0.2,0.2751544,0.3389977,0.153
0.22,0.3635612,0.3705864,0.191
0.24,0.3842915,0.3896145,0.226
0.25,0.3876201,0.4221814,0.232
0.26,0.3737759,0.4308987,0.222
0.28,0.3270723,0.3764571,0.201
0.29,0.3089356,0.3658568,0.222
0.3,0.298449,0.3606478,0.232
0.32,0.3343958,0.3407027,0.212
0.34,0.3128057,0.3142219,0.159
0.35,0.2855832,0.3005471,0.143
0.36,0.2554033,0.2877261,0.144
0.38,0.2527222,0.2678277,0.144
0.4,0.2800369,0.2578996,0.139
0.42,0.3201525,0.2565415,0.13
0.44,0.363464,0.2598157,0.12
0.45,0.3837787,0.2621976,0.114
0.46,0.402451,0.2645274,0.109
0.48,0.4330519,0.2683642,0.118
0.5,0.4538399,0.2707567,0.123
0.55,0.4652259,0.2705193,0.124
0.6,0.4404475,0.2634025,0.122
0.65,0.4277071,0.273345,0.138
0.667,0.4136124,0.2722338,0.134
0.7,0.3769968,0.2650349,0.134
