
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 321
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 321, -, 1.0, -, 3.8, 10.1, 0.1, "Mammoth Lakes-11", 1983, "Convict Creek", 5.31, strike slip, 7.14, 7.7, 382.12, 0.25, 1.0, RSN321_MAMMOTH.AH_G-CVK090.AT2, RSN321_MAMMOTH.AH_G-CVK180.AT2 , RSN321_MAMMOTH.AH_G-CVK-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-321 RotD50 pSa (g)
0.01,0.1188168,0.1188168,0.1188168,0.1188168
0.02,0.1222149,0.1222149,0.1222149,0.1222149
0.022,0.1237798,0.1237798,0.1237798,0.1237798
0.025,0.1233701,0.1233701,0.1233701,0.1233701
0.029,0.1264662,0.1264662,0.1264662,0.1264662
0.03,0.1297782,0.1297782,0.1297782,0.1297782
0.032,0.133183,0.133183,0.133183,0.133183
0.035,0.136628,0.136628,0.136628,0.136628
0.036,0.1367193,0.1367193,0.1367193,0.1367193
0.04,0.1548874,0.1548874,0.1548874,0.1548874
0.042,0.1592175,0.1592175,0.1592175,0.1592175
0.044,0.1611147,0.1611147,0.1611147,0.1611147
0.045,0.1595442,0.1595442,0.1595442,0.1595442
0.046,0.1578566,0.1578566,0.1578566,0.1578566
0.048,0.1574951,0.1574951,0.1574951,0.1574951
0.05,0.1478624,0.1478624,0.1478624,0.1478624
0.055,0.1582539,0.1582539,0.1582539,0.1582539
0.06,0.1826943,0.1826943,0.1826943,0.1826943
0.065,0.2178902,0.2178902,0.2178902,0.2178902
0.067,0.2213664,0.2213664,0.2213664,0.2213664
0.07,0.2100847,0.2100847,0.2100847,0.2100847
0.075,0.2083507,0.2083507,0.2083507,0.2083507
0.08,0.2245808,0.2245808,0.2245808,0.2245808
0.085,0.2193145,0.2193145,0.2193145,0.2193145
0.09,0.2487754,0.2487754,0.2487754,0.2487754
0.095,0.2435713,0.2435713,0.2435713,0.2435713
0.1,0.235634,0.235634,0.235634,0.235634
0.11,0.2766046,0.2766046,0.2766046,0.2766046
0.12,0.3074633,0.3074633,0.3074633,0.3074633
0.13,0.3324587,0.3324587,0.3324587,0.3324587
0.133,0.3286264,0.3286264,0.3286264,0.3286264
0.14,0.3378614,0.3378614,0.3378614,0.3378614
0.15,0.3699513,0.3699513,0.3699513,0.3699513
0.16,0.3563848,0.3563848,0.3563848,0.3563848
0.17,0.3917016,0.3917016,0.3917016,0.3917016
0.18,0.4078169,0.4078169,0.4078169,0.4078169
0.19,0.3796899,0.3796899,0.3796899,0.3796899
0.2,0.3405724,0.3405724,0.3405724,0.3405724
0.22,0.2718475,0.2718475,0.2718475,0.2718475
0.24,0.2196429,0.2196429,0.2196429,0.2196429
0.25,0.228401,0.228401,0.228401,0.228401
0.26,0.2175561,0.2175561,0.2175561,0.2175561
0.28,0.1799299,0.1799299,0.1799299,0.1799299
0.29,0.1709254,0.1709254,0.1709254,0.1709254
0.3,0.1649005,0.1649005,0.1649005,0.1649005
0.32,0.1745108,0.1745108,0.1745108,0.1745108
0.34,0.1631183,0.1631183,0.1631183,0.1631183
0.35,0.1590968,0.1590968,0.1590968,0.1590968
0.36,0.1609325,0.1609325,0.1609325,0.1609325
0.38,0.1760153,0.1760153,0.1760153,0.1760153
0.4,0.1839822,0.1839822,0.1839822,0.1839822
0.42,0.188001,0.188001,0.188001,0.188001
0.44,0.1905241,0.1905241,0.1905241,0.1905241
0.45,0.187153,0.187153,0.187153,0.187153
0.46,0.1809238,0.1809238,0.1809238,0.1809238
0.48,0.1651935,0.1651935,0.1651935,0.1651935
0.5,0.1532614,0.1532614,0.1532614,0.1532614
0.55,0.1180685,0.1180685,0.1180685,0.1180685
0.6,0.1079007,0.1079007,0.1079007,0.1079007
0.65,0.1249132,0.1249132,0.1249132,0.1249132
0.667,0.1318346,0.1318346,0.1318346,0.1318346
0.7,0.1421708,0.1421708,0.1421708,0.1421708
0.75,0.1604302,0.1604302,0.1604302,0.1604302
0.8,0.1471958,0.1471958,0.1471958,0.1471958
0.85,0.140112,0.140112,0.140112,0.140112
0.9,0.1307134,0.1307134,0.1307134,0.1307134
0.95,0.1292784,0.1292784,0.1292784,0.1292784
1.0,0.1213645,0.1213645,0.1213645,0.1213645
1.1,0.1043518,0.1043518,0.1043518,0.1043518
1.2,0.08609844,0.08609844,0.08609844,0.08609844
1.3,0.06947795,0.06947795,0.06947795,0.06947795
1.4,0.05147858,0.05147858,0.05147858,0.05147858
1.5,0.03979333,0.03979333,0.03979333,0.03979333
1.6,0.03153335,0.03153335,0.03153335,0.03153335
1.7,0.02671617,0.02671617,0.02671617,0.02671617
1.8,0.02308474,0.02308474,0.02308474,0.02308474
1.9,0.02032666,0.02032666,0.02032666,0.02032666
2.0,0.01811224,0.01811224,0.01811224,0.01811224
2.2,0.01529577,0.01529577,0.01529577,0.01529577
2.4,0.01279025,0.01279025,0.01279025,0.01279025
2.5,0.01176572,0.01176572,0.01176572,0.01176572
2.6,0.01081609,0.01081609,0.01081609,0.01081609
2.8,0.00912024,0.00912024,0.00912024,0.00912024
3.0,0.00786223,0.00786223,0.00786223,0.00786223
3.2,0.00706726,0.00706726,0.00706726,0.00706726
3.4,0.0063829,0.0063829,0.0063829,0.0063829
3.5,0.0060068,0.0060068,0.0060068,0.0060068
3.6,0.00561439,0.00561439,0.00561439,0.00561439
3.8,0.00495642,0.00495642,0.00495642,0.00495642
4.0,0.00490985,0.00490985,0.00490985,0.00490985
4.2,0.00443127,0.00443127,0.00443127,0.00443127
4.4,0.00398622,0.00398622,0.00398622,0.00398622
4.6,0.00353569,0.00353569,0.00353569,0.00353569
4.8,0.00313587,0.00313587,0.00313587,0.00313587
5.0,0.00289122,0.00289122,0.00289122,0.00289122
5.5,0.00236447,0.00236447,0.00236447,0.00236447
6.0,0.00193944,0.00193944,0.00193944,0.00193944
6.5,0.00160157,0.00160157,0.00160157,0.00160157
7.0,0.00133063,0.00133063,0.00133063,0.00133063
7.5,0.00115681,0.00115681,0.00115681,0.00115681
