
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 322
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 322, -, 1.0, -, 6.2, 12.6, 1.2, "Coalinga-01", 1983, "Cantua Creek School", 6.36, Reverse, 23.78, 24.02, 274.73, 0.1, 1.0, RSN322_COALINGA.H_H-CAK270.AT2, RSN322_COALINGA.H_H-CAK360.AT2 , RSN322_COALINGA.H_H-CAK-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-322 RotD50 pSa (g)
0.01,0.2714199,0.2714199,0.2714199,0.2714199
0.02,0.2699811,0.2699811,0.2699811,0.2699811
0.022,0.2700612,0.2700612,0.2700612,0.2700612
0.025,0.2703249,0.2703249,0.2703249,0.2703249
0.029,0.2707298,0.2707298,0.2707298,0.2707298
0.03,0.2709834,0.2709834,0.2709834,0.2709834
0.032,0.270767,0.270767,0.270767,0.270767
0.035,0.2710632,0.2710632,0.2710632,0.2710632
0.036,0.270564,0.270564,0.270564,0.270564
0.04,0.2731781,0.2731781,0.2731781,0.2731781
0.042,0.2753546,0.2753546,0.2753546,0.2753546
0.044,0.2768989,0.2768989,0.2768989,0.2768989
0.045,0.2764482,0.2764482,0.2764482,0.2764482
0.046,0.2756217,0.2756217,0.2756217,0.2756217
0.048,0.275237,0.275237,0.275237,0.275237
0.05,0.2746107,0.2746107,0.2746107,0.2746107
0.055,0.2759031,0.2759031,0.2759031,0.2759031
0.06,0.2804758,0.2804758,0.2804758,0.2804758
0.065,0.28429,0.28429,0.28429,0.28429
0.067,0.2840072,0.2840072,0.2840072,0.2840072
0.07,0.2871757,0.2871757,0.2871757,0.2871757
0.075,0.2883528,0.2883528,0.2883528,0.2883528
0.08,0.3051147,0.3051147,0.3051147,0.3051147
0.085,0.3086846,0.3086846,0.3086846,0.3086846
0.09,0.3095683,0.3095683,0.3095683,0.3095683
0.095,0.3354253,0.3354253,0.3354253,0.3354253
0.1,0.3400869,0.3400869,0.3400869,0.3400869
0.11,0.3251858,0.3251858,0.3251858,0.3251858
0.12,0.3749946,0.3749946,0.3749946,0.3749946
0.13,0.3987655,0.3987655,0.3987655,0.3987655
0.133,0.4041597,0.4041597,0.4041597,0.4041597
0.14,0.4179705,0.4179705,0.4179705,0.4179705
0.15,0.3953699,0.3953699,0.3953699,0.3953699
0.16,0.4698024,0.4698024,0.4698024,0.4698024
0.17,0.5240081,0.5240081,0.5240081,0.5240081
0.18,0.598246,0.598246,0.598246,0.598246
0.19,0.6440392,0.6440392,0.6440392,0.6440392
0.2,0.6676718,0.6676718,0.6676718,0.6676718
0.22,0.7079841,0.7079841,0.7079841,0.7079841
