
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 370
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 370, -, 1.0, -, 8.6, 13.7, 0.0, "Coalinga-02", 1983, "ALP (temp)", 5.09, Reverse, 24.23, 27.85, 467.03, 0.1625, 1.0, RSN370_COALINGA_A-ALP085.AT2, RSN370_COALINGA_A-ALP355.AT2 , RSN370_COALINGA_A-ALP-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-370 RotD50 pSa (g)
0.01,0.03576178,0.03576178,0.03576178,0.03576178
0.02,0.03600774,0.03600774,0.03600774,0.03600774
0.022,0.03608979,0.03608979,0.03608979,0.03608979
0.025,0.03624635,0.03624635,0.03624635,0.03624635
0.029,0.03649795,0.03649795,0.03649795,0.03649795
0.03,0.03651524,0.03651524,0.03651524,0.03651524
0.032,0.03655837,0.03655837,0.03655837,0.03655837
0.035,0.03670991,0.03670991,0.03670991,0.03670991
0.036,0.03682009,0.03682009,0.03682009,0.03682009
0.04,0.03726349,0.03726349,0.03726349,0.03726349
0.042,0.03756744,0.03756744,0.03756744,0.03756744
0.044,0.03791884,0.03791884,0.03791884,0.03791884
0.045,0.03809169,0.03809169,0.03809169,0.03809169
0.046,0.03823025,0.03823025,0.03823025,0.03823025
0.048,0.03843955,0.03843955,0.03843955,0.03843955
0.05,0.03850558,0.03850558,0.03850558,0.03850558
0.055,0.03912776,0.03912776,0.03912776,0.03912776
0.06,0.04129989,0.04129989,0.04129989,0.04129989
0.065,0.04598916,0.04598916,0.04598916,0.04598916
0.067,0.0473048,0.0473048,0.0473048,0.0473048
0.07,0.04796644,0.04796644,0.04796644,0.04796644
0.075,0.04881265,0.04881265,0.04881265,0.04881265
0.08,0.05719414,0.05719414,0.05719414,0.05719414
0.085,0.06396291,0.06396291,0.06396291,0.06396291
0.09,0.06152488,0.06152488,0.06152488,0.06152488
0.095,0.06231956,0.06231956,0.06231956,0.06231956
0.1,0.06248271,0.06248271,0.06248271,0.06248271
0.11,0.06936985,0.06936985,0.06936985,0.06936985
0.12,0.06959324,0.06959324,0.06959324,0.06959324
0.13,0.06679381,0.06679381,0.06679381,0.06679381
0.133,0.06529064,0.06529064,0.06529064,0.06529064
0.14,0.06775843,0.06775843,0.06775843,0.06775843
0.15,0.07511389,0.07511389,0.07511389,0.07511389
0.16,0.08115192,0.08115192,0.08115192,0.08115192
0.17,0.07796078,0.07796078,0.07796078,0.07796078
0.18,0.07949325,0.07949325,0.07949325,0.07949325
0.19,0.08286469,0.08286469,0.08286469,0.08286469
0.2,0.09420548,0.09420548,0.09420548,0.09420548
