
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 391
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 391, -, 1.0, -, 4.0, 14.8, 0.2, "Coalinga-03", 1983, "Burnett Construction", 5.38, Reverse, 12.89, 13.45, 352.2, 0.125, 1.0, RSN391_COALINGA_B-BNT270.AT2, RSN391_COALINGA_B-BNT360.AT2 , RSN391_COALINGA_B-BNT-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-391 RotD50 pSa (g)
0.01,0.184453,0.184453,0.184453,0.184453
0.02,0.18516,0.18516,0.18516,0.18516
0.022,0.1854087,0.1854087,0.1854087,0.1854087
0.025,0.1854994,0.1854994,0.1854994,0.1854994
0.029,0.1852352,0.1852352,0.1852352,0.1852352
0.03,0.1855326,0.1855326,0.1855326,0.1855326
0.032,0.1864109,0.1864109,0.1864109,0.1864109
0.035,0.1867873,0.1867873,0.1867873,0.1867873
0.036,0.1867752,0.1867752,0.1867752,0.1867752
0.04,0.1874377,0.1874377,0.1874377,0.1874377
0.042,0.1874601,0.1874601,0.1874601,0.1874601
0.044,0.1871722,0.1871722,0.1871722,0.1871722
0.045,0.1871812,0.1871812,0.1871812,0.1871812
0.046,0.1871551,0.1871551,0.1871551,0.1871551
0.048,0.186773,0.186773,0.186773,0.186773
0.05,0.1874418,0.1874418,0.1874418,0.1874418
0.055,0.1927378,0.1927378,0.1927378,0.1927378
0.06,0.19599,0.19599,0.19599,0.19599
0.065,0.2022461,0.2022461,0.2022461,0.2022461
0.067,0.2060472,0.2060472,0.2060472,0.2060472
0.07,0.2093218,0.2093218,0.2093218,0.2093218
0.075,0.2046858,0.2046858,0.2046858,0.2046858
0.08,0.2103347,0.2103347,0.2103347,0.2103347
0.085,0.217689,0.217689,0.217689,0.217689
0.09,0.2291156,0.2291156,0.2291156,0.2291156
0.095,0.2300796,0.2300796,0.2300796,0.2300796
0.1,0.2582628,0.2582628,0.2582628,0.2582628
0.11,0.2773121,0.2773121,0.2773121,0.2773121
0.12,0.2828361,0.2828361,0.2828361,0.2828361
0.13,0.2914738,0.2914738,0.2914738,0.2914738
0.133,0.2967092,0.2967092,0.2967092,0.2967092
0.14,0.3294881,0.3294881,0.3294881,0.3294881
0.15,0.3546689,0.3546689,0.3546689,0.3546689
0.16,0.3808846,0.3808846,0.3808846,0.3808846
0.17,0.4736924,0.4736924,0.4736924,0.4736924
0.18,0.5345606,0.5345606,0.5345606,0.5345606
0.19,0.5518981,0.5518981,0.5518981,0.5518981
0.2,0.5197315,0.5197315,0.5197315,0.5197315
0.22,0.5525325,0.5525325,0.5525325,0.5525325
0.24,0.5524933,0.5524933,0.5524933,0.5524933
0.25,0.5537335,0.5537335,0.5537335,0.5537335
0.26,0.5511721,0.5511721,0.5511721,0.5511721
0.28,0.4800922,0.4800922,0.4800922,0.4800922
0.29,0.4354407,0.4354407,0.4354407,0.4354407
0.3,0.4102055,0.4102055,0.4102055,0.4102055
0.32,0.4061607,0.4061607,0.4061607,0.4061607
0.34,0.4194574,0.4194574,0.4194574,0.4194574
0.35,0.4077472,0.4077472,0.4077472,0.4077472
0.36,0.3849192,0.3849192,0.3849192,0.3849192
0.38,0.3213973,0.3213973,0.3213973,0.3213973
0.4,0.2619693,0.2619693,0.2619693,0.2619693
0.42,0.2255279,0.2255279,0.2255279,0.2255279
0.44,0.2082205,0.2082205,0.2082205,0.2082205
0.45,0.2041194,0.2041194,0.2041194,0.2041194
0.46,0.2010802,0.2010802,0.2010802,0.2010802
0.48,0.1971133,0.1971133,0.1971133,0.1971133
0.5,0.195545,0.195545,0.195545,0.195545
0.55,0.1765012,0.1765012,0.1765012,0.1765012
0.6,0.1383156,0.1383156,0.1383156,0.1383156
0.65,0.09805349,0.09805349,0.09805349,0.09805349
0.667,0.09968358,0.09968358,0.09968358,0.09968358
0.7,0.09792694,0.09792694,0.09792694,0.09792694
0.75,0.1097221,0.1097221,0.1097221,0.1097221
0.8,0.1217388,0.1217388,0.1217388,0.1217388
0.85,0.1194849,0.1194849,0.1194849,0.1194849
0.9,0.1137549,0.1137549,0.1137549,0.1137549
0.95,0.1200234,0.1200234,0.1200234,0.1200234
1.0,0.1342113,0.1342113,0.1342113,0.1342113
1.1,0.1092058,0.1092058,0.1092058,0.1092058
1.2,0.08310938,0.08310938,0.08310938,0.08310938
1.3,0.07981434,0.07981434,0.07981434,0.07981434
1.4,0.08185069,0.08185069,0.08185069,0.08185069
1.5,0.07233246,0.07233246,0.07233246,0.07233246
1.6,0.06268088,0.06268088,0.06268088,0.06268088
1.7,0.0563858,0.0563858,0.0563858,0.0563858
1.8,0.05458351,0.05458351,0.05458351,0.05458351
1.9,0.0416928,0.0416928,0.0416928,0.0416928
2.0,0.032943,0.032943,0.032943,0.032943
2.2,0.02472657,0.02472657,0.02472657,0.02472657
2.4,0.02090435,0.02090435,0.02090435,0.02090435
2.5,0.02360205,0.02360205,0.02360205,0.02360205
2.6,0.02456976,0.02456976,0.02456976,0.02456976
2.8,0.02484597,0.02484597,0.02484597,0.02484597
3.0,0.02431102,0.02431102,0.02431102,0.02431102
3.2,0.02212012,0.02212012,0.02212012,0.02212012
3.4,0.02056165,0.02056165,0.02056165,0.02056165
3.5,0.01906407,0.01906407,0.01906407,0.01906407
3.6,0.01844299,0.01844299,0.01844299,0.01844299
3.8,0.01703504,0.01703504,0.01703504,0.01703504
4.0,0.01469282,0.01469282,0.01469282,0.01469282
4.2,0.01350146,0.01350146,0.01350146,0.01350146
4.4,0.01207433,0.01207433,0.01207433,0.01207433
4.6,0.0103765,0.0103765,0.0103765,0.0103765
4.8,0.00847482,0.00847482,0.00847482,0.00847482
5.0,0.00722423,0.00722423,0.00722423,0.00722423
