
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 394
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 394, -, 1.0, -, 2.0, 4.3, 0.7, "Coalinga-04", 1983, "Anticline Ridge Free-Field", 5.18, Reverse, 5.56, 10.95, 478.63, 0.5, 1.0, RSN394_COALINGA_C-ATC270.AT2, RSN394_COALINGA_C-ATC360.AT2 , RSN394_COALINGA_C-ATC-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-394 RotD50 pSa (g)
0.01,0.3108625,0.3108625,0.3108625,0.3108625
0.02,0.3241538,0.3241538,0.3241538,0.3241538
0.022,0.3250725,0.3250725,0.3250725,0.3250725
0.025,0.3406157,0.3406157,0.3406157,0.3406157
0.029,0.3481504,0.3481504,0.3481504,0.3481504
0.03,0.3477196,0.3477196,0.3477196,0.3477196
0.032,0.3500148,0.3500148,0.3500148,0.3500148
0.035,0.3657671,0.3657671,0.3657671,0.3657671
0.036,0.3713823,0.3713823,0.3713823,0.3713823
0.04,0.4052792,0.4052792,0.4052792,0.4052792
0.042,0.426757,0.426757,0.426757,0.426757
0.044,0.4412654,0.4412654,0.4412654,0.4412654
0.045,0.434064,0.434064,0.434064,0.434064
0.046,0.4193905,0.4193905,0.4193905,0.4193905
0.048,0.4057573,0.4057573,0.4057573,0.4057573
0.05,0.4148207,0.4148207,0.4148207,0.4148207
0.055,0.4012614,0.4012614,0.4012614,0.4012614
0.06,0.455285,0.455285,0.455285,0.455285
0.065,0.4072953,0.4072953,0.4072953,0.4072953
0.067,0.4096665,0.4096665,0.4096665,0.4096665
0.07,0.4020747,0.4020747,0.4020747,0.4020747
0.075,0.496087,0.496087,0.496087,0.496087
0.08,0.6442933,0.6442933,0.6442933,0.6442933
0.085,0.6193632,0.6193632,0.6193632,0.6193632
0.09,0.5437142,0.5437142,0.5437142,0.5437142
0.095,0.5059479,0.5059479,0.5059479,0.5059479
0.1,0.4939169,0.4939169,0.4939169,0.4939169
0.11,0.5275865,0.5275865,0.5275865,0.5275865
0.12,0.6210606,0.6210606,0.6210606,0.6210606
0.13,0.7022028,0.7022028,0.7022028,0.7022028
0.133,0.7176147,0.7176147,0.7176147,0.7176147
0.14,0.7491953,0.7491953,0.7491953,0.7491953
0.15,0.9253469,0.9253469,0.9253469,0.9253469
0.16,1.087359,1.087359,1.087359,1.087359
0.17,1.243346,1.243346,1.243346,1.243346
0.18,1.200868,1.200868,1.200868,1.200868
0.19,1.053018,1.053018,1.053018,1.053018
0.2,0.9860398,0.9860398,0.9860398,0.9860398
0.22,0.9848815,0.9848815,0.9848815,0.9848815
0.24,1.007972,1.007972,1.007972,1.007972
