
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 405
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 405, -, 1.0, -, 6.0, 9.7, 0.9, "Coalinga-05", 1983, "Burnett Construction", 5.77, Reverse, 8.3, 11.5, 352.2, 0.375, 1.0, RSN405_COALINGA_D-BNT270.AT2, RSN405_COALINGA_D-BNT360.AT2 , RSN405_COALINGA_D-BNT-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-405 RotD50 pSa (g)
0.01,0.2848473,0.2848473,0.2848473,0.2848473
0.02,0.2868551,0.2868551,0.2868551,0.2868551
0.022,0.2888758,0.2888758,0.2888758,0.2888758
0.025,0.2892645,0.2892645,0.2892645,0.2892645
0.029,0.2902656,0.2902656,0.2902656,0.2902656
0.03,0.2895432,0.2895432,0.2895432,0.2895432
0.032,0.289085,0.289085,0.289085,0.289085
0.035,0.2888779,0.2888779,0.2888779,0.2888779
0.036,0.2876894,0.2876894,0.2876894,0.2876894
0.04,0.2907369,0.2907369,0.2907369,0.2907369
0.042,0.2948985,0.2948985,0.2948985,0.2948985
0.044,0.2968772,0.2968772,0.2968772,0.2968772
0.045,0.2981529,0.2981529,0.2981529,0.2981529
0.046,0.299934,0.299934,0.299934,0.299934
0.048,0.3024099,0.3024099,0.3024099,0.3024099
0.05,0.3036201,0.3036201,0.3036201,0.3036201
0.055,0.3172569,0.3172569,0.3172569,0.3172569
0.06,0.3285433,0.3285433,0.3285433,0.3285433
0.065,0.3431095,0.3431095,0.3431095,0.3431095
0.067,0.3451878,0.3451878,0.3451878,0.3451878
0.07,0.3524828,0.3524828,0.3524828,0.3524828
0.075,0.3479012,0.3479012,0.3479012,0.3479012
0.08,0.3578644,0.3578644,0.3578644,0.3578644
0.085,0.3865879,0.3865879,0.3865879,0.3865879
0.09,0.3828972,0.3828972,0.3828972,0.3828972
0.095,0.4009515,0.4009515,0.4009515,0.4009515
0.1,0.39011,0.39011,0.39011,0.39011
0.11,0.3816505,0.3816505,0.3816505,0.3816505
0.12,0.4359942,0.4359942,0.4359942,0.4359942
0.13,0.4485486,0.4485486,0.4485486,0.4485486
0.133,0.4483055,0.4483055,0.4483055,0.4483055
0.14,0.482346,0.482346,0.482346,0.482346
0.15,0.5444058,0.5444058,0.5444058,0.5444058
0.16,0.5861748,0.5861748,0.5861748,0.5861748
0.17,0.6950625,0.6950625,0.6950625,0.6950625
0.18,0.7488837,0.7488837,0.7488837,0.7488837
0.19,0.8138985,0.8138985,0.8138985,0.8138985
0.2,0.8314859,0.8314859,0.8314859,0.8314859
0.22,0.8757718,0.8757718,0.8757718,0.8757718
0.24,0.9506222,0.9506222,0.9506222,0.9506222
0.25,1.045927,1.045927,1.045927,1.045927
0.26,0.9589168,0.9589168,0.9589168,0.9589168
0.28,0.6429126,0.6429126,0.6429126,0.6429126
0.29,0.6475193,0.6475193,0.6475193,0.6475193
0.3,0.6900654,0.6900654,0.6900654,0.6900654
0.32,0.8163224,0.8163224,0.8163224,0.8163224
0.34,0.8950793,0.8950793,0.8950793,0.8950793
0.35,0.8875194,0.8875194,0.8875194,0.8875194
0.36,0.7871822,0.7871822,0.7871822,0.7871822
0.38,0.7365239,0.7365239,0.7365239,0.7365239
0.4,0.6650555,0.6650555,0.6650555,0.6650555
0.42,0.6896718,0.6896718,0.6896718,0.6896718
0.44,0.620241,0.620241,0.620241,0.620241
0.45,0.6087756,0.6087756,0.6087756,0.6087756
0.46,0.5962577,0.5962577,0.5962577,0.5962577
0.48,0.6036584,0.6036584,0.6036584,0.6036584
0.5,0.571512,0.571512,0.571512,0.571512
0.55,0.5321933,0.5321933,0.5321933,0.5321933
0.6,0.4448802,0.4448802,0.4448802,0.4448802
0.65,0.3950031,0.3950031,0.3950031,0.3950031
0.667,0.3767909,0.3767909,0.3767909,0.3767909
0.7,0.3349234,0.3349234,0.3349234,0.3349234
0.75,0.2588452,0.2588452,0.2588452,0.2588452
0.8,0.2094212,0.2094212,0.2094212,0.2094212
0.85,0.1794322,0.1794322,0.1794322,0.1794322
0.9,0.1710085,0.1710085,0.1710085,0.1710085
0.95,0.1690504,0.1690504,0.1690504,0.1690504
1.0,0.1831858,0.1831858,0.1831858,0.1831858
1.1,0.2155731,0.2155731,0.2155731,0.2155731
1.2,0.1721379,0.1721379,0.1721379,0.1721379
1.3,0.102368,0.102368,0.102368,0.102368
1.4,0.08851637,0.08851637,0.08851637,0.08851637
1.5,0.07336354,0.07336354,0.07336354,0.07336354
1.6,0.05912492,0.05912492,0.05912492,0.05912492
1.7,0.04262891,0.04262891,0.04262891,0.04262891
