
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 416
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 416, -, 1.0, -, 0.6, 7.3, 0.1, "Coalinga-06", 1983, "Coalinga-14th & Elm (Old CHP)", 4.89, Reverse, 7.97, 11.06, 286.41, 0.5, 1.0, RSN416_COALINGA_E-CHP000.AT2, RSN416_COALINGA_E-CHP090.AT2 , RSN416_COALINGA_E-CHP-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-416 RotD50 pSa (g)
0.01,0.1517652,0.1517652,0.1517652,0.1517652
0.02,0.153961,0.153961,0.153961,0.153961
0.022,0.1550253,0.1550253,0.1550253,0.1550253
0.025,0.1569059,0.1569059,0.1569059,0.1569059
0.029,0.159648,0.159648,0.159648,0.159648
0.03,0.1607296,0.1607296,0.1607296,0.1607296
0.032,0.1616532,0.1616532,0.1616532,0.1616532
0.035,0.1619567,0.1619567,0.1619567,0.1619567
0.036,0.1631512,0.1631512,0.1631512,0.1631512
0.04,0.1678723,0.1678723,0.1678723,0.1678723
0.042,0.1695188,0.1695188,0.1695188,0.1695188
0.044,0.1701786,0.1701786,0.1701786,0.1701786
0.045,0.1698254,0.1698254,0.1698254,0.1698254
0.046,0.1679781,0.1679781,0.1679781,0.1679781
0.048,0.1685405,0.1685405,0.1685405,0.1685405
0.05,0.1738496,0.1738496,0.1738496,0.1738496
0.055,0.2105251,0.2105251,0.2105251,0.2105251
0.06,0.2234844,0.2234844,0.2234844,0.2234844
0.065,0.2385525,0.2385525,0.2385525,0.2385525
0.067,0.2500803,0.2500803,0.2500803,0.2500803
0.07,0.269879,0.269879,0.269879,0.269879
0.075,0.2888672,0.2888672,0.2888672,0.2888672
0.08,0.2964928,0.2964928,0.2964928,0.2964928
0.085,0.289684,0.289684,0.289684,0.289684
0.09,0.2978037,0.2978037,0.2978037,0.2978037
0.095,0.332755,0.332755,0.332755,0.332755
0.1,0.3871384,0.3871384,0.3871384,0.3871384
0.11,0.4689054,0.4689054,0.4689054,0.4689054
0.12,0.4926007,0.4926007,0.4926007,0.4926007
0.13,0.4831307,0.4831307,0.4831307,0.4831307
0.133,0.4772656,0.4772656,0.4772656,0.4772656
0.14,0.462286,0.462286,0.462286,0.462286
0.15,0.4623735,0.4623735,0.4623735,0.4623735
0.16,0.4490244,0.4490244,0.4490244,0.4490244
0.17,0.4106182,0.4106182,0.4106182,0.4106182
0.18,0.3834194,0.3834194,0.3834194,0.3834194
0.19,0.4028145,0.4028145,0.4028145,0.4028145
0.2,0.3874821,0.3874821,0.3874821,0.3874821
0.22,0.323614,0.323614,0.323614,0.323614
0.24,0.260943,0.260943,0.260943,0.260943
0.25,0.2412604,0.2412604,0.2412604,0.2412604
0.26,0.2237178,0.2237178,0.2237178,0.2237178
0.28,0.1937444,0.1937444,0.1937444,0.1937444
0.29,0.1808013,0.1808013,0.1808013,0.1808013
0.3,0.170104,0.170104,0.170104,0.170104
0.32,0.1614207,0.1614207,0.1614207,0.1614207
0.34,0.1629155,0.1629155,0.1629155,0.1629155
0.35,0.1618787,0.1618787,0.1618787,0.1618787
0.36,0.1591441,0.1591441,0.1591441,0.1591441
0.38,0.1535727,0.1535727,0.1535727,0.1535727
0.4,0.1554433,0.1554433,0.1554433,0.1554433
0.42,0.1547911,0.1547911,0.1547911,0.1547911
0.44,0.1502113,0.1502113,0.1502113,0.1502113
0.45,0.1468605,0.1468605,0.1468605,0.1468605
0.46,0.1429496,0.1429496,0.1429496,0.1429496
0.48,0.1339838,0.1339838,0.1339838,0.1339838
0.5,0.1243904,0.1243904,0.1243904,0.1243904
0.55,0.1130792,0.1130792,0.1130792,0.1130792
0.6,0.1011902,0.1011902,0.1011902,0.1011902
0.65,0.08848147,0.08848147,0.08848147,0.08848147
0.667,0.08474015,0.08474015,0.08474015,0.08474015
0.7,0.07872041,0.07872041,0.07872041,0.07872041
0.75,0.06992123,0.06992123,0.06992123,0.06992123
0.8,0.06176132,0.06176132,0.06176132,0.06176132
0.85,0.05440838,0.05440838,0.05440838,0.05440838
0.9,0.04783122,0.04783122,0.04783122,0.04783122
0.95,0.0419748,0.0419748,0.0419748,0.0419748
1.0,0.03690287,0.03690287,0.03690287,0.03690287
1.1,0.03171031,0.03171031,0.03171031,0.03171031
1.2,0.02717513,0.02717513,0.02717513,0.02717513
1.3,0.0228711,0.0228711,0.0228711,0.0228711
1.4,0.01965039,0.01965039,0.01965039,0.01965039
1.5,0.01683584,0.01683584,0.01683584,0.01683584
1.6,0.01663282,0.01663282,0.01663282,0.01663282
1.7,0.01499262,0.01499262,0.01499262,0.01499262
1.8,0.0121631,0.0121631,0.0121631,0.0121631
1.9,0.00977303,0.00977303,0.00977303,0.00977303
2.0,0.0087313,0.0087313,0.0087313,0.0087313
2.2,0.00742837,0.00742837,0.00742837,0.00742837
2.4,0.00743562,0.00743562,0.00743562,0.00743562
2.5,0.0069096,0.0069096,0.0069096,0.0069096
2.6,0.00621271,0.00621271,0.00621271,0.00621271
2.8,0.00502941,0.00502941,0.00502941,0.00502941
3.0,0.00412257,0.00412257,0.00412257,0.00412257
3.2,0.00358203,0.00358203,0.00358203,0.00358203
3.4,0.00313558,0.00313558,0.00313558,0.00313558
3.5,0.00293909,0.00293909,0.00293909,0.00293909
3.6,0.00275835,0.00275835,0.00275835,0.00275835
3.8,0.00243862,0.00243862,0.00243862,0.00243862
4.0,0.00216661,0.00216661,0.00216661,0.00216661
4.2,0.00193421,0.00193421,0.00193421,0.00193421
4.4,0.00173492,0.00173492,0.00173492,0.00173492
4.6,0.00156305,0.00156305,0.00156305,0.00156305
4.8,0.00141415,0.00141415,0.00141415,0.00141415
5.0,0.00128454,0.00128454,0.00128454,0.00128454
5.5,0.00102652,0.00102652,0.00102652,0.00102652
6.0,0.00083731,0.00083731,0.00083731,0.00083731
6.5,0.00069507,0.00069507,0.00069507,0.00069507
7.0,0.00058585,0.00058585,0.00058585,0.00058585
7.5,0.0005003,0.0005003,0.0005003,0.0005003
8.0,0.00043214,0.00043214,0.00043214,0.00043214
8.5,0.00037703,0.00037703,0.00037703,0.00037703
9.0,0.00033184,0.00033184,0.00033184,0.00033184
9.5,0.00029434,0.00029434,0.00029434,0.00029434
10.0,0.00026288,0.00026288,0.00026288,0.00026288
11.0,0.00021349,0.00021349,0.00021349,0.00021349
12.0,0.0001769,0.0001769,0.0001769,0.0001769
13.0,0.00014902,0.00014902,0.00014902,0.00014902
14.0,0.0001273,0.0001273,0.0001273,0.0001273
15.0,0.00011003,0.00011003,0.00011003,0.00011003
20.0,6.04e-05,6.04e-05,6.04e-05,6.04e-05

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-416 Horizontal-1 pSa (g),RSN-416 Horizontal-2 pSa (g),RSN-416 Vertical pSa (g)
0.01,0.1138079,0.1965837,0.0965
0.02,0.1152345,0.2000427,0.107
0.022,0.1162196,0.2009873,0.109
0.025,0.1175525,0.2023484,0.12
0.029,0.1196754,0.206443,0.149
0.03,0.1201867,0.2068409,0.149
0.032,0.1207274,0.2054033,0.153
0.035,0.1196167,0.2017498,0.173
0.036,0.1209735,0.2024732,0.172
0.04,0.1269217,0.2105463,0.157
0.042,0.1295588,0.2150187,0.169
0.044,0.1330507,0.2174152,0.192
0.045,0.1342784,0.2196725,0.205
0.046,0.1334604,0.2227128,0.219
0.048,0.1329275,0.2291994,0.256
0.05,0.1307805,0.2333703,0.295
0.055,0.1364215,0.2321921,0.319
0.06,0.1537128,0.2513986,0.287
0.065,0.151755,0.263872,0.247
0.067,0.1621345,0.2768282,0.232
0.07,0.1665404,0.2966444,0.215
0.075,0.1637566,0.3487204,0.196
0.08,0.1467672,0.3923694,0.155
0.085,0.1373428,0.3981266,0.13
0.09,0.156919,0.4021255,0.148
0.095,0.1690875,0.4410852,0.157
0.1,0.1798314,0.5094289,0.167
0.11,0.2006754,0.6378981,0.195
0.12,0.2067782,0.6483542,0.185
0.13,0.1919553,0.6125703,0.106
0.133,0.1933753,0.5950807,0.097
0.14,0.2137819,0.6031185,0.082
0.15,0.2526291,0.6177132,0.0725
0.16,0.2997903,0.5892749,0.0714
0.17,0.3430278,0.5131116,0.0795
0.18,0.3713346,0.4170978,0.078
0.19,0.4165421,0.374436,0.0606
0.2,0.4086122,0.362443,0.0659
0.22,0.2978224,0.3185716,0.0717
0.24,0.2715504,0.2681362,0.0561
0.25,0.257275,0.2449774,0.0515
0.26,0.2432806,0.2231613,0.0466
0.28,0.2191745,0.1848868,0.0456
0.29,0.207871,0.1680221,0.0466
0.3,0.1966203,0.1538878,0.0496
0.32,0.1966837,0.1334513,0.059
0.34,0.2013692,0.1182955,0.0628
0.35,0.1976203,0.1244504,0.0643
0.36,0.1912312,0.1290678,0.0666
0.38,0.1765446,0.1343032,0.0727
0.4,0.17267,0.1360244,0.0756
0.42,0.1630102,0.1461279,0.073
0.44,0.1494124,0.1510102,0.066
0.45,0.1416347,0.151802,0.0616
0.46,0.1334499,0.1516638,0.0569
0.48,0.116496,0.1492821,0.048
0.5,0.1064177,0.1447421,0.0417
0.55,0.09272724,0.1305267,0.0392
0.6,0.07855127,0.1145279,0.0412
0.65,0.06547078,0.1051913,0.0384
0.667,0.06136615,0.1024405,0.0365
0.7,0.05398573,0.09679096,0.0322
0.75,0.04412499,0.08801423,0.0253
0.8,0.03571688,0.07949332,0.0204
0.85,0.03019059,0.07137,0.0176
0.9,0.02886917,0.06374597,0.0157
0.95,0.02775215,0.05670507,0.0143
1.0,0.02527084,0.05025273,0.0141
1.1,0.02077469,0.03923536,0.0137
1.2,0.01658522,0.03162587,0.0115
1.3,0.01507136,0.02908403,0.00937
1.4,0.01331481,0.02566944,0.00789
1.5,0.01118323,0.02160207,0.00624
1.6,0.01069327,0.02114188,0.00531
1.7,0.01129671,0.01844814,0.0049
1.8,0.00905683,0.01420297,0.00507
1.9,0.00702092,0.01290165,0.00541
2.0,0.00594878,0.01163177,0.0058
2.2,0.004541,0.01003892,0.00429
2.4,0.00309168,0.00892636,0.00296
2.5,0.00251904,0.0086188,0.00239
2.6,0.00219035,0.00760922,0.00203
2.8,0.00183781,0.00648115,0.00139
3.0,0.00156439,0.00562994,0.00109
3.2,0.00134874,0.0049089,0.000928
3.4,0.00117591,0.00429855,0.000799
3.5,0.00110211,0.00402935,0.000744
3.6,0.00103531,0.00378144,0.000695
3.8,0.00091937,0.00334236,0.000609
4.0,0.00082257,0.00296833,0.000537
4.2,0.00074085,0.00264851,0.000478
4.4,0.00067116,0.00237391,0.000427
4.6,0.00061119,0.00213709,0.000384
4.8,0.00055919,0.00193194,0.000347
5.0,0.00051376,0.00175344,0.000316
5.5,0.00042229,0.00139829,0.000253
6.0,0.00035368,0.00113814,0.000213
6.5,0.00030079,0.00094292,0.000183
7.0,0.00025907,0.00079322,0.000158
7.5,0.00022555,0.00067621,0.000139
8.0,0.00019819,0.00058315,0.000123
8.5,0.00017555,0.00050802,0.000109
9.0,0.0001566,0.00044652,9.75e-05
9.5,0.00014057,0.00039557,8.77e-05
10.0,0.00012689,0.0003529,7.94e-05
11.0,0.00010492,0.00028603,6.58e-05
12.0,8.82e-05,0.00023661,5.55e-05
13.0,7.519e-05,0.00019905,4.74e-05
14.0,6.486e-05,0.00016984,4.09e-05
15.0,5.652e-05,0.00014666,3.57e-05
20.0,3.183e-05,8.025e-05,2.02e-05
