
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 418
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 418, -, 1.0, -, 0.4, 2.8, 1.4, "Coalinga-07", 1983, "Coalinga-14th & Elm (Old CHP)", 5.21, Reverse, 7.31, 10.89, 286.41, 0.25, 1.0, RSN418_COALINGA_F-CHP000.AT2, RSN418_COALINGA_F-CHP090.AT2 , RSN418_COALINGA_F-CHP-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-418 RotD50 pSa (g)
0.01,0.5602618,0.5602618,0.5602618,0.5602618
0.02,0.5771686,0.5771686,0.5771686,0.5771686
0.022,0.5737154,0.5737154,0.5737154,0.5737154
0.025,0.5867695,0.5867695,0.5867695,0.5867695
0.029,0.5689409,0.5689409,0.5689409,0.5689409
0.03,0.5750162,0.5750162,0.5750162,0.5750162
0.032,0.5946434,0.5946434,0.5946434,0.5946434
0.035,0.6323322,0.6323322,0.6323322,0.6323322
0.036,0.6389438,0.6389438,0.6389438,0.6389438
0.04,0.6669542,0.6669542,0.6669542,0.6669542
0.042,0.6960405,0.6960405,0.6960405,0.6960405
0.044,0.7349974,0.7349974,0.7349974,0.7349974
0.045,0.746233,0.746233,0.746233,0.746233
0.046,0.7537022,0.7537022,0.7537022,0.7537022
0.048,0.7553755,0.7553755,0.7553755,0.7553755
0.05,0.751292,0.751292,0.751292,0.751292
0.055,0.7641203,0.7641203,0.7641203,0.7641203
0.06,0.8540689,0.8540689,0.8540689,0.8540689
0.065,0.9047696,0.9047696,0.9047696,0.9047696
0.067,0.9216276,0.9216276,0.9216276,0.9216276
0.07,0.9470069,0.9470069,0.9470069,0.9470069
0.075,0.885115,0.885115,0.885115,0.885115
0.08,0.8370624,0.8370624,0.8370624,0.8370624
0.085,0.8527821,0.8527821,0.8527821,0.8527821
0.09,0.9277595,0.9277595,0.9277595,0.9277595
0.095,1.005932,1.005932,1.005932,1.005932
0.1,1.127392,1.127392,1.127392,1.127392
0.11,1.227229,1.227229,1.227229,1.227229
0.12,1.308365,1.308365,1.308365,1.308365
0.13,1.239763,1.239763,1.239763,1.239763
0.133,1.248825,1.248825,1.248825,1.248825
0.14,1.335189,1.335189,1.335189,1.335189
0.15,1.350207,1.350207,1.350207,1.350207
0.16,1.322803,1.322803,1.322803,1.322803
0.17,1.364594,1.364594,1.364594,1.364594
0.18,1.34306,1.34306,1.34306,1.34306
0.19,1.414192,1.414192,1.414192,1.414192
0.2,1.500434,1.500434,1.500434,1.500434
0.22,1.757965,1.757965,1.757965,1.757965
0.24,1.837588,1.837588,1.837588,1.837588
0.25,1.830998,1.830998,1.830998,1.830998
0.26,1.792331,1.792331,1.792331,1.792331
0.28,1.661155,1.661155,1.661155,1.661155
0.29,1.584951,1.584951,1.584951,1.584951
0.3,1.505376,1.505376,1.505376,1.505376
0.32,1.378675,1.378675,1.378675,1.378675
0.34,1.286041,1.286041,1.286041,1.286041
0.35,1.239875,1.239875,1.239875,1.239875
0.36,1.195674,1.195674,1.195674,1.195674
0.38,1.10849,1.10849,1.10849,1.10849
0.4,1.02011,1.02011,1.02011,1.02011
0.42,0.9298306,0.9298306,0.9298306,0.9298306
0.44,0.8384899,0.8384899,0.8384899,0.8384899
0.45,0.8139006,0.8139006,0.8139006,0.8139006
0.46,0.794115,0.794115,0.794115,0.794115
0.48,0.7555954,0.7555954,0.7555954,0.7555954
0.5,0.7151427,0.7151427,0.7151427,0.7151427
0.55,0.5972257,0.5972257,0.5972257,0.5972257
0.6,0.4818067,0.4818067,0.4818067,0.4818067
0.65,0.4199133,0.4199133,0.4199133,0.4199133
0.667,0.4000038,0.4000038,0.4000038,0.4000038
0.7,0.3629908,0.3629908,0.3629908,0.3629908
0.75,0.3121518,0.3121518,0.3121518,0.3121518
0.8,0.2672498,0.2672498,0.2672498,0.2672498
0.85,0.2274439,0.2274439,0.2274439,0.2274439
0.9,0.1925131,0.1925131,0.1925131,0.1925131
0.95,0.1680038,0.1680038,0.1680038,0.1680038
1.0,0.1492679,0.1492679,0.1492679,0.1492679
1.1,0.1205848,0.1205848,0.1205848,0.1205848
1.2,0.1114683,0.1114683,0.1114683,0.1114683
1.3,0.09094013,0.09094013,0.09094013,0.09094013
1.4,0.07845715,0.07845715,0.07845715,0.07845715
1.5,0.0755874,0.0755874,0.0755874,0.0755874
1.6,0.07447213,0.07447213,0.07447213,0.07447213
1.7,0.06760147,0.06760147,0.06760147,0.06760147
1.8,0.05949755,0.05949755,0.05949755,0.05949755
1.9,0.04881462,0.04881462,0.04881462,0.04881462
2.0,0.04075971,0.04075971,0.04075971,0.04075971
2.2,0.0343997,0.0343997,0.0343997,0.0343997
2.4,0.02939019,0.02939019,0.02939019,0.02939019
2.5,0.02725344,0.02725344,0.02725344,0.02725344
2.6,0.02532881,0.02532881,0.02532881,0.02532881
2.8,0.02201609,0.02201609,0.02201609,0.02201609
3.0,0.01926276,0.01926276,0.01926276,0.01926276
3.2,0.01694614,0.01694614,0.01694614,0.01694614
3.4,0.01500152,0.01500152,0.01500152,0.01500152
3.5,0.0141427,0.0141427,0.0141427,0.0141427
3.6,0.01335023,0.01335023,0.01335023,0.01335023
3.8,0.01193372,0.01193372,0.01193372,0.01193372
4.0,0.01072357,0.01072357,0.01072357,0.01072357
4.2,0.00967822,0.00967822,0.00967822,0.00967822
4.4,0.00876621,0.00876621,0.00876621,0.00876621
4.6,0.00797593,0.00797593,0.00797593,0.00797593
4.8,0.0072837,0.0072837,0.0072837,0.0072837
5.0,0.00667201,0.00667201,0.00667201,0.00667201
5.5,0.00543953,0.00543953,0.00543953,0.00543953
6.0,0.00451127,0.00451127,0.00451127,0.00451127
6.5,0.00380064,0.00380064,0.00380064,0.00380064
7.0,0.00324266,0.00324266,0.00324266,0.00324266
7.5,0.00279981,0.00279981,0.00279981,0.00279981
8.0,0.00244157,0.00244157,0.00244157,0.00244157
8.5,0.002147,0.002147,0.002147,0.002147
9.0,0.00190349,0.00190349,0.00190349,0.00190349
9.5,0.00169924,0.00169924,0.00169924,0.00169924
10.0,0.00152626,0.00152626,0.00152626,0.00152626
11.0,0.00125125,0.00125125,0.00125125,0.00125125
12.0,0.00104421,0.00104421,0.00104421,0.00104421
13.0,0.00088512,0.00088512,0.00088512,0.00088512
14.0,0.00075993,0.00075993,0.00075993,0.00075993
15.0,0.00065963,0.00065963,0.00065963,0.00065963
20.0,0.00036679,0.00036679,0.00036679,0.00036679

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-418 Horizontal-1 pSa (g),RSN-418 Horizontal-2 pSa (g),RSN-418 Vertical pSa (g)
0.01,0.4829648,0.6850209,0.322
0.02,0.4888007,0.7076129,0.331
0.022,0.4884931,0.7008793,0.332
0.025,0.4933018,0.6778505,0.336
0.029,0.5011542,0.7414154,0.343
0.03,0.5006678,0.7522014,0.347
0.032,0.4844834,0.7688552,0.354
0.035,0.5270734,0.8118161,0.359
0.036,0.545895,0.8311093,0.36
0.04,0.5980784,0.9070296,0.37
0.042,0.5955505,0.9382431,0.373
0.044,0.5823807,0.9492705,0.375
0.045,0.5634893,0.9537227,0.377
0.046,0.5424121,0.9577467,0.38
0.048,0.5074601,0.9714082,0.398
0.05,0.5153303,0.9915131,0.406
0.055,0.5541375,1.068142,0.465
0.06,0.6288079,1.072982,0.535
0.065,0.6148438,1.031914,0.548
0.067,0.6001655,1.062487,0.553
0.07,0.6247926,1.145018,0.58
0.075,0.6967099,1.13731,0.649
0.08,0.7796384,1.00811,0.635
0.085,0.8402557,1.011047,0.623
0.09,0.9166822,1.161443,0.561
0.095,0.9549387,1.288932,0.517
0.1,0.9146304,1.320878,0.54
0.11,0.9538871,1.433188,0.701
0.12,1.119979,1.605174,0.949
0.13,1.135865,1.688345,0.988
0.133,1.069415,1.692028,1.05
0.14,0.9306897,1.642829,1.12
0.15,0.9455745,1.52752,1.02
0.16,0.9983591,1.513573,0.857
0.17,1.068371,1.39276,0.713
0.18,1.170317,1.393316,0.577
0.19,1.436769,1.347463,0.481
0.2,1.603089,1.339559,0.402
0.22,1.685219,1.849669,0.341
0.24,1.496515,2.124274,0.276
0.25,1.36025,2.177564,0.216
0.26,1.250816,2.178508,0.162
0.28,1.01754,2.102201,0.127
0.29,0.8911525,2.043684,0.128
0.3,0.7581423,1.984035,0.128
0.32,0.6950173,1.847588,0.139
0.34,0.6385075,1.71036,0.146
0.35,0.6052967,1.643744,0.153
0.36,0.5688742,1.581437,0.159
0.38,0.5233063,1.462301,0.152
0.4,0.4994582,1.366768,0.155
0.42,0.4655389,1.27299,0.177
0.44,0.4304635,1.168131,0.18
0.45,0.4140534,1.113541,0.174
0.46,0.3984205,1.058522,0.162
0.48,0.3693574,0.9512821,0.128
0.5,0.3419117,0.8455743,0.102
0.55,0.3146015,0.7595419,0.0677
0.6,0.2723777,0.6721812,0.073
0.65,0.2193061,0.5832494,0.0673
0.667,0.2014911,0.5539717,0.0673
0.7,0.1714073,0.4998829,0.0746
0.75,0.1411155,0.4249995,0.0578
0.8,0.1202694,0.3588079,0.052
0.85,0.1143114,0.3010204,0.0519
0.9,0.105549,0.2509499,0.0452
0.95,0.09549782,0.208434,0.0492
1.0,0.1031496,0.1774043,0.0497
1.1,0.06807062,0.149647,0.0544
1.2,0.09043454,0.1399394,0.0539
1.3,0.0790991,0.1258378,0.0434
1.4,0.05557274,0.1102512,0.0335
1.5,0.04912861,0.09500618,0.0254
1.6,0.04929198,0.09108595,0.0223
1.7,0.05017923,0.08439837,0.0189
1.8,0.03874435,0.06641003,0.0157
1.9,0.03116277,0.06055406,0.0131
2.0,0.02465941,0.05542857,0.0138
2.2,0.01595674,0.04697234,0.0168
2.4,0.01242605,0.04024916,0.0146
2.5,0.01196204,0.03739287,0.0121
2.6,0.01259346,0.03481415,0.0102
2.8,0.01078551,0.03033594,0.00889
3.0,0.00781207,0.02659932,0.00785
3.2,0.0065581,0.02345907,0.0063
3.4,0.00567685,0.02080366,0.00514
3.5,0.00529405,0.01962741,0.00493
3.6,0.00494464,0.0185399,0.00461
3.8,0.00433298,0.01660007,0.00392
4.0,0.00381915,0.01492968,0.00319
4.2,0.00338502,0.01348449,0.00251
4.4,0.0030161,0.01222837,0.00227
4.6,0.00270084,0.01113169,0.00212
4.8,0.00242994,0.01017089,0.00197
5.0,0.0021959,0.00932493,0.00173
5.5,0.00173509,0.00760824,0.00124
6.0,0.00147079,0.00631624,0.000973
6.5,0.00122185,0.00532288,0.000879
7.0,0.00101537,0.00454446,0.000717
7.5,0.00082983,0.00392405,0.000541
8.0,0.00070451,0.00342209,0.000473
8.5,0.00061176,0.00301048,0.000423
9.0,0.0005362,0.0026689,0.00038
9.5,0.00047385,0.0023824,0.000344
10.0,0.00042182,0.00213977,0.000312
11.0,0.00035026,0.00175406,0.00026
12.0,0.00029523,0.00146428,0.00022
13.0,0.00024891,0.00124105,0.000189
14.0,0.00021064,0.00106541,0.000164
15.0,0.00017929,0.00092472,0.000143
20.0,0.0001126,0.00051426,8.16e-05
