
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 423
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 423, -, 1.0, -, 5.5, 13.2, 0.0, "Coalinga-08", 1983, "Coalinga-14th & Elm (Old CHP)", 5.23, strike slip, 12.68, 13.33, 286.41, 1.0, 1.0, RSN423_COALINGA_G-CHP000.AT2, RSN423_COALINGA_G-CHP090.AT2 , RSN423_COALINGA_G-CHP-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-423 RotD50 pSa (g)
0.01,0.02485602,0.02485602,0.02485602,0.02485602
0.02,0.0250486,0.0250486,0.0250486,0.0250486
0.022,0.0252911,0.0252911,0.0252911,0.0252911
0.025,0.0256949,0.0256949,0.0256949,0.0256949
0.029,0.02616694,0.02616694,0.02616694,0.02616694
0.03,0.02627315,0.02627315,0.02627315,0.02627315
0.032,0.02639048,0.02639048,0.02639048,0.02639048
0.035,0.02665639,0.02665639,0.02665639,0.02665639
0.036,0.02671494,0.02671494,0.02671494,0.02671494
0.04,0.02789336,0.02789336,0.02789336,0.02789336
0.042,0.02822093,0.02822093,0.02822093,0.02822093
0.044,0.02890547,0.02890547,0.02890547,0.02890547
0.045,0.02924293,0.02924293,0.02924293,0.02924293
0.046,0.02956186,0.02956186,0.02956186,0.02956186
0.048,0.03021147,0.03021147,0.03021147,0.03021147
0.05,0.03030589,0.03030589,0.03030589,0.03030589
0.055,0.03262704,0.03262704,0.03262704,0.03262704
0.06,0.0358704,0.0358704,0.0358704,0.0358704
0.065,0.04015221,0.04015221,0.04015221,0.04015221
0.067,0.04098424,0.04098424,0.04098424,0.04098424
0.07,0.04675833,0.04675833,0.04675833,0.04675833
0.075,0.0511748,0.0511748,0.0511748,0.0511748
0.08,0.05624304,0.05624304,0.05624304,0.05624304
0.085,0.05782374,0.05782374,0.05782374,0.05782374
0.09,0.06626967,0.06626967,0.06626967,0.06626967
0.095,0.07027264,0.07027264,0.07027264,0.07027264
0.1,0.08148241,0.08148241,0.08148241,0.08148241
0.11,0.08593386,0.08593386,0.08593386,0.08593386
0.12,0.09018712,0.09018712,0.09018712,0.09018712
0.13,0.06822295,0.06822295,0.06822295,0.06822295
0.133,0.07118724,0.07118724,0.07118724,0.07118724
0.14,0.07743338,0.07743338,0.07743338,0.07743338
0.15,0.06844184,0.06844184,0.06844184,0.06844184
0.16,0.07368903,0.07368903,0.07368903,0.07368903
0.17,0.07909093,0.07909093,0.07909093,0.07909093
0.18,0.07359304,0.07359304,0.07359304,0.07359304
0.19,0.07888165,0.07888165,0.07888165,0.07888165
0.2,0.08802599,0.08802599,0.08802599,0.08802599
0.22,0.08410403,0.08410403,0.08410403,0.08410403
0.24,0.07002503,0.07002503,0.07002503,0.07002503
0.25,0.06577885,0.06577885,0.06577885,0.06577885
0.26,0.07285104,0.07285104,0.07285104,0.07285104
0.28,0.07516623,0.07516623,0.07516623,0.07516623
0.29,0.08221988,0.08221988,0.08221988,0.08221988
0.3,0.08112904,0.08112904,0.08112904,0.08112904
0.32,0.07532317,0.07532317,0.07532317,0.07532317
0.34,0.06631023,0.06631023,0.06631023,0.06631023
0.35,0.06948958,0.06948958,0.06948958,0.06948958
0.36,0.07696233,0.07696233,0.07696233,0.07696233
0.38,0.07161723,0.07161723,0.07161723,0.07161723
0.4,0.05718368,0.05718368,0.05718368,0.05718368
0.42,0.04115189,0.04115189,0.04115189,0.04115189
0.44,0.03461726,0.03461726,0.03461726,0.03461726
0.45,0.0307209,0.0307209,0.0307209,0.0307209
0.46,0.02743568,0.02743568,0.02743568,0.02743568
0.48,0.02359486,0.02359486,0.02359486,0.02359486
0.5,0.02384018,0.02384018,0.02384018,0.02384018
0.55,0.0229699,0.0229699,0.0229699,0.0229699
0.6,0.02032598,0.02032598,0.02032598,0.02032598
0.65,0.01959909,0.01959909,0.01959909,0.01959909
0.667,0.02025327,0.02025327,0.02025327,0.02025327
0.7,0.02038879,0.02038879,0.02038879,0.02038879
0.75,0.02049074,0.02049074,0.02049074,0.02049074
0.8,0.01735733,0.01735733,0.01735733,0.01735733
0.85,0.0141922,0.0141922,0.0141922,0.0141922
0.9,0.01336055,0.01336055,0.01336055,0.01336055
0.95,0.01287198,0.01287198,0.01287198,0.01287198
1.0,0.01150024,0.01150024,0.01150024,0.01150024
1.1,0.0080272,0.0080272,0.0080272,0.0080272
1.2,0.0058333,0.0058333,0.0058333,0.0058333
1.3,0.00352645,0.00352645,0.00352645,0.00352645
1.4,0.00320849,0.00320849,0.00320849,0.00320849
1.5,0.00345325,0.00345325,0.00345325,0.00345325
1.6,0.0035624,0.0035624,0.0035624,0.0035624
1.7,0.0026904,0.0026904,0.0026904,0.0026904
1.8,0.00241245,0.00241245,0.00241245,0.00241245
1.9,0.00210792,0.00210792,0.00210792,0.00210792
2.0,0.001548,0.001548,0.001548,0.001548
2.2,0.00104091,0.00104091,0.00104091,0.00104091
2.4,0.00089838,0.00089838,0.00089838,0.00089838
2.5,0.000853,0.000853,0.000853,0.000853
2.6,0.00078463,0.00078463,0.00078463,0.00078463
2.8,0.00062744,0.00062744,0.00062744,0.00062744
3.0,0.00051998,0.00051998,0.00051998,0.00051998
3.2,0.0004475,0.0004475,0.0004475,0.0004475
3.4,0.00038411,0.00038411,0.00038411,0.00038411
3.5,0.00035641,0.00035641,0.00035641,0.00035641
3.6,0.00033209,0.00033209,0.00033209,0.00033209
3.8,0.00029003,0.00029003,0.00029003,0.00029003
4.0,0.00025654,0.00025654,0.00025654,0.00025654
4.2,0.00022969,0.00022969,0.00022969,0.00022969
4.4,0.00020792,0.00020792,0.00020792,0.00020792
4.6,0.0001898,0.0001898,0.0001898,0.0001898
4.8,0.00017434,0.00017434,0.00017434,0.00017434
5.0,0.00016117,0.00016117,0.00016117,0.00016117
5.5,0.00013382,0.00013382,0.00013382,0.00013382
6.0,0.0001124,0.0001124,0.0001124,0.0001124
