
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 446
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 446, -, 1.0, -, 14.0, 35.2, 0.0, "Morgan Hill", 1984, "APEEL 1E - Hayward", 6.19, strike slip, 51.68, 51.69, 219.8, 0.25, 1.0, RSN446_MORGAN_A1E000.AT2, RSN446_MORGAN_A1E090.AT2 ,  -----   

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-446 RotD50 pSa (g)
0.01,0.0311597,0.0311597,0.0311597,0.0311597
0.02,0.03129629,0.03129629,0.03129629,0.03129629
0.022,0.03139213,0.03139213,0.03139213,0.03139213
0.025,0.0314887,0.0314887,0.0314887,0.0314887
0.029,0.03174419,0.03174419,0.03174419,0.03174419
0.03,0.03195999,0.03195999,0.03195999,0.03195999
0.032,0.03205507,0.03205507,0.03205507,0.03205507
0.035,0.03181476,0.03181476,0.03181476,0.03181476
0.036,0.03180477,0.03180477,0.03180477,0.03180477
0.04,0.03208176,0.03208176,0.03208176,0.03208176
0.042,0.03219653,0.03219653,0.03219653,0.03219653
0.044,0.03278556,0.03278556,0.03278556,0.03278556
0.045,0.03289995,0.03289995,0.03289995,0.03289995
0.046,0.03305608,0.03305608,0.03305608,0.03305608
0.048,0.03365966,0.03365966,0.03365966,0.03365966
0.05,0.03419996,0.03419996,0.03419996,0.03419996
0.055,0.03387883,0.03387883,0.03387883,0.03387883
0.06,0.03352685,0.03352685,0.03352685,0.03352685
0.065,0.03498886,0.03498886,0.03498886,0.03498886
0.067,0.03463922,0.03463922,0.03463922,0.03463922
0.07,0.0337683,0.0337683,0.0337683,0.0337683
0.075,0.0374334,0.0374334,0.0374334,0.0374334
0.08,0.03811461,0.03811461,0.03811461,0.03811461
0.085,0.03913609,0.03913609,0.03913609,0.03913609
0.09,0.04378565,0.04378565,0.04378565,0.04378565
0.095,0.0436125,0.0436125,0.0436125,0.0436125
0.1,0.04492756,0.04492756,0.04492756,0.04492756
0.11,0.05125086,0.05125086,0.05125086,0.05125086
0.12,0.0565964,0.0565964,0.0565964,0.0565964
0.13,0.06647521,0.06647521,0.06647521,0.06647521
0.133,0.07103857,0.07103857,0.07103857,0.07103857
0.14,0.06765844,0.06765844,0.06765844,0.06765844
0.15,0.06129285,0.06129285,0.06129285,0.06129285
0.16,0.05921672,0.05921672,0.05921672,0.05921672
0.17,0.06496511,0.06496511,0.06496511,0.06496511
0.18,0.06743661,0.06743661,0.06743661,0.06743661
0.19,0.0641612,0.0641612,0.0641612,0.0641612
0.2,0.07156811,0.07156811,0.07156811,0.07156811
