
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-01-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 485
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD50, 485, -, 1.0, -, 1.6, 3.2, 0.1, "Bishop (Rnd Val)", 1984, "McGee Creek - Surface", 5.82, strike slip, 21.79, 22.75, 359.23, 1.25, 1.0, RSN485_ROUNDVAL_MCG270.AT2, RSN485_ROUNDVAL_MCG360.AT2 , RSN485_ROUNDVAL_MCG-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-485 RotD50 pSa (g)
0.01,0.103844,0.103844,0.103844,0.103844
0.02,0.1066391,0.1066391,0.1066391,0.1066391
0.022,0.1096936,0.1096936,0.1096936,0.1096936
0.025,0.11413,0.11413,0.11413,0.11413
0.029,0.1277659,0.1277659,0.1277659,0.1277659
0.03,0.1336128,0.1336128,0.1336128,0.1336128
0.032,0.1397666,0.1397666,0.1397666,0.1397666
0.035,0.1424004,0.1424004,0.1424004,0.1424004
0.036,0.1458884,0.1458884,0.1458884,0.1458884
0.04,0.1788486,0.1788486,0.1788486,0.1788486
0.042,0.2060692,0.2060692,0.2060692,0.2060692
0.044,0.2328659,0.2328659,0.2328659,0.2328659
0.045,0.2398472,0.2398472,0.2398472,0.2398472
0.046,0.2473862,0.2473862,0.2473862,0.2473862
0.048,0.2626225,0.2626225,0.2626225,0.2626225
0.05,0.2681171,0.2681171,0.2681171,0.2681171
0.055,0.2662373,0.2662373,0.2662373,0.2662373
0.06,0.2467898,0.2467898,0.2467898,0.2467898
0.065,0.2500346,0.2500346,0.2500346,0.2500346
0.067,0.2752029,0.2752029,0.2752029,0.2752029
0.07,0.2968718,0.2968718,0.2968718,0.2968718
0.075,0.3202217,0.3202217,0.3202217,0.3202217
0.08,0.3534133,0.3534133,0.3534133,0.3534133
0.085,0.4169082,0.4169082,0.4169082,0.4169082
0.09,0.4067158,0.4067158,0.4067158,0.4067158
0.095,0.354746,0.354746,0.354746,0.354746
0.1,0.3263094,0.3263094,0.3263094,0.3263094
0.11,0.3793187,0.3793187,0.3793187,0.3793187
0.12,0.4743261,0.4743261,0.4743261,0.4743261
0.13,0.4204111,0.4204111,0.4204111,0.4204111
0.133,0.3759275,0.3759275,0.3759275,0.3759275
0.14,0.2664876,0.2664876,0.2664876,0.2664876
0.15,0.1916591,0.1916591,0.1916591,0.1916591
0.16,0.1746824,0.1746824,0.1746824,0.1746824
0.17,0.1595676,0.1595676,0.1595676,0.1595676
0.18,0.1380374,0.1380374,0.1380374,0.1380374
0.19,0.1506669,0.1506669,0.1506669,0.1506669
0.2,0.1394505,0.1394505,0.1394505,0.1394505
0.22,0.1195979,0.1195979,0.1195979,0.1195979
